# 20250121_114554
q,primespecRe,primespecIm
0,1098.76,0
0.001001,1097.47,0
0.002002,1096.28,0
0.003003,1095.14,0
0.004004,1094.02,0
0.00500501,1092.87,0
0.00600601,1091.66,0
0.00700701,1090.35,0
0.00800801,1088.89,0
0.00900901,1087.25,0
0.01001,1085.39,0
0.011011,1083.15,0
0.012012,1080.36,0
0.013013,1077.1,0
0.014014,1073.42,0
0.015015,1069.39,0
0.016016,1065.07,0
0.017017,1060.51,0
0.018018,1055.78,0
0.019019,1050.93,0
0.02002,1046.03,0
0.021021,1040.99,0
0.022022,1035.56,0
0.023023,1029.77,0
0.024024,1023.67,0
0.025025,1017.28,0
0.026026,1010.65,0
0.027027,1003.81,0
0.028028,996.791,0
0.029029,989.632,0
0.03003,982.364,0
0.031031,974.948,0
0.032032,967.23,0
0.033033,959.227,0
0.034034,950.97,0
0.035035,942.485,0
0.036036,933.801,0
0.037037,924.945,0
0.038038,915.943,0
0.039039,906.821,0
0.04004,897.603,0
0.041041,888.275,0
0.042042,878.72,0
0.043043,868.949,0
0.044044,858.991,0
0.045045,848.869,0
0.046046,838.609,0
0.047047,828.234,0
0.048048,817.767,0
0.049049,807.231,0
0.0500501,796.646,0
0.0510511,786.01,0
0.0520521,775.229,0
0.0530531,764.311,0
0.0540541,753.283,0
0.0550551,742.167,0
0.0560561,730.988,0
0.0570571,719.768,0
0.0580581,708.529,0
0.0590591,697.29,0
0.0600601,686.071,0
0.0610611,674.876,0
0.0620621,663.624,0
0.0630631,652.321,0
0.0640641,640.991,0
0.0650651,629.657,0
0.0660661,618.343,0
0.0670671,607.07,0
0.0680681,595.858,0
0.0690691,584.725,0
0.0700701,573.689,0
0.0710711,562.758,0
0.0720721,551.858,0
0.0730731,540.986,0
0.0740741,530.169,0
0.0750751,519.428,0
0.0760761,508.784,0
0.0770771,498.256,0
0.0780781,487.864,0
0.0790791,477.623,0
0.0800801,467.549,0
0.0810811,457.65,0
0.0820821,447.856,0
0.0830831,438.157,0
0.0840841,428.575,0
0.0850851,419.129,0
0.0860861,409.838,0
0.0870871,400.717,0
0.0880881,391.782,0
0.0890891,383.046,0
0.0900901,374.521,0
0.0910911,366.215,0
0.0920921,358.067,0
0.0930931,350.053,0
0.0940941,342.191,0
0.0950951,334.494,0
0.0960961,326.976,0
0.0970971,319.646,0
0.0980981,312.517,0
0.0990991,305.595,0
0.1001,298.89,0
0.101101,292.407,0
0.102102,286.102,0
0.103103,279.946,0
0.104104,273.946,0
0.105105,268.106,0
0.106106,262.432,0
0.107107,256.929,0
0.108108,251.599,0
0.109109,246.447,0
0.11011,241.474,0
0.111111,236.682,0
0.112112,232.054,0
0.113113,227.565,0
0.114114,223.212,0
0.115115,218.992,0
0.116116,214.901,0
0.117117,210.935,0
0.118118,207.092,0
0.119119,203.369,0
0.12012,199.761,0
0.121121,196.267,0
0.122122,192.887,0
0.123123,189.619,0
0.124124,186.454,0
0.125125,183.384,0
0.126126,180.399,0
0.127127,177.492,0
0.128128,174.655,0
0.129129,171.882,0
0.13013,169.165,0
0.131131,166.498,0
0.132132,163.886,0
0.133133,161.347,0
0.134134,158.871,0
0.135135,156.452,0
0.136136,154.084,0
0.137137,151.759,0
0.138138,149.471,0
0.139139,147.216,0
0.14014,144.986,0
0.141141,142.778,0
0.142142,140.591,0
0.143143,138.435,0
0.144144,136.31,0
0.145145,134.216,0
0.146146,132.153,0
0.147147,130.118,0
0.148148,128.112,0
0.149149,126.135,0
0.15015,124.185,0
0.151151,122.262,0
0.152152,120.363,0
0.153153,118.475,0
0.154154,116.606,0
0.155155,114.759,0
0.156156,112.941,0
0.157157,111.156,0
0.158158,109.408,0
0.159159,107.703,0
0.16016,106.043,0
0.161161,104.433,0
0.162162,102.87,0
0.163163,101.323,0
0.164164,99.7975,0
0.165165,98.3007,0
0.166166,96.8401,0
0.167167,95.4228,0
0.168168,94.0554,0
0.169169,92.744,0
0.17017,91.4945,0
