# 20250121_114601
# primespec:	Data/spec_real_constfield_m600_varPT/spec_20250121_114539_1/spectr.txt
# qmax:	2
# ma:	0.6
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.26533
# [=>] Eabc:	0.3
# B:	1
# Q:	1
p,finalspecRe,finalspecIm
0,126.566,0
0.0100503,126.743,0
0.0201005,127.034,0
0.0301508,127.672,0
0.040201,128.437,0
0.0502513,129.545,0
0.0603015,130.776,0
0.0703518,132.332,0
0.080402,134.004,0
0.0904523,135.72,0
0.100503,137.694,0
0.110553,139.936,0
0.120603,142.355,0
0.130653,144.614,0
0.140704,146.834,0
0.150754,149.346,0
0.160804,151.693,0
0.170854,154.55,0
0.180905,157.286,0
0.190955,160.257,0
0.201005,164.512,0
0.211055,168.812,0
0.221106,173.86,0
0.231156,177.284,0
0.241206,175.607,0
0.251256,166.308,0
0.261307,150.119,0
0.271357,129.835,0
0.281407,106.428,0
0.291457,84.85,0
0.301508,67.0673,0
0.311558,53.3342,0
0.321608,43.8524,0
0.331658,36.7692,0
0.341709,31.4779,0
0.351759,27.2768,0
0.361809,23.9373,0
0.371859,21.2182,0
0.38191,18.7849,0
0.39196,16.5765,0
0.40201,14.6686,0
0.41206,13.1494,0
0.422111,11.8114,0
0.432161,10.5556,0
0.442211,9.47144,0
0.452261,8.52786,0
0.462312,7.73667,0
0.472362,6.95968,0
0.482412,6.2636,0
0.492462,5.66303,0
0.502513,5.14757,0
0.512563,4.68132,0
0.522613,4.24225,0
0.532663,3.84452,0
0.542714,3.50609,0
0.552764,3.22511,0
0.562814,2.93932,0
0.572864,2.69078,0
0.582915,2.48059,0
0.592965,2.29531,0
0.603015,2.11358,0
0.613065,1.94691,0
0.623116,1.80081,0
0.633166,1.6757,0
0.643216,1.55186,0
0.653266,1.42737,0
0.663317,1.31979,0
0.673367,1.22628,0
0.683417,1.13721,0
0.693467,1.0539,0
0.703518,0.975794,0
0.713568,0.911343,0
0.723618,0.85628,0
0.733668,0.801683,0
0.743719,0.746956,0
0.753769,0.700643,0
0.763819,0.658158,0
0.773869,0.618401,0
0.78392,0.572939,0
0.79397,0.535664,0
0.80402,0.504408,0
0.81407,0.474516,0
0.824121,0.442242,0
0.834171,0.412229,0
0.844221,0.390968,0
0.854271,0.37059,0
0.864322,0.349974,0
0.874372,0.328724,0
0.884422,0.311453,0
0.894472,0.29545,0
0.904523,0.278353,0
0.914573,0.260382,0
0.924623,0.245501,0
0.934673,0.23261,0
0.944724,0.219834,0
0.954774,0.20705,0
0.964824,0.195683,0
0.974874,0.186485,0
0.984925,0.178183,0
0.994975,0.169371,0
1.00503,0.160179,0
1.01508,0.152509,0
1.02513,0.145888,0
1.03518,0.137532,0
1.04523,0.1292,0
1.05528,0.122324,0
1.06533,0.116108,0
1.07538,0.110625,0
1.08543,0.104489,0
1.09548,0.099233,0
1.10553,0.0954752,0
1.11558,0.0916331,0
1.12563,0.0872589,0
1.13568,0.0831984,0
1.14573,0.0796095,0
1.15578,0.0760256,0
1.16583,0.0716452,0
1.17588,0.0676323,0
1.18593,0.0643159,0
1.19598,0.0615847,0
1.20603,0.0586316,0
1.21608,0.0557565,0
1.22613,0.0533946,0
1.23618,0.0514901,0
1.24623,0.0495927,0
1.25628,0.0470407,0
1.26633,0.044802,0
1.27638,0.042874,0
1.28643,0.0410056,0
1.29648,0.0386889,0
1.30653,0.0364799,0
1.31658,0.0347576,0
1.32663,0.0335284,0
1.33668,0.0320071,0
1.34673,0.0304822,0
1.35678,0.0293847,0
1.36683,0.0285048,0
1.37688,0.0272856,0
1.38693,0.0258812,0
1.39698,0.0244188,0
1.40704,0.0234344,0
1.41709,0.022245,0
1.42714,0.0209736,0
1.43719,0.0197479,0
1.44724,0.0188882,0
1.45729,0.0182473,0
1.46734,0.0174857,0
1.47739,0.016704,0
1.48744,0.0160645,0
1.49749,0.0155159,0
1.50754,0.0147444,0
1.51759,0.0138405,0
1.52764,0.0129757,0
1.53769,0.0124194,0
1.54774,0.0117621,0
1.55779,0.0110801,0
1.56784,0.010429,0
1.57789,0.0100359,0
1.58794,0.00973611,0
1.59799,0.00926357,0
1.60804,0.00877466,0
1.61809,0.00837197,0
1.62814,0.00800118,0
1.63819,0.00748174,0
1.64824,0.00685502,0
1.65829,0.00632194,0
1.66834,0.00600738,0
1.67839,0.00566981,0
1.68844,0.00529651,0
1.69849,0.00498208,0
1.70854,0.00478763,0
1.71859,0.00462619,0
1.72864,0.0043144,0
1.73869,0.00396028,0
1.74874,0.00369269,0
1.75879,0.0034458,0
1.76884,0.0030912,0
1.77889,0.00268823,0
1.78894,0.00240016,0
1.79899,0.00223768,0
1.80905,0.00208125,0
1.8191,0.00187187,0
1.82915,0.00170016,0
1.8392,0.00159369,0
1.84925,0.00146094,0
1.8593,0.00120717,0
1.86935,0.00094584,0
1.8794,0.0007625,0
1.88945,0.000607204,0
1.8995,0.000397773,0
1.90955,0.000170682,0
1.9196,2.6611e-05,0
1.92965,0,0
1.9397,0,0
1.94975,0,0
1.9598,0,0
1.96985,0,0
1.9799,0,0
1.98995,0,0
2,0,0
