# 20250121_121118
# primespec:	Data/spec_real_constfield_varm/spec_20250121_120106_22/spectr.txt
# qmax:	3
# ma:	0.551111
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.237341
# [=>] Eabc:	0.275556
# B:	1
# Q:	1
p,finalspecRe,finalspecIm
0,150.832,0
0.0100503,150.578,0
0.0201005,151.246,0
0.0301508,151.908,0
0.040201,153.11,0
0.0502513,154.548,0
0.0603015,156.189,0
0.0703518,158.312,0
0.080402,160.546,0
0.0904523,163.017,0
0.100503,165.637,0
0.110553,168.458,0
0.120603,171.784,0
0.130653,175.273,0
0.140704,178.876,0
0.150754,182.16,0
0.160804,186.259,0
0.170854,190.163,0
0.180905,195.589,0
0.190955,202.294,0
0.201005,206.354,0
0.211055,205.318,0
0.221106,195.683,0
0.231156,178.11,0
0.241206,154.533,0
0.251256,127.085,0
0.261307,101.652,0
0.271357,79.7034,0
0.281407,62.6117,0
0.291457,49.8633,0
0.301508,40.7409,0
0.311558,34.43,0
0.321608,29.7244,0
0.331658,25.7005,0
0.341709,22.2738,0
0.351759,19.3912,0
0.361809,17.0245,0
0.371859,14.963,0
0.38191,13.099,0
0.39196,11.5505,0
0.40201,10.2204,0
0.41206,9.14924,0
0.422111,8.14245,0
0.432161,7.26422,0
0.442211,6.5337,0
0.452261,5.91715,0
0.462312,5.35131,0
0.472362,4.81346,0
0.482412,4.35817,0
0.492462,3.97218,0
0.502513,3.61753,0
0.512563,3.28327,0
0.522613,2.96855,0
0.532663,2.71061,0
0.542714,2.47927,0
0.552764,2.25874,0
0.562814,2.05387,0
0.572864,1.88484,0
0.582915,1.74325,0
0.592965,1.60731,0
0.603015,1.47207,0
0.613065,1.35779,0
0.623116,1.26957,0
0.633166,1.18028,0
0.643216,1.08561,0
0.653266,1.00223,0
0.663317,0.93279,0
0.673367,0.868172,0
0.683417,0.801823,0
0.693467,0.737768,0
0.703518,0.69099,0
0.713568,0.646503,0
0.723618,0.602282,0
0.733668,0.562357,0
0.743719,0.528451,0
0.753769,0.49966,0
0.763819,0.468475,0
0.773869,0.437906,0
0.78392,0.408893,0
0.79397,0.38637,0
0.80402,0.362085,0
0.81407,0.337128,0
0.824121,0.315008,0
0.834171,0.297623,0
0.844221,0.281105,0
0.854271,0.264569,0
0.864322,0.249633,0
0.874372,0.238336,0
0.884422,0.226385,0
0.894472,0.213921,0
0.904523,0.201046,0
0.914573,0.190463,0
0.924623,0.180772,0
0.934673,0.170385,0
0.944724,0.159853,0
0.954774,0.151327,0
0.964824,0.144674,0
0.974874,0.138326,0
0.984925,0.130662,0
0.994975,0.124799,0
1.00503,0.120045,0
1.01508,0.114747,0
1.02513,0.108564,0
1.03518,0.102477,0
1.04523,0.0975339,0
1.05528,0.0929181,0
1.06533,0.0879892,0
1.07538,0.0830756,0
1.08543,0.0796076,0
1.09548,0.0767111,0
1.10553,0.073569,0
1.11558,0.0703647,0
1.12563,0.0676552,0
1.13568,0.0652461,0
1.14573,0.0623179,0
1.15578,0.0590714,0
1.16583,0.0562902,0
1.17588,0.0540191,0
1.18593,0.0516694,0
1.19598,0.0488332,0
1.20603,0.0467668,0
1.21608,0.0451427,0
1.22613,0.0437809,0
1.23618,0.0419935,0
1.24623,0.0403455,0
1.25628,0.039041,0
1.26633,0.0376407,0
1.27638,0.0359541,0
1.28643,0.0339909,0
1.29648,0.0325178,0
1.30653,0.0313748,0
1.31658,0.0301047,0
1.32663,0.0288474,0
1.33668,0.0279733,0
1.34673,0.0273614,0
1.35678,0.0264804,0
1.36683,0.0253941,0
1.37688,0.0243843,0
1.38693,0.0236349,0
1.39698,0.0227678,0
1.40704,0.0216865,0
1.41709,0.0205686,0
1.42714,0.0197922,0
1.43719,0.0193098,0
1.44724,0.0186819,0
1.45729,0.0179818,0
1.46734,0.0174673,0
1.47739,0.0171306,0
1.48744,0.0166089,0
1.49749,0.0158842,0
1.50754,0.015255,0
1.51759,0.0147632,0
1.52764,0.0141829,0
1.53769,0.0135035,0
1.54774,0.0129282,0
1.55779,0.0126018,0
1.56784,0.0123527,0
1.57789,0.0119805,0
1.58794,0.0116059,0
1.59799,0.0113433,0
1.60804,0.0110204,0
1.61809,0.0106037,0
1.62814,0.0100713,0
1.63819,0.00967996,0
1.64824,0.00943853,0
1.65829,0.00908808,0
1.66834,0.0087167,0
1.67839,0.00844489,0
1.68844,0.00830076,0
1.69849,0.00813585,0
1.70854,0.00784625,0
1.71859,0.00760553,0
1.72864,0.00748315,0
1.73869,0.00723966,0
1.74874,0.00689557,0
1.75879,0.00656329,0
1.76884,0.0063323,0
1.77889,0.00617632,0
1.78894,0.00598973,0
1.79899,0.00579903,0
1.80905,0.00566698,0
1.8191,0.00560726,0
1.82915,0.00546362,0
1.8392,0.00523648,0
1.84925,0.00505849,0
1.8593,0.00492006,0
1.86935,0.00477928,0
1.8794,0.00453835,0
1.88945,0.00433619,0
1.8995,0.00423752,0
1.90955,0.00417608,0
1.9196,0.00405761,0
1.92965,0.0039521,0
1.9397,0.00387944,0
1.94975,0.00381213,0
1.9598,0.00367455,0
1.96985,0.00350266,0
1.9799,0.00335298,0
1.98995,0.00325186,0
2,0.00315114,0
