# 20250121_121531
q,primespecRe,primespecIm
0,1026.53,0
0.003003,1023.48,0
0.00600601,1020.53,0
0.00900901,1016.8,0
0.012012,1010.96,0
0.015015,1001.75,0
0.018018,990.454,0
0.021021,978.312,0
0.024024,964.206,0
0.027027,948.262,0
0.03003,931.292,0
0.033033,913.171,0
0.036036,893.575,0
0.039039,873.084,0
0.042042,851.997,0
0.045045,829.929,0
0.048048,807.233,0
0.0510511,784.273,0
0.0540541,760.856,0
0.0570571,737.101,0
0.0600601,713.286,0
0.0630631,689.446,0
0.0660661,665.525,0
0.0690691,641.705,0
0.0720721,618.093,0
0.0750751,594.625,0
0.0780781,571.383,0
0.0810811,548.457,0
0.0840841,525.826,0
0.0870871,503.521,0
0.0900901,481.602,0
0.0930931,460.077,0
0.0960961,438.948,0
0.0990991,418.288,0
0.102102,398.128,0
0.105105,378.426,0
0.108108,359.282,0
0.111111,340.78,0
0.114114,322.827,0
0.117117,305.511,0
0.12012,288.979,0
0.123123,273.183,0
0.126126,258.071,0
0.129129,243.834,0
0.132132,230.537,0
0.135135,217.964,0
0.138138,206.276,0
0.141141,195.623,0
0.144144,185.772,0
0.147147,176.72,0
0.15015,168.602,0
0.153153,161.347,0
0.156156,154.754,0
0.159159,148.87,0
0.162162,143.705,0
0.165165,139.096,0
0.168168,134.951,0
0.171171,131.208,0
0.174174,127.862,0
0.177177,124.804,0
0.18018,121.894,0
0.183183,119.1,0
0.186186,116.458,0
0.189189,113.855,0
0.192192,111.203,0
0.195195,108.55,0
0.198198,105.889,0
0.201201,103.205,0
0.204204,100.467,0
0.207207,97.719,0
0.21021,95.024,0
0.213213,92.3816,0
0.216216,89.7693,0
0.219219,87.2829,0
0.222222,84.9842,0
0.225225,82.7945,0
0.228228,80.7671,0
0.231231,78.9732,0
0.234234,77.3705,0
0.237237,75.9199,0
0.24024,74.6307,0
0.243243,73.5113,0
0.246246,72.5236,0
0.249249,71.5962,0
0.252252,70.6789,0
0.255255,69.8201,0
0.258258,68.9603,0
0.261261,68.0211,0
0.264264,66.9923,0
0.267267,65.8878,0
0.27027,64.6994,0
0.273273,63.3982,0
0.276276,61.9705,0
0.279279,60.4794,0
0.282282,58.9676,0
0.285285,57.3785,0
0.288288,55.785,0
0.291291,54.2778,0
0.294294,52.8177,0
0.297297,51.4173,0
0.3003,50.1685,0
0.303303,49.0926,0
0.306306,48.1127,0
0.309309,47.2739,0
0.312312,46.6144,0
0.315315,46.0783,0
0.318318,45.6191,0
0.321321,45.205,0
0.324324,44.853,0
0.327327,44.5387,0
0.33033,44.193,0
0.333333,43.7704,0
0.336336,43.288,0
0.339339,42.7402,0
0.342342,42.1123,0
0.345345,41.3526,0
0.348348,40.5031,0
0.351351,39.6226,0
0.354354,38.6791,0
0.357357,37.6837,0
0.36036,36.7215,0
0.363363,35.8219,0
0.366366,34.9367,0
0.369369,34.141,0
0.372372,33.4969,0
0.375375,32.9308,0
0.378378,32.4514,0
0.381381,32.0993,0
0.384384,31.8599,0
0.387387,31.6728,0
0.39039,31.5018,0
0.393393,31.3321,0
0.396396,31.1845,0
0.399399,31.0199,0
0.402402,30.7943,0
0.405405,30.467,0
0.408408,30.0575,0
0.411411,29.5957,0
0.414414,29.0411,0
0.417417,28.3879,0
0.42042,27.7066,0
0.423423,27.0262,0
0.426426,26.3044,0
0.429429,25.6128,0
0.432432,25.0145,0
0.435435,24.4533,0
0.438438,23.9569,0
0.441441,23.587,0
0.444444,23.3236,0
0.447447,23.109,0
0.45045,22.9506,0
0.453453,22.8524,0
0.456456,22.7911,0
0.459459,22.7312,0
0.462462,22.6374,0
0.465465,22.4903,0
0.468468,22.2942,0
0.471471,22.0555,0
0.474474,21.7287,0
0.477477,21.2966,0
0.48048,20.8183,0
0.483483,20.3199,0
0.486486,19.7562,0
0.489489,19.1889,0
0.492492,18.6775,0
0.495495,18.1793,0
0.498498,17.7221,0
0.501502,17.367,0
0.504505,17.1016,0
0.507508,16.877,0
0.510511,16.7187,0
0.513514,16.6401,0
0.516517,16.5965,0
