# 20250117_150302
# initdata:	Data/init_comp_constfield_m140_varphase_20250116_120129/init18.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,26180.9,0
0.0100503,24693.3,0
0.0201005,20725.8,0
0.0301508,15531.7,0
0.040201,10548.7,0
0.0502513,6791.48,0
0.0603015,4523.86,0
0.0703518,3351.16,0
0.080402,2630.95,0
0.0904523,1917.21,0
0.100503,1157.32,0
0.110553,557.902,0
0.120603,287.998,0
0.130653,293.497,0
0.140704,362.209,0
0.150754,332.027,0
0.160804,215.346,0
0.170854,130.305,0
0.180905,143.254,0
0.190955,202.791,0
0.201005,217.666,0
0.211055,164.73,0
0.221106,99.799,0
0.231156,77.3913,0
0.241206,89.4976,0
0.251256,90.8096,0
0.261307,62.5866,0
0.271357,30.061,0
0.281407,21.6108,0
0.291457,32.4488,0
0.301508,37.8512,0
0.311558,29.1273,0
0.321608,21.0464,0
0.331658,26.2076,0
0.341709,36.7008,0
0.351759,37.0062,0
0.361809,25.8892,0
0.371859,16.035,0
0.38191,15.1798,0
0.39196,17.2502,0
0.40201,13.9271,0
0.41206,7.20889,0
0.422111,5.11433,0
0.432161,9.12109,0
0.442211,12.566,0
0.452261,11.0015,0
0.462312,8.09413,0
0.472362,9.00387,0
0.482412,12.3003,0
0.492462,12.4446,0
0.502513,8.20726,0
0.512563,4.17373,0
0.522613,3.83158,0
0.532663,5.10621,0
0.542714,4.45743,0
0.552764,2.47479,0
0.562814,2.49918,0
0.572864,5.05306,0
0.582915,6.903,0
0.592965,5.89315,0
0.603015,3.92051,0
0.613065,3.7615,0
0.623116,4.93545,0
0.633166,4.79589,0
0.643216,2.75966,0
0.653266,1.09935,0
0.663317,1.42397,0
0.673367,2.47146,0
0.683417,2.37565,0
0.693467,1.56979,0
0.703518,1.85436,0
0.713568,3.34585,0
0.723618,4.16055,0
0.733668,3.21883,0
0.743719,1.77735,0
0.753769,1.46066,0
0.763819,1.96262,0
0.773869,1.83669,0
0.78392,0.894149,0
0.79397,0.432929,0
0.80402,1.12073,0
0.81407,1.9552,0
0.824121,1.84811,0
0.834171,1.25286,0
0.844221,1.33246,0
0.854271,2.07742,0
0.864322,2.32078,0
0.874372,1.54183,0
0.884422,0.628687,0
0.894472,0.512813,0
0.904523,0.873629,0
0.914573,0.838784,0
0.924623,0.429998,0
0.934673,0.460351,0
0.944724,1.14372,0
0.954774,1.67401,0
0.964824,1.42295,0
0.974874,0.856876,0
0.984925,0.774865,0
0.994975,1.10553,0
1.00503,1.10914,0
1.01508,0.58426,0
1.02513,0.168519,0
1.03518,0.331621,0
1.04523,0.68852,0
1.05528,0.669985,0
1.06533,0.426714,0
1.07538,0.536302,0
1.08543,1.02463,0
1.09548,1.26766,0
1.10553,0.922739,0
1.11558,0.427777,0
1.12563,0.327234,0
1.13568,0.50231,0
1.14573,0.466411,0
1.15578,0.185201,0
1.16583,0.112078,0
1.17588,0.429572,0
1.18593,0.733696,0
1.19598,0.654127,0
1.20603,0.414001,0
1.21608,0.454043,0
1.22613,0.730931,0
1.23618,0.788395,0
1.24623,0.467297,0
1.25628,0.14171,0
1.26633,0.144649,0
1.27638,0.30375,0
1.28643,0.282373,0
1.29648,0.137229,0
1.30653,0.202382,0
1.31658,0.512386,0
1.32663,0.702039,0
1.33668,0.545392,0
1.34673,0.28643,0
1.35678,0.256092,0
1.36683,0.386796,0
1.37688,0.36626,0
1.38693,0.152773,0
1.39698,0.0336629,0
1.40704,0.161858,0
1.41709,0.323096,0
1.42714,0.290524,0
1.43719,0.183922,0
1.44724,0.261541,0
1.45729,0.485649,0
1.46734,0.556119,0
1.47739,0.359977,0
1.48744,0.136222,0
1.49749,0.11367,0
1.50754,0.19638,0
1.51759,0.166605,0
1.52764,0.051519,0
1.53769,0.0674415,0
1.54774,0.250138,0
1.55779,0.375561,0
1.56784,0.299061,0
1.57789,0.173153,0
1.58794,0.202258,0
1.59799,0.325193,0
1.60804,0.319575,0
1.61809,0.152892,0
1.62814,0.0289051,0
1.63819,0.0722198,0
1.64824,0.155897,0
1.65829,0.129969,0
1.66834,0.0681053,0
1.67839,0.138115,0
1.68844,0.309846,0
1.69849,0.375619,0
1.70854,0.256031,0
1.71859,0.115,0
1.72864,0.110521,0
1.73869,0.173201,0
1.74874,0.145107,0
1.75879,0.0409563,0
1.76884,0.0177007,0
1.77889,0.115866,0
1.78894,0.193243,0
1.79899,0.152603,0
1.80905,0.0943266,0
1.8191,0.150176,0
1.82915,0.264684,0
1.8392,0.271796,0
1.84925,0.146368,0
1.8593,0.0394395,0
1.86935,0.050652,0
1.8794,0.0971915,0
1.88945,0.0713878,0
1.8995,0.0209719,0
1.90955,0.0639225,0
1.9196,0.182851,0
1.92965,0.234707,0
1.9397,0.164491,0
1.94975,0.0864108,0
1.9598,0.106477,0
1.96985,0.165706,0
1.9799,0.143509,0
1.98995,0.05,0
2,0.00593113,0
