# 20250117_181147
# initdata:	Data/init_comp_constfield_m140_varphase_20250117_181049/init03.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,16684.3,0
0.0100503,15773.9,0
0.0201005,13373,0
0.0301508,10273.1,0
0.040201,7289.29,0
0.0502513,4912.3,0
0.0603015,3238.41,0
0.0703518,2120.24,0
0.080402,1362.88,0
0.0904523,840.908,0
0.100503,510.261,0
0.110553,352.317,0
0.120603,315.482,0
0.130653,312.238,0
0.140704,273.619,0
0.150754,197.907,0
0.160804,133.171,0
0.170854,111.864,0
0.180905,114.576,0
0.190955,101.442,0
0.201005,63.9584,0
0.211055,29.9792,0
0.221106,22.325,0
0.231156,30.7417,0
0.241206,31.2441,0
0.251256,19.7312,0
0.261307,12.8621,0
0.271357,20.2666,0
0.281407,30.5999,0
0.291457,28.9506,0
0.301508,17.367,0
0.311558,9.68966,0
0.321608,11.3228,0
0.331658,13.9163,0
0.341709,9.86262,0
0.351759,3.17216,0
0.361809,1.94898,0
0.371859,6.01538,0
0.38191,8.24306,0
0.39196,5.80358,0
0.40201,3.61142,0
0.41206,5.84341,0
0.422111,9.42531,0
0.432161,8.95513,0
0.442211,4.69737,0
0.452261,1.6668,0
0.462312,2.14022,0
0.472362,3.20121,0
0.482412,2.12314,0
0.492462,0.545813,0
0.502513,1.34635,0
0.512563,3.80204,0
0.522613,4.67617,0
0.532663,3.14861,0
0.542714,1.81458,0
0.552764,2.53071,0
0.562814,3.74105,0
0.572864,3.13765,0
0.582915,1.19166,0
0.592965,0.218994,0
0.603015,0.844396,0
0.613065,1.41915,0
0.623116,0.916693,0
0.633166,0.494343,0
0.643216,1.40396,0
0.653266,2.79502,0
0.663317,2.90241,0
0.673367,1.67026,0
0.683417,0.738381,0
0.693467,0.968495,0
0.703518,1.38085,0
0.713568,0.93164,0
0.723618,0.158493,0
0.733668,0.200716,0
0.743719,0.943982,0
0.753769,1.25472,0
0.763819,0.807529,0
0.773869,0.548076,0
0.78392,1.11887,0
0.79397,1.79515,0
0.80402,1.57636,0
0.81407,0.680421,0
0.824121,0.158068,0
0.834171,0.338963,0
0.844221,0.52774,0
0.854271,0.267156,0
0.864322,0.0631496,0
0.874372,0.473626,0
0.884422,1.11217,0
0.894472,1.18478,0
0.904523,0.691442,0
0.914573,0.398935,0
0.924623,0.659664,0
0.934673,0.927739,0
0.944724,0.663267,0
0.954774,0.158163,0
0.964824,0.0361169,0
0.974874,0.296471,0
0.984925,0.407409,0
0.994975,0.216919,0
1.00503,0.18317,0
1.01508,0.580802,0
1.02513,0.98694,0
1.03518,0.8794,0
1.04523,0.408562,0
1.05528,0.152763,0
1.06533,0.271139,0
1.07538,0.362481,0
1.08543,0.175716,0
1.09548,0.00357214,0
1.10553,0.167837,0
1.11558,0.470204,0
1.12563,0.497479,0
1.13568,0.277541,0
1.14573,0.23014,0
1.15578,0.495103,0
1.16583,0.699041,0
1.17588,0.519493,0
1.18593,0.160523,0
1.19598,0.0253523,0
1.20603,0.132199,0
1.21608,0.172169,0
1.22613,0.0563578,0
1.23618,0.050101,0
1.24623,0.300996,0
1.25628,0.546525,0
1.26633,0.486233,0
1.27638,0.233719,0
1.28643,0.139568,0
1.29648,0.268653,0
1.30653,0.339285,0
1.31658,0.187958,0
1.32663,0.0148146,0
1.33668,0.0479119,0
1.34673,0.188822,0
1.35678,0.19733,0
1.36683,0.0943089,0
1.37688,0.124734,0
1.38693,0.343516,0
1.39698,0.49265,0
1.40704,0.372996,0
1.41709,0.134555,0
1.42714,0.045267,0
1.43719,0.111697,0
1.44724,0.128087,0
1.45729,0.0365431,0
1.46734,0.0102123,0
1.47739,0.145878,0
1.48744,0.282309,0
1.49749,0.244144,0
1.50754,0.119014,0
1.51759,0.121832,0
1.52764,0.258258,0
1.53769,0.315103,0
1.54774,0.187613,0
1.55779,0.0309367,0
1.56784,0.0156177,0
1.57789,0.0840239,0
1.58794,0.0804106,0
1.59799,0.0210747,0
1.60804,0.0621676,0
1.61809,0.223832,0
1.62814,0.324522,0
1.63819,0.241665,0
1.64824,0.0937522,0
1.65829,0.0614914,0
1.66834,0.129124,0
1.67839,0.138826,0
1.68844,0.0521689,0
1.69849,0.00101545,0
1.70854,0.0634984,0
1.71859,0.13724,0
1.72864,0.111186,0
1.73869,0.0513052,0
1.74874,0.0956965,0
1.75879,0.224139,0
1.76884,0.271107,0
1.77889,0.167714,0
1.78894,0.0397542,0
1.79899,0.0178244,0
1.80905,0.0603796,0
1.8191,0.0529903,0
1.82915,0.00534028,0
1.8392,0.0270277,0
1.84925,0.131604,0
1.8593,0.194755,0
1.86935,0.140238,0
1.8794,0.0587717,0
1.88945,0.0700008,0
1.8995,0.142491,0
1.90955,0.149668,0
1.9196,0.0670145,0
1.92965,0.00229683,0
1.9397,0.0231992,0
1.94975,0.0626723,0
1.9598,0.0446242,0
1.96985,0.0160993,0
1.9799,0.0680749,0
1.98995,0.173515,0
2,0.20812,0
