# 20250121_104007
# initdata:	Data/init_comp_constfield_m140_varphase_20250117_181049/init19.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,12457.5,0
0.0100503,11716.1,0
0.0201005,9755.96,0
0.0301508,7232.65,0
0.040201,4867.6,0
0.0502513,3129.52,0
0.0603015,2096.37,0
0.0703518,1545.13,0
0.080402,1175.81,0
0.0904523,810.838,0
0.100503,453.061,0
0.110553,198.467,0
0.120603,103.199,0
0.130653,121.481,0
0.140704,152.777,0
0.150754,134.088,0
0.160804,81.5477,0
0.170854,49.2129,0
0.180905,60.6558,0
0.190955,88.1076,0
0.201005,91.7831,0
0.211055,65.2572,0
0.221106,35.5269,0
0.231156,26.0915,0
0.241206,31.9703,0
0.251256,32.832,0
0.261307,20.9773,0
0.271357,7.78543,0
0.281407,5.32499,0
0.291457,10.9565,0
0.301508,13.6962,0
0.311558,9.98121,0
0.321608,6.60077,0
0.331658,9.21129,0
0.341709,14.2205,0
0.351759,14.5425,0
0.361809,9.47437,0
0.371859,4.772,0
0.38191,4.23999,0
0.39196,5.41216,0
0.40201,4.41558,0
0.41206,1.78424,0
0.422111,0.982615,0
0.432161,2.85788,0
0.442211,4.56163,0
0.452261,3.97181,0
0.462312,2.58794,0
0.472362,2.86059,0
0.482412,4.40961,0
0.492462,4.74492,0
0.502513,3.02211,0
0.512563,1.12443,0
0.522613,0.800967,0
0.532663,1.39265,0
0.542714,1.30043,0
0.552764,0.557449,0
0.562814,0.567698,0
0.572864,1.70736,0
0.582915,2.63324,0
0.592965,2.26621,0
0.603015,1.31747,0
0.613065,1.11436,0
0.623116,1.64704,0
0.633166,1.75589,0
0.643216,0.983958,0
0.653266,0.209502,0
0.663317,0.250381,0
0.673367,0.707085,0
0.683417,0.739872,0
0.693467,0.414211,0
0.703518,0.507649,0
0.713568,1.18112,0
0.723618,1.64281,0
0.733668,1.30168,0
0.743719,0.612556,0
0.753769,0.36579,0
0.763819,0.572734,0
0.773869,0.607922,0
0.78392,0.262685,0
0.79397,0.03655,0
0.80402,0.294516,0
0.81407,0.678046,0
0.824121,0.673818,0
0.834171,0.401945,0
0.844221,0.39227,0
0.854271,0.733722,0
0.864322,0.928753,0
0.874372,0.648754,0
0.884422,0.209913,0
0.894472,0.0784624,0
0.904523,0.215085,0
0.914573,0.241767,0
0.924623,0.0902612,0
0.934673,0.0868354,0
0.944724,0.379407,0
0.954774,0.650711,0
0.964824,0.576732,0
0.974874,0.306203,0
0.984925,0.221536,0
0.994975,0.368582,0
1.00503,0.428843,0
1.01508,0.238245,0
1.02513,0.0296599,0
1.03518,0.0533748,0
1.04523,0.202013,0
1.05528,0.216711,0
1.06533,0.113634,0
1.07538,0.144974,0
1.08543,0.370006,0
1.09548,0.526529,0
1.10553,0.409017,0
1.11558,0.166639,0
1.12563,0.0732766,0
1.13568,0.140428,0
1.14573,0.157328,0
1.15578,0.0550083,0
1.16583,0.00641071,0
1.17588,0.125968,0
1.18593,0.268734,0
1.19598,0.251221,0
1.20603,0.137202,0
1.21608,0.134445,0
1.22613,0.267043,0
1.23618,0.33547,0
1.24623,0.21976,0
1.25628,0.0537309,0
1.26633,0.0155751,0
1.27638,0.0756122,0
1.28643,0.0829455,0
1.29648,0.0259635,0
1.30653,0.043613,0
1.31658,0.18044,0
1.32663,0.288301,0
1.33668,0.237831,0
1.34673,0.109788,0
1.35678,0.0706784,0
1.36683,0.129941,0
1.37688,0.149148,0
1.38693,0.0707536,0
1.39698,0.00182336,0
1.40704,0.0349862,0
1.41709,0.103788,0
1.42714,0.099128,0
1.43719,0.050177,0
1.44724,0.0758059,0
1.45729,0.184811,0
1.46734,0.244966,0
1.47739,0.173947,0
1.48744,0.0581172,0
1.49749,0.0216755,0
1.50754,0.054583,0
1.51759,0.0573051,0
1.52764,0.0131232,0
1.53769,0.00912599,0
1.54774,0.0822414,0
1.55779,0.146635,0
1.56784,0.122125,0
1.57789,0.0589831,0
1.58794,0.0601344,0
1.59799,0.122468,0
1.60804,0.143865,0
1.61809,0.0808327,0
1.62814,0.0105521,0
1.63819,0.00885536,0
1.64824,0.042316,0
1.65829,0.0387039,0
1.66834,0.0118946,0
1.67839,0.0370731,0
1.68844,0.118333,0
1.69849,0.165194,0
1.70854,0.121304,0
1.71859,0.0470591,0
1.72864,0.0294778,0
1.73869,0.0599243,0
1.74874,0.0633923,0
1.75879,0.0228482,0
1.76884,0.000818547,0
1.77889,0.0326257,0
1.78894,0.0683524,0
1.79899,0.0555435,0
1.80905,0.0261519,0
1.8191,0.0458258,0
1.82915,0.105268,0
1.8392,0.126772,0
1.84925,0.077927,0
1.8593,0.0175642,0
1.86935,0.00686238,0
1.8794,0.0265375,0
1.88945,0.0233271,0
1.8995,0.00221939,0
1.90955,0.014912,0
1.9196,0.0673185,0
1.92965,0.0993734,0
1.9397,0.0731684,0
1.94975,0.0312969,0
1.9598,0.0325881,0
1.96985,0.0653772,0
1.9799,0.0701671,0
1.98995,0.0326131,0
2,0.00158365,0
