# 20250121_104011
alpha,Dfield0Re,Dfield0Im
0,-0.31351,0.159741
0.00157237,-0.31351,0.159741
0.00314474,-0.31351,0.159741
0.00471711,-0.31351,0.159741
0.00628947,-0.31351,0.159741
0.00786184,-0.31351,0.159741
0.00943421,-0.31351,0.159741
0.0110066,-0.31351,0.159741
0.0125789,-0.31351,0.159741
0.0141513,-0.31351,0.159741
0.0157237,-0.31351,0.159741
0.0172961,-0.31351,0.159741
0.0188684,-0.31351,0.159741
0.0204408,-0.31351,0.159741
0.0220132,-0.31351,0.159741
0.0235855,-0.31351,0.159741
0.0251579,-0.31351,0.159741
0.0267303,-0.31351,0.159741
0.0283026,-0.31351,0.159741
0.029875,-0.31351,0.159741
0.0314474,-0.31351,0.159741
0.0330197,-0.31351,0.159741
0.0345921,-0.31351,0.159741
0.0361645,-0.31351,0.159741
0.0377368,-0.31351,0.159741
0.0393092,-0.31351,0.159741
0.0408816,-0.31351,0.159741
0.042454,-0.31351,0.159741
0.0440263,-0.31351,0.159741
0.0455987,-0.31351,0.159741
0.0471711,-0.31351,0.159741
0.0487434,-0.31351,0.159741
0.0503158,-0.31351,0.159741
0.0518882,-0.31351,0.159741
0.0534605,-0.31351,0.159741
0.0550329,-0.31351,0.159741
0.0566053,-0.31351,0.159741
0.0581776,-0.31351,0.159741
0.05975,-0.31351,0.159741
0.0613224,-0.31351,0.159741
0.0628947,-0.31351,0.159741
0.0644671,-0.31351,0.159741
0.0660395,-0.31351,0.159741
0.0676119,-0.31351,0.159741
0.0691842,-0.31351,0.159741
0.0707566,-0.31351,0.159741
0.072329,-0.31351,0.159741
0.0739013,-0.31351,0.159741
0.0754737,-0.31351,0.159741
0.0770461,-0.31351,0.159741
0.0786184,-0.31351,0.159741
0.0801908,-0.31351,0.159741
0.0817632,-0.31351,0.159741
0.0833355,-0.31351,0.159741
0.0849079,-0.31351,0.159741
0.0864803,-0.31351,0.159741
0.0880526,-0.31351,0.159741
0.089625,-0.31351,0.159741
0.0911974,-0.31351,0.159741
0.0927698,-0.31351,0.159741
0.0943421,-0.31351,0.159741
0.0959145,-0.31351,0.159741
0.0974869,-0.31351,0.159741
0.0990592,-0.31351,0.159741
0.100632,-0.31351,0.159741
0.102204,-0.31351,0.159741
0.103776,-0.31351,0.159741
0.105349,-0.31351,0.159741
0.106921,-0.31351,0.159741
0.108493,-0.31351,0.159741
0.110066,-0.31351,0.159741
0.111638,-0.31351,0.159741
0.113211,-0.31351,0.159741
0.114783,-0.31351,0.159741
0.116355,-0.31351,0.159741
0.117928,-0.31351,0.159741
0.1195,-0.31351,0.159741
0.121072,-0.31351,0.159741
0.122645,-0.31351,0.159741
0.124217,-0.31351,0.159741
0.125789,-0.31351,0.159741
0.127362,-0.31351,0.159741
0.128934,-0.31351,0.159741
0.130507,-0.31351,0.159741
0.132079,-0.31351,0.159741
0.133651,-0.31351,0.159741
0.135224,-0.31351,0.159741
0.136796,-0.31351,0.159741
0.138368,-0.31351,0.159741
0.139941,-0.31351,0.159741
0.141513,-0.31351,0.159741
0.143086,-0.31351,0.159741
0.144658,-0.31351,0.159741
0.14623,-0.31351,0.159741
0.147803,-0.31351,0.159741
0.149375,-0.31351,0.159741
0.150947,-0.31351,0.159741
0.15252,-0.31351,0.159741
0.154092,-0.31351,0.159741
0.155665,-0.31351,0.159741
0.157237,-0.31351,0.159741
0.158809,-0.31351,0.159741
0.160382,-0.31351,0.159741
0.161954,-0.31351,0.159741
0.163526,-0.31351,0.159741
0.165099,-0.31351,0.159741
0.166671,-0.31351,0.159741
0.168243,-0.31351,0.159741
0.169816,-0.31351,0.159741
0.171388,-0.31351,0.159741
0.172961,-0.31351,0.159741
0.174533,-0.31351,0.159741
0.176105,-0.31351,0.159741
0.177678,-0.31351,0.159741
0.17925,-0.31351,0.159741
0.180822,-0.31351,0.159741
0.182395,-0.31351,0.159741
0.183967,-0.31351,0.159741
0.18554,-0.31351,0.159741
0.187112,-0.31351,0.159741
0.188684,-0.31351,0.159741
0.190257,-0.31351,0.159741
0.191829,-0.31351,0.159741
0.193401,-0.31351,0.159741
0.194974,-0.31351,0.159741
0.196546,-0.31351,0.159741
0.198118,-0.31351,0.159741
0.199691,-0.31351,0.159741
0.201263,-0.31351,0.159741
0.202836,-0.31351,0.159741
0.204408,-0.31351,0.159741
0.20598,-0.31351,0.159741
0.207553,-0.31351,0.159741
0.209125,-0.31351,0.159741
0.210697,-0.31351,0.159741
0.21227,-0.31351,0.159741
0.213842,-0.31351,0.159741
0.215415,-0.31351,0.159741
0.216987,-0.31351,0.159741
0.218559,-0.31351,0.159741
0.220132,-0.31351,0.159741
0.221704,-0.31351,0.159741
0.223276,-0.31351,0.159741
0.224849,-0.31351,0.159741
0.226421,-0.31351,0.159741
0.227993,-0.31351,0.159741
0.229566,-0.31351,0.159741
0.231138,-0.31351,0.159741
0.232711,-0.31351,0.159741
0.234283,-0.31351,0.159741
0.235855,-0.31351,0.159741
0.237428,-0.31351,0.159741
0.239,-0.31351,0.159741
0.240572,-0.31351,0.159741
0.242145,-0.31351,0.159741
0.243717,-0.31351,0.159741
0.24529,-0.31351,0.159741
0.246862,-0.31351,0.159741
0.248434,-0.31351,0.159741
0.250007,-0.31351,0.159741
0.251579,-0.31351,0.159741
0.253151,-0.31351,0.159741
0.254724,-0.31351,0.159741
0.256296,-0.31351,0.159741
0.257868,-0.31351,0.159741
0.259441,-0.31351,0.159741
0.261013,-0.31351,0.159741
0.262586,-0.31351,0.159741
0.264158,-0.31351,0.159741
0.26573,-0.31351,0.159741
0.267303,-0.31351,0.159741
0.268875,-0.31351,0.159741
0.270447,-0.31351,0.159741
0.27202,-0.31351,0.159741
0.273592,-0.31351,0.159741
0.275165,-0.31351,0.159741
0.276737,-0.31351,0.159741
0.278309,-0.31351,0.159741
0.279882,-0.31351,0.159741
0.281454,-0.31351,0.159741
0.283026,-0.31351,0.159741
0.284599,-0.31351,0.159741
0.286171,-0.31351,0.159741
0.287743,-0.31351,0.159741
0.289316,-0.31351,0.159741
0.290888,-0.31351,0.159741
0.292461,-0.31351,0.159741
0.294033,-0.31351,0.159741
0.295605,-0.31351,0.159741
0.297178,-0.31351,0.159741
0.29875,-0.31351,0.159741
0.300322,-0.31351,0.159741
0.301895,-0.31351,0.159741
0.303467,-0.31351,0.159741
0.30504,-0.31351,0.159741
0.306612,-0.31351,0.159741
0.308184,-0.31351,0.159741
0.309757,-0.31351,0.159741
0.311329,-0.31351,0.159741
0.312901,-0.31351,0.159741
0.314474,-0.31351,0.159741
0.316046,-0.31351,0.159741
0.317618,-0.31351,0.159741
0.319191,-0.31351,0.159741
0.320763,-0.31351,0.159741
0.322336,-0.31351,0.159741
0.323908,-0.31351,0.159741
0.32548,-0.31351,0.159741
0.327053,-0.31351,0.159741
0.328625,-0.31351,0.159741
0.330197,-0.31351,0.159741
0.33177,-0.31351,0.159741
0.333342,-0.31351,0.159741
