# 20250120_094514
alpha,Dfield0Re,Dfield0Im
0,-0.110843,0.0564771
0.00157237,-0.110843,0.0564771
0.00314474,-0.110843,0.0564771
0.00471711,-0.110843,0.0564771
0.00628947,-0.110843,0.0564771
0.00786184,-0.110843,0.0564771
0.00943421,-0.110843,0.0564771
0.0110066,-0.110843,0.0564771
0.0125789,-0.110843,0.0564771
0.0141513,-0.110843,0.0564771
0.0157237,-0.110843,0.0564771
0.0172961,-0.110843,0.0564771
0.0188684,-0.110843,0.0564771
0.0204408,-0.110843,0.0564771
0.0220132,-0.110843,0.0564771
0.0235855,-0.110843,0.0564771
0.0251579,-0.110843,0.0564771
0.0267303,-0.110843,0.0564771
0.0283026,-0.110843,0.0564771
0.029875,-0.110843,0.0564771
0.0314474,-0.110843,0.0564771
0.0330197,-0.110843,0.0564771
0.0345921,-0.110843,0.0564771
0.0361645,-0.110843,0.0564771
0.0377368,-0.110843,0.0564771
0.0393092,-0.110843,0.0564771
0.0408816,-0.110843,0.0564771
0.042454,-0.110843,0.0564771
0.0440263,-0.110843,0.0564771
0.0455987,-0.110843,0.0564771
0.0471711,-0.110843,0.0564771
0.0487434,-0.110843,0.0564771
0.0503158,-0.110843,0.0564771
0.0518882,-0.110843,0.0564771
0.0534605,-0.110843,0.0564771
0.0550329,-0.110843,0.0564771
0.0566053,-0.110843,0.0564771
0.0581776,-0.110843,0.0564771
0.05975,-0.110843,0.0564771
0.0613224,-0.110843,0.0564771
0.0628947,-0.110843,0.0564771
0.0644671,-0.110843,0.0564771
0.0660395,-0.110843,0.0564771
0.0676119,-0.110843,0.0564771
0.0691842,-0.110843,0.0564771
0.0707566,-0.110843,0.0564771
0.072329,-0.110843,0.0564771
0.0739013,-0.110843,0.0564771
0.0754737,-0.110843,0.0564771
0.0770461,-0.110843,0.0564771
0.0786184,-0.110843,0.0564771
0.0801908,-0.110843,0.0564771
0.0817632,-0.110843,0.0564771
0.0833355,-0.110843,0.0564771
0.0849079,-0.110843,0.0564771
0.0864803,-0.110843,0.0564771
0.0880526,-0.110843,0.0564771
0.089625,-0.110843,0.0564771
0.0911974,-0.110843,0.0564771
0.0927698,-0.110843,0.0564771
0.0943421,-0.110843,0.0564771
0.0959145,-0.110843,0.0564771
0.0974869,-0.110843,0.0564771
0.0990592,-0.110843,0.0564771
0.100632,-0.110843,0.0564771
0.102204,-0.110843,0.0564771
0.103776,-0.110843,0.0564771
0.105349,-0.110843,0.0564771
0.106921,-0.110843,0.0564771
0.108493,-0.110843,0.0564771
0.110066,-0.110843,0.0564771
0.111638,-0.110843,0.0564771
0.113211,-0.110843,0.0564771
0.114783,-0.110843,0.0564771
0.116355,-0.110843,0.0564771
0.117928,-0.110843,0.0564771
0.1195,-0.110843,0.0564771
0.121072,-0.110843,0.0564771
0.122645,-0.110843,0.0564771
0.124217,-0.110843,0.0564771
0.125789,-0.110843,0.0564771
0.127362,-0.110843,0.0564771
0.128934,-0.110843,0.0564771
0.130507,-0.110843,0.0564771
