# 20250121_104014
# initdata:	Data/init_comp_constfield_m140_varphase_20250120_094422/init06.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,9421.9,0
0.0100503,8861.23,0
0.0201005,7396.36,0
0.0301508,5545.17,0
0.040201,3831.25,0
0.0502513,2544.35,0
0.0603015,1696.09,0
0.0703518,1141.66,0
0.080402,737.289,0
0.0904523,423.849,0
0.100503,212.235,0
0.110553,117.769,0
0.120603,111.999,0
0.130653,130.879,0
0.140704,123.074,0
0.150754,85.5524,0
0.160804,50.6032,0
0.170854,42.2541,0
0.180905,51.3529,0
0.190955,52.4285,0
0.201005,35.6811,0
0.211055,14.6466,0
0.221106,5.38901,0
0.231156,7.5377,0
0.241206,9.3867,0
0.251256,5.33574,0
0.261307,1.1002,0
0.271357,2.81857,0
0.281407,7.84378,0
0.291457,9.29697,0
0.301508,5.79342,0
0.311558,2.31593,0
0.321608,2.53906,0
0.331658,4.3881,0
0.341709,4.11332,0
0.351759,1.70446,0
0.361809,0.0698228,0
0.371859,0.432347,0
0.38191,1.11604,0
0.39196,0.708179,0
0.40201,0.155756,0
0.41206,0.871497,0
0.422111,2.28417,0
0.432161,2.63518,0
0.442211,1.53144,0
0.452261,0.345285,0
0.462312,0.156838,0
0.472362,0.491427,0
0.482412,0.451179,0
0.492462,0.139511,0
0.502513,0.238466,0
0.512563,0.724589,0
0.522613,0.880631,0
0.532663,0.47666,0
0.542714,0.153451,0
0.552764,0.428089,0
0.562814,0.916451,0
0.572864,0.931081,0
0.582915,0.460323,0
0.592965,0.0731236,0
0.603015,0.0468523,0
0.613065,0.104523,0
0.623116,0.0279422,0
0.633166,0.0404064,0
0.643216,0.359756,0
0.653266,0.723887,0
0.663317,0.705996,0
0.673367,0.336799,0
0.683417,0.0629424,0
0.693467,0.119461,0
0.703518,0.26991,0
0.713568,0.240262,0
0.723618,0.115741,0
0.733668,0.121514,0
0.743719,0.221615,0
0.753769,0.202079,0
0.763819,0.0653006,0
0.773869,0.0600677,0
0.78392,0.282888,0
0.79397,0.49016,0
0.80402,0.427759,0
0.81407,0.177766,0
0.824121,0.0133259,0
0.834171,0.0182123,0
0.844221,0.0467052,0
0.854271,0.0215823,0
0.864322,0.0540923,0
0.874372,0.210132,0
0.884422,0.340505,0
0.894472,0.279609,0
0.904523,0.105096,0
0.914573,0.0406963,0
0.924623,0.141103,0
0.934673,0.233195,0
0.944724,0.18373,0
0.954774,0.0740636,0
0.964824,0.04042,0
0.974874,0.065544,0
0.984925,0.0480769,0
0.994975,0.00489775,0
1.00503,0.0552327,0
1.01508,0.208122,0
1.02513,0.306016,0
1.03518,0.233589,0
1.04523,0.0788511,0
1.05528,0.00505953,0
1.06533,0.0343061,0
1.07538,0.0608657,0
1.08543,0.0407682,0
1.09548,0.0453579,0
1.10553,0.112262,0
1.11558,0.158904,0
1.12563,0.110174,0
1.13568,0.0326826,0
1.14573,0.048448,0
1.15578,0.151531,0
1.16583,0.209646,0
1.17588,0.149547,0
1.18593,0.0480687,0
1.19598,0.00660394,0
1.20603,0.0164888,0
1.21608,0.0126269,0
1.22613,0.00239054,0
1.23618,0.0494445,0
1.24623,0.144837,0
1.25628,0.188425,0
1.26633,0.126529,0
1.27638,0.0352844,0
1.28643,0.0166871,0
1.29648,0.0623232,0
1.30653,0.0845664,0
1.31658,0.0539108,0
1.32663,0.0284027,0
1.33668,0.0451932,0
1.34673,0.0607836,0
1.35678,0.0340233,0
1.36683,0.00791986,0
1.37688,0.0481863,0
1.38693,0.131368,0
1.39698,0.162991,0
1.40704,0.10574,0
1.41709,0.027013,0
1.42714,0.0002196,0
1.43719,0.0140915,0
1.44724,0.017812,0
1.45729,0.0123117,0
1.46734,0.0378293,0
1.47739,0.0880857,0
1.48744,0.102835,0
1.49749,0.0592414,0
1.50754,0.015817,0
1.51759,0.0320262,0
1.52764,0.082443,0
1.53769,0.0954149,0
1.54774,0.0554046,0
1.55779,0.0155522,0
1.56784,0.0117469,0
1.57789,0.0181403,0
1.58794,0.00657412,0
1.59799,0.0027734,0
1.60804,0.0428823,0
1.61809,0.101566,0
1.62814,0.11393,0
1.63819,0.0653536,0
1.64824,0.0132403,0
1.65829,0.00732309,0
1.66834,0.028695,0
1.67839,0.0328732,0
1.68844,0.0203149,0
1.69849,0.0244131,0
1.70854,0.0462765,0
1.71859,0.0491192,0
1.72864,0.022458,0
1.73869,0.00825384,0
1.74874,0.0399165,0
1.75879,0.0864894,0
1.76884,0.0911629,0
1.77889,0.0488832,0
1.78894,0.00845232,0
1.79899,0.00155268,0
1.80905,0.00857559,0
1.8191,0.00520875,0
1.82915,0.00598878,0
1.8392,0.0336919,0
1.84925,0.0693237,0
1.8593,0.0705872,0
1.86935,0.0348573,0
1.8794,0.00738531,0
1.88945,0.0184833,0
1.8995,0.043601,0
1.90955,0.0441134,0
1.9196,0.0229671,0
1.92965,0.0119369,0
1.9397,0.0181895,0
1.94975,0.0182093,0
1.9598,0.00496899,0
1.96985,0.00616151,0
1.9799,0.039472,0
1.98995,0.0759078,0
2,0.0738132,0
