# 20250117_150323
alpha,Dfield0Re,Dfield0Im
0,-0.132233,0
0.00157237,-0.132296,0
0.00314474,-0.132365,0
0.00471711,-0.132434,0
0.00628947,-0.1325,0
0.00786184,-0.132557,0
0.00943421,-0.132602,0
0.0110066,-0.132633,0
0.0125789,-0.132661,0
0.0141513,-0.132686,0
0.0157237,-0.132708,0
0.0172961,-0.132725,0
0.0188684,-0.13274,0
0.0204408,-0.13275,0
0.0220132,-0.132758,0
0.0235855,-0.132765,0
0.0251579,-0.132771,0
0.0267303,-0.132776,0
0.0283026,-0.132781,0
0.029875,-0.132785,0
0.0314474,-0.132789,0
0.0330197,-0.132792,0
0.0345921,-0.132794,0
0.0361645,-0.132797,0
0.0377368,-0.1328,0
0.0393092,-0.132803,0
0.0408816,-0.132807,0
0.042454,-0.132811,0
0.0440263,-0.132815,0
0.0455987,-0.13282,0
0.0471711,-0.132826,0
0.0487434,-0.132831,0
0.0503158,-0.132838,0
0.0518882,-0.132844,0
0.0534605,-0.132852,0
0.0550329,-0.13286,0
0.0566053,-0.132869,0
0.0581776,-0.132878,0
0.05975,-0.132887,0
0.0613224,-0.132897,0
0.0628947,-0.132907,0
0.0644671,-0.132918,0
0.0660395,-0.132929,0
0.0676119,-0.132941,0
0.0691842,-0.132952,0
0.0707566,-0.132964,0
0.072329,-0.132976,0
0.0739013,-0.132989,0
0.0754737,-0.133001,0
0.0770461,-0.133014,0
0.0786184,-0.133027,0
0.0801908,-0.13304,0
0.0817632,-0.133053,0
0.0833355,-0.133066,0
0.0849079,-0.133079,0
0.0864803,-0.133093,0
0.0880526,-0.133106,0
0.089625,-0.133119,0
0.0911974,-0.133132,0
0.0927698,-0.133145,0
0.0943421,-0.133159,0
0.0959145,-0.133172,0
0.0974869,-0.133185,0
0.0990592,-0.133198,0
0.100632,-0.133211,0
0.102204,-0.133223,0
0.103776,-0.133236,0
0.105349,-0.133249,0
0.106921,-0.133261,0
0.108493,-0.133274,0
0.110066,-0.133286,0
0.111638,-0.133299,0
0.113211,-0.133311,0
0.114783,-0.133323,0
0.116355,-0.133335,0
0.117928,-0.133347,0
0.1195,-0.133359,0
0.121072,-0.133371,0
0.122645,-0.133383,0
0.124217,-0.133395,0
0.125789,-0.133406,0
0.127362,-0.133418,0
0.128934,-0.133429,0
0.130507,-0.133441,0
0.132079,-0.133452,0
0.133651,-0.133464,0
0.135224,-0.133475,0
0.136796,-0.133486,0
0.138368,-0.133498,0
0.139941,-0.133509,0
0.141513,-0.13352,0
0.143086,-0.133531,0
0.144658,-0.133542,0
0.14623,-0.133553,0
0.147803,-0.133564,0
0.149375,-0.133575,0
0.150947,-0.133586,0
0.15252,-0.133596,0
0.154092,-0.133607,0
0.155665,-0.133618,0
0.157237,-0.133628,0
0.158809,-0.133639,0
0.160382,-0.133649,0
0.161954,-0.133659,0
0.163526,-0.133669,0
0.165099,-0.133679,0
0.166671,-0.133689,0
0.168243,-0.133699,0
0.169816,-0.133708,0
0.171388,-0.133718,0
0.172961,-0.133727,0
0.174533,-0.133736,0
0.176105,-0.133745,0
0.177678,-0.133753,0
0.17925,-0.133761,0
0.180822,-0.133769,0
0.182395,-0.133777,0
0.183967,-0.133784,0
0.18554,-0.133792,0
0.187112,-0.133799,0
0.188684,-0.133805,0
0.190257,-0.133811,0
0.191829,-0.133816,0
0.193401,-0.133822,0
0.194974,-0.133827,0
0.196546,-0.133832,0
0.198118,-0.133836,0
0.199691,-0.133839,0
0.201263,-0.133841,0
0.202836,-0.133843,0
0.204408,-0.133845,0
0.20598,-0.133846,0
0.207553,-0.133847,0
0.209125,-0.133848,0
0.210697,-0.133848,0
0.21227,-0.133847,0
0.213842,-0.133845,0
0.215415,-0.133842,0
0.216987,-0.133838,0
0.218559,-0.133835,0
0.220132,-0.133831,0
0.221704,-0.133826,0
0.223276,-0.133819,0
0.224849,-0.133812,0
0.226421,-0.133803,0
0.227993,-0.133794,0
0.229566,-0.133785,0
0.231138,-0.133774,0
0.232711,-0.133763,0
0.234283,-0.13375,0
0.235855,-0.133736,0
0.237428,-0.133721,0
0.239,-0.133705,0
0.240572,-0.133689,0
0.242145,-0.133671,0
0.243717,-0.133652,0
0.24529,-0.133632,0
0.246862,-0.133611,0
0.248434,-0.133588,0
0.250007,-0.133565,0
0.251579,-0.13354,0
0.253151,-0.133514,0
0.254724,-0.133487,0
0.256296,-0.133458,0
0.257868,-0.133428,0
0.259441,-0.133396,0
0.261013,-0.133364,0
0.262586,-0.13333,0
0.264158,-0.133294,0
0.26573,-0.133257,0
0.267303,-0.133219,0
0.268875,-0.133179,0
0.270447,-0.133138,0
0.27202,-0.133095,0
0.273592,-0.13305,0
0.275165,-0.133004,0
0.276737,-0.132956,0
0.278309,-0.132906,0
0.279882,-0.132855,0
0.281454,-0.132802,0
0.283026,-0.132748,0
0.284599,-0.132691,0
0.286171,-0.132633,0
0.287743,-0.132573,0
0.289316,-0.132511,0
0.290888,-0.132447,0
0.292461,-0.132382,0
0.294033,-0.132314,0
0.295605,-0.132244,0
0.297178,-0.132173,0
0.29875,-0.132099,0
0.300322,-0.132023,0
0.301895,-0.131946,0
0.303467,-0.131866,0
0.30504,-0.131783,0
0.306612,-0.131699,0
0.308184,-0.131612,0
0.309757,-0.131523,0
0.311329,-0.131432,0
0.312901,-0.131339,0
0.314474,-0.131243,0
0.316046,-0.131144,0
0.317618,-0.131043,0
0.319191,-0.13094,0
0.320763,-0.130834,0
0.322336,-0.130726,0
0.323908,-0.130615,0
0.32548,-0.130501,0
0.327053,-0.130384,0
0.328625,-0.130265,0
0.330197,-0.130143,0
0.33177,-0.130019,0
0.333342,-0.129891,0
0.334915,-0.12976,0
0.336487,-0.129626,0
0.338059,-0.12949,0
0.339632,-0.12935,0
0.341204,-0.129208,0
0.342776,-0.129062,0
0.344349,-0.128913,0
0.345921,-0.128761,0
0.347493,-0.128605,0
0.349066,-0.128446,0
0.350638,-0.128285,0
0.352211,-0.128119,0
0.353783,-0.12795,0
0.355355,-0.127777,0
0.356928,-0.127601,0
0.3585,-0.127422,0
0.360072,-0.127238,0
0.361645,-0.127052,0
0.363217,-0.126861,0
0.36479,-0.126666,0
0.366362,-0.126468,0
0.367934,-0.126265,0
0.369507,-0.126059,0
0.371079,-0.125849,0
0.372651,-0.125635,0
0.374224,-0.125416,0
0.375796,-0.125194,0
