# 20250117_150323
# initdata:	Data/init_real_consteps_m140_20250117_113521/init09.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,59762.6,0
0.0100503,55987.7,0
0.0201005,46083.9,0
0.0301508,33479.8,0
0.040201,21740.8,0
0.0502513,12991.7,0
0.0603015,7537.92,0
0.0703518,4551.07,0
0.080402,3000.84,0
0.0904523,2167.56,0
0.100503,1665.4,0
0.110553,1293.88,0
0.120603,962.563,0
0.130653,677.081,0
0.140704,486.034,0
0.150754,396.121,0
0.160804,348.111,0
0.170854,279.575,0
0.180905,189.77,0
0.190955,125.194,0
0.201005,111.712,0
0.211055,122.732,0
0.221106,116.714,0
0.231156,86.9702,0
0.241206,60.463,0
0.251256,56.2056,0
0.261307,62.3094,0
0.271357,56.784,0
0.281407,37.3875,0
0.291457,20.6826,0
0.301508,17.4261,0
0.311558,20.4713,0
0.321608,18.2816,0
0.331658,11.1132,0
0.341709,7.87281,0
0.351759,11.641,0
0.361809,15.7428,0
0.371859,14.0467,0
0.38191,9.02666,0
0.39196,6.8545,0
0.40201,8.35332,0
0.41206,8.92067,0
0.422111,5.99074,0
0.432161,2.4123,0
0.442211,1.68068,0
0.452261,3.04769,0
0.462312,3.40043,0
0.472362,2.13763,0
0.482412,1.56811,0
0.492462,2.91867,0
0.502513,4.39743,0
0.512563,3.95217,0
0.522613,2.19102,0
0.532663,1.22814,0
0.542714,1.59558,0
0.552764,1.86633,0
0.562814,1.11505,0
0.572864,0.238096,0
0.582915,0.371808,0
0.592965,1.13392,0
0.603015,1.33514,0
0.613065,0.826129,0
0.623116,0.593835,0
0.633166,1.12977,0
0.643216,1.6742,0
0.653266,1.39362,0
0.663317,0.586228,0
0.673367,0.154543,0
0.683417,0.30355,0
0.693467,0.434145,0
0.703518,0.206696,0
0.713568,0.0309969,0
0.723618,0.314121,0
0.733668,0.755654,0
0.743719,0.791388,0
0.753769,0.438604,0
0.763819,0.23386,0
0.773869,0.414108,0
0.78392,0.611138,0
0.79397,0.458107,0
0.80402,0.123909,0
0.81407,0.00316004,0
0.824121,0.123167,0
0.834171,0.181661,0
0.844221,0.075872,0
0.854271,0.0514397,0
0.864322,0.26808,0
0.874372,0.504061,0
0.884422,0.465855,0
0.894472,0.212413,0
0.904523,0.0516916,0
0.914573,0.0986815,0
0.924623,0.166237,0
0.934673,0.102039,0
0.944724,0.0136397,0
0.954774,0.0585983,0
0.964824,0.174876,0
0.974874,0.18417,0
0.984925,0.0838696,0
0.994975,0.0548705,0
1.00503,0.17692,0
1.01508,0.298706,0
1.02513,0.25652,0
1.03518,0.101272,0
1.04523,0.00495077,0
1.05528,0.0166972,0
1.06533,0.0374864,0
1.07538,0.0123854,0
1.08543,0.0138696,0
1.09548,0.0974477,0
1.10553,0.183409,0
1.11558,0.164104,0
1.12563,0.0677778,0
1.13568,0.0208384,0
1.14573,0.0673932,0
1.15578,0.118777,0
1.16583,0.0957189,0
1.17588,0.0365636,0
1.18593,0.0192672,0
1.19598,0.0393587,0
1.20603,0.0357312,0
1.21608,0.00650811,0
1.22613,0.0184283,0
1.23618,0.093838,0
1.24623,0.158519,0
1.25628,0.13784,0
1.26633,0.0581117,0
1.27638,0.0053638,0
1.28643,0.0107706,0
1.29648,0.0302903,0
1.30653,0.0291658,0
1.31658,0.0285853,0
1.32663,0.0515601,0
1.33668,0.0712971,0
1.34673,0.0520395,0
1.35678,0.0141652,0
1.36683,0.0128351,0
1.37688,0.0575217,0
1.38693,0.0947893,0
1.39698,0.0808047,0
1.40704,0.0360005,0
1.41709,0.00761105,0
1.42714,0.00553117,0
1.43719,0.00596117,0
1.44724,0.00303644,0
1.45729,0.0183072,0
1.46734,0.0554865,0
1.47739,0.0799848,0
1.48744,0.0624467,0
1.49749,0.0219052,0
1.50754,0.0020608,0
1.51759,0.0156585,0
1.52764,0.0357895,0
1.53769,0.0391518,0
1.54774,0.0323858,0
1.55779,0.0292176,0
1.56784,0.0249947,0
1.57789,0.0112074,0
1.58794,0.00065509,0
1.59799,0.0149344,0
1.60804,0.0492154,0
1.61809,0.0704409,0
1.62814,0.0568146,0
1.63819,0.0239112,0
1.64824,0.00238168,0
1.65829,0.00181773,0
1.66834,0.00948198,0
1.67839,0.0161642,0
1.68844,0.0253051,0
1.69849,0.0365372,0
1.70854,0.0374887,0
1.71859,0.021759,0
1.72864,0.00366705,0
1.73869,0.00328249,0
1.74874,0.0208026,0
1.75879,0.0367974,0
1.76884,0.0368669,0
1.77889,0.0255096,0
1.78894,0.0140511,0
1.79899,0.00595222,0
1.80905,0.000637627,0
1.8191,0.00317574,0
1.82915,0.0186784,0
1.8392,0.0390271,0
1.84925,0.0462178,0
1.8593,0.0326313,0
1.86935,0.0110166,0
1.8794,0.000341824,0
1.88945,0.005652,0
1.8995,0.0173595,0
1.90955,0.025504,0
1.9196,0.0276674,0
1.92965,0.0243666,0
1.9397,0.0154177,0
1.94975,0.0043388,0
1.9598,0.000212831,0
1.96985,0.00891452,0
1.9799,0.0242284,0
1.98995,0.0327727,0
2,0.0279006,0
