# 20250117_150324
# initdata:	Data/init_real_consteps_m140_20250117_113521/init10.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,57154.8,0
0.0100503,53484.9,0
0.0201005,43875.4,0
0.0301508,31698.6,0
0.040201,20440.2,0
0.0502513,12143.1,0
0.0603015,7049.76,0
0.0703518,4302.25,0
0.080402,2876.93,0
0.0904523,2088.39,0
0.100503,1595.13,0
0.110553,1231.35,0
0.120603,918.932,0
0.130653,655.774,0
0.140704,477.804,0
0.150754,388.635,0
0.160804,337.114,0
0.170854,269.727,0
0.180905,186.188,0
0.190955,126.652,0
0.201005,112.696,0
0.211055,120.142,0
0.221106,112.501,0
0.231156,84.3963,0
0.241206,59.7858,0
0.251256,55.0886,0
0.261307,59.4427,0
0.271357,53.5183,0
0.281407,35.6673,0
0.291457,20.6226,0
0.301508,17.6295,0
0.311558,20.1057,0
0.321608,17.8561,0
0.331658,11.2719,0
0.341709,8.28123,0
0.351759,11.507,0
0.361809,14.9701,0
0.371859,13.2947,0
0.38191,8.74091,0
0.39196,6.74683,0
0.40201,7.97002,0
0.41206,8.33238,0
0.422111,5.63683,0
0.432161,2.44934,0
0.442211,1.82576,0
0.452261,3.03942,0
0.462312,3.32129,0
0.472362,2.16703,0
0.482412,1.63528,0
0.492462,2.79657,0
0.502513,4.05997,0
0.512563,3.63154,0
0.522613,2.06849,0
0.532663,1.22568,0
0.542714,1.54265,0
0.552764,1.7515,0
0.562814,1.05797,0
0.572864,0.275901,0
0.582915,0.404313,0
0.592965,1.08627,0
0.603015,1.26301,0
0.613065,0.807954,0
0.623116,0.595202,0
0.633166,1.05375,0
0.643216,1.51307,0
0.653266,1.24975,0
0.663317,0.537697,0
0.673367,0.168753,0
0.683417,0.308503,0
0.693467,0.419851,0
0.703518,0.208737,0
0.713568,0.0462664,0
0.723618,0.294051,0
0.733668,0.684286,0
0.743719,0.71771,0
0.753769,0.409749,0
0.763819,0.230759,0
0.773869,0.38485,0
0.78392,0.547498,0
0.79397,0.402736,0
0.80402,0.106867,0
0.81407,0.00729787,0
0.824121,0.120819,0
0.834171,0.175144,0
0.844221,0.0796966,0
0.854271,0.0536692,0
0.864322,0.239596,0
0.874372,0.443435,0
0.884422,0.408781,0
0.894472,0.188816,0
0.904523,0.0522554,0
0.914573,0.0953424,0
0.924623,0.151049,0
0.934673,0.0883797,0
0.944724,0.00713847,0
0.954774,0.0480738,0
0.964824,0.154592,0
0.974874,0.166662,0
0.984925,0.0801395,0
0.994975,0.053521,0
1.00503,0.157024,0
1.01508,0.259265,0
1.02513,0.219225,0
1.03518,0.0839842,0
1.04523,0.00368232,0
1.05528,0.0177624,0
1.06533,0.0362296,0
1.07538,0.0111569,0
1.08543,0.00891201,0
1.09548,0.0805845,0
1.10553,0.156752,0
1.11558,0.142192,0
1.12563,0.0604075,0
1.13568,0.0206963,0
1.14573,0.0604392,0
1.15578,0.102182,0
1.16583,0.0786832,0
1.17588,0.0260909,0
1.18593,0.013213,0
1.19598,0.0342177,0
1.20603,0.0331429,0
1.21608,0.00732528,0
1.22613,0.0157817,0
1.23618,0.0793003,0
1.24623,0.134155,0
1.25628,0.116043,0
1.26633,0.0481797,0
1.27638,0.00458886,0
1.28643,0.0104628,0
1.29648,0.0262034,0
1.30653,0.0224703,0
1.31658,0.0200215,0
1.32663,0.0403399,0
1.33668,0.0595588,0
1.34673,0.0449678,0
1.35678,0.0131184,0
1.36683,0.0116848,0
1.37688,0.0490933,0
1.38693,0.0795354,0
1.39698,0.0661039,0
1.40704,0.0276186,0
1.41709,0.00492003,0
1.42714,0.005037,0
1.43719,0.00577205,0
1.44724,0.0019493,0
1.45729,0.0134993,0
1.46734,0.04486,0
1.47739,0.066359,0
1.48744,0.0522235,0
1.49749,0.0183719,0
1.50754,0.00204186,0
1.51759,0.0135619,0
1.52764,0.0295235,0
1.53769,0.030702,0
1.54774,0.0242197,0
1.55779,0.0224664,0
1.56784,0.0205771,0
1.57789,0.00986646,0
1.58794,0.000747969,0
1.59799,0.0121638,0
1.60804,0.040606,0
1.61809,0.0581341,0
1.62814,0.0463832,0
1.63819,0.0189048,0
1.64824,0.00160541,0
1.65829,0.00176098,0
1.66834,0.00779058,0
1.67839,0.0122002,0
1.68844,0.0190708,0
1.69849,0.0287546,0
1.70854,0.0304822,0
1.71859,0.0180388,0
1.72864,0.00315848,0
1.73869,0.00281807,0
1.74874,0.0171669,0
1.75879,0.0298359,0
1.76884,0.0291484,0
1.77889,0.0195796,0
1.78894,0.010768,0
1.79899,0.00488212,0
1.80905,0.00062965,0
1.8191,0.00224996,0
1.82915,0.0146597,0
1.8392,0.0315091,0
1.84925,0.0376624,0
1.8593,0.0265355,0
1.86935,0.00885374,0
1.8794,0.000292015,0
1.88945,0.00472931,0
1.8995,0.0139362,0
1.90955,0.0199602,0
1.9196,0.021456,0
1.92965,0.0191065,0
1.9397,0.0123523,0
1.94975,0.00357512,0
1.9598,0.000170312,0
1.96985,0.00717773,0
1.9799,0.0195692,0
1.98995,0.0263209,0
2,0.022125,0
