# 20250117_150334
alpha,field0Re,field0Im
0,0.0354245,0
0.00157237,0.0354266,0
0.00314474,0.0354285,0
0.00471711,0.0354305,0
0.00628947,0.0354325,0
0.00786184,0.0354349,0
0.00943421,0.0354377,0
0.0110066,0.0354413,0
0.0125789,0.0354462,0
0.0141513,0.0354521,0
0.0157237,0.035459,0
0.0172961,0.0354665,0
0.0188684,0.0354743,0
0.0204408,0.0354823,0
0.0220132,0.0354911,0
0.0235855,0.0355007,0
0.0251579,0.0355111,0
0.0267303,0.0355221,0
0.0283026,0.0355336,0
0.029875,0.0355455,0
0.0314474,0.0355579,0
0.0330197,0.035571,0
0.0345921,0.0355849,0
0.0361645,0.0355995,0
0.0377368,0.0356146,0
0.0393092,0.0356301,0
0.0408816,0.0356462,0
0.042454,0.0356629,0
0.0440263,0.0356803,0
0.0455987,0.0356984,0
0.0471711,0.0357171,0
0.0487434,0.0357363,0
0.0503158,0.035756,0
0.0518882,0.0357763,0
0.0534605,0.0357973,0
0.0550329,0.035819,0
0.0566053,0.0358412,0
0.0581776,0.0358641,0
0.05975,0.0358874,0
0.0613224,0.0359114,0
0.0628947,0.035936,0
0.0644671,0.0359613,0
0.0660395,0.0359872,0
0.0676119,0.0360138,0
0.0691842,0.0360408,0
0.0707566,0.0360685,0
0.072329,0.0360968,0
0.0739013,0.0361258,0
0.0754737,0.0361554,0
0.0770461,0.0361857,0
0.0786184,0.0362166,0
0.0801908,0.036248,0
0.0817632,0.03628,0
0.0833355,0.0363128,0
0.0849079,0.0363462,0
0.0864803,0.0363803,0
0.0880526,0.0364149,0
0.089625,0.0364502,0
0.0911974,0.0364861,0
0.0927698,0.0365226,0
0.0943421,0.0365599,0
0.0959145,0.0365978,0
0.0974869,0.0366363,0
0.0990592,0.0366755,0
0.100632,0.0367152,0
0.102204,0.0367556,0
0.103776,0.0367968,0
0.105349,0.0368386,0
0.106921,0.036881,0
0.108493,0.0369241,0
0.110066,0.0369678,0
0.111638,0.0370121,0
0.113211,0.0370572,0
0.114783,0.0371029,0
0.116355,0.0371493,0
0.117928,0.0371964,0
0.1195,0.0372441,0
0.121072,0.0372924,0
0.122645,0.0373414,0
0.124217,0.0373912,0
0.125789,0.0374416,0
0.127362,0.0374927,0
0.128934,0.0375444,0
0.130507,0.0375968,0
0.132079,0.0376498,0
0.133651,0.0377036,0
0.135224,0.0377581,0
0.136796,0.0378133,0
0.138368,0.0378691,0
0.139941,0.0379256,0
0.141513,0.0379827,0
0.143086,0.0380406,0
0.144658,0.0380992,0
0.14623,0.0381585,0
0.147803,0.0382185,0
0.149375,0.0382792,0
0.150947,0.0383405,0
0.15252,0.0384026,0
0.154092,0.0384654,0
0.155665,0.0385289,0
0.157237,0.0385931,0
0.158809,0.038658,0
0.160382,0.0387236,0
0.161954,0.0387899,0
0.163526,0.038857,0
0.165099,0.0389248,0
0.166671,0.0389933,0
0.168243,0.0390626,0
0.169816,0.0391325,0
0.171388,0.0392032,0
0.172961,0.0392746,0
0.174533,0.0393468,0
0.176105,0.0394197,0
0.177678,0.0394934,0
0.17925,0.0395678,0
0.180822,0.0396429,0
0.182395,0.0397188,0
0.183967,0.0397955,0
0.18554,0.0398729,0
0.187112,0.0399511,0
0.188684,0.0400301,0
0.190257,0.0401098,0
0.191829,0.0401902,0
0.193401,0.0402715,0
0.194974,0.0403535,0
0.196546,0.0404364,0
0.198118,0.04052,0
0.199691,0.0406044,0
0.201263,0.0406895,0
0.202836,0.0407755,0
0.204408,0.0408623,0
0.20598,0.0409499,0
0.207553,0.0410383,0
0.209125,0.0411274,0
0.210697,0.0412174,0
0.21227,0.0413082,0
0.213842,0.0413998,0
0.215415,0.0414923,0
0.216987,0.0415856,0
0.218559,0.0416798,0
0.220132,0.0417747,0
0.221704,0.0418704,0
0.223276,0.0419671,0
0.224849,0.0420646,0
0.226421,0.0421629,0
0.227993,0.0422621,0
0.229566,0.0423621,0
0.231138,0.042463,0
0.232711,0.0425647,0
0.234283,0.0426674,0
0.235855,0.0427709,0
0.237428,0.0428753,0
0.239,0.0429805,0
0.240572,0.0430866,0
0.242145,0.0431936,0
0.243717,0.0433015,0
0.24529,0.0434103,0
0.246862,0.04352,0
0.248434,0.0436306,0
0.250007,0.0437421,0
0.251579,0.0438545,0
0.253151,0.0439678,0
0.254724,0.0440821,0
0.256296,0.0441973,0
0.257868,0.0443134,0
0.259441,0.0444303,0
0.261013,0.0445482,0
0.262586,0.0446671,0
0.264158,0.0447869,0
0.26573,0.0449077,0
0.267303,0.0450294,0
0.268875,0.0451521,0
0.270447,0.0452756,0
0.27202,0.0454002,0
0.273592,0.0455257,0
0.275165,0.0456522,0
0.276737,0.0457797,0
0.278309,0.0459081,0
0.279882,0.0460375,0
0.281454,0.0461678,0
0.283026,0.0462991,0
0.284599,0.0464315,0
0.286171,0.0465648,0
0.287743,0.0466992,0
0.289316,0.0468344,0
0.290888,0.0469707,0
0.292461,0.047108,0
0.294033,0.0472463,0
0.295605,0.0473856,0
0.297178,0.047526,0
0.29875,0.0476673,0
0.300322,0.0478096,0
0.301895,0.0479529,0
0.303467,0.0480973,0
0.30504,0.0482427,0
0.306612,0.0483892,0
0.308184,0.0485367,0
0.309757,0.0486851,0
0.311329,0.0488346,0
0.312901,0.0489852,0
0.314474,0.0491368,0
0.316046,0.0492895,0
0.317618,0.0494432,0
0.319191,0.0495979,0
0.320763,0.0497536,0
0.322336,0.0499105,0
0.323908,0.0500684,0
0.32548,0.0502273,0
0.327053,0.0503874,0
0.328625,0.0505484,0
0.330197,0.0507105,0
0.33177,0.0508737,0
0.333342,0.051038,0
0.334915,0.0512033,0
0.336487,0.0513697,0
0.338059,0.0515372,0
0.339632,0.0517057,0
0.341204,0.0518753,0
0.342776,0.052046,0
0.344349,0.0522178,0
0.345921,0.0523906,0
0.347493,0.0525646,0
0.349066,0.0527395,0
0.350638,0.0529156,0
0.352211,0.0530927,0
0.353783,0.053271,0
0.355355,0.0534503,0
0.356928,0.0536307,0
0.3585,0.0538122,0
0.360072,0.0539948,0
0.361645,0.0541784,0
0.363217,0.0543631,0
0.36479,0.0545489,0
0.366362,0.0547359,0
0.367934,0.0549239,0
0.369507,0.0551129,0
0.371079,0.055303,0
0.372651,0.0554942,0
0.374224,0.0556866,0
0.375796,0.05588,0
0.377368,0.0560745,0
0.378941,0.05627,0
0.380513,0.0564666,0
0.382086,0.0566642,0
0.383658,0.056863,0
0.38523,0.0570629,0
0.386803,0.0572638,0
0.388375,0.0574658,0
0.389947,0.0576688,0
0.39152,0.0578728,0
0.393092,0.058078,0
0.394665,0.0582842,0
0.396237,0.0584916,0
0.397809,0.0586999,0
0.399382,0.0589093,0
0.400954,0.0591196,0
0.402526,0.0593311,0
0.404099,0.0595436,0
0.405671,0.0597572,0
0.407243,0.0599718,0
0.408816,0.0601874,0
0.410388,0.060404,0
0.411961,0.0606216,0
0.413533,0.0608403,0
0.415105,0.06106,0
0.416678,0.0612808,0
0.41825,0.0615025,0
0.419822,0.0617251,0
0.421395,0.0619488,0
0.422967,0.0621735,0
0.42454,0.0623992,0
0.426112,0.0626258,0
0.427684,0.0628535,0
0.429257,0.063082,0
