# 20250121_104017
alpha,Dfield0Re,Dfield0Im
0,0,0
0.00157237,3.90856e-06,0
0.00314474,7.47971e-06,0
0.00471711,1.10147e-05,0
0.00628947,1.48149e-05,0
0.00786184,1.91814e-05,0
0.00943421,2.44157e-05,0
0.0110066,3.10988e-05,0
0.0125789,4.01919e-05,0
0.0141513,5.13487e-05,0
0.0157237,6.4118e-05,0
0.0172961,7.80489e-05,0
0.0188684,9.26903e-05,0
0.0204408,0.00010767,0
0.0220132,0.000124005,0
0.0235855,0.000141967,0
0.0251579,0.00016133,0
0.0267303,0.000181867,0
0.0283026,0.000203349,0
0.029875,0.00022555,0
0.0314474,0.000248737,0
0.0330197,0.000273404,0
0.0345921,0.000299408,0
0.0361645,0.000326603,0
0.0377368,0.000354843,0
0.0393092,0.000383983,0
0.0408816,0.000414004,0
0.042454,0.000445383,0
0.0440263,0.00047809,0
0.0455987,0.000512019,0
0.0471711,0.000547063,0
0.0487434,0.000583115,0
0.0503158,0.000620081,0
0.0518882,0.00065828,0
0.0534605,0.000697826,0
0.0550329,0.000738633,0
0.0566053,0.000780616,0
0.0581776,0.000823689,0
0.05975,0.000867766,0
0.0613224,0.000912951,0
0.0628947,0.000959507,0
0.0644671,0.00100737,0
0.0660395,0.00105646,0
0.0676119,0.00110672,0
0.0691842,0.00115806,0
0.0707566,0.00121048,0
0.072329,0.00126425,0
0.0739013,0.00131937,0
0.0754737,0.00137579,0
0.0770461,0.00143343,0
0.0786184,0.00149223,0
0.0801908,0.00155213,0
0.0817632,0.00161333,0
0.0833355,0.00167594,0
0.0849079,0.00173988,0
0.0864803,0.00180512,0
0.0880526,0.00187158,0
0.089625,0.00193922,0
0.0911974,0.00200808,0
0.0927698,0.00207838,0
0.0943421,0.00215008,0
0.0959145,0.00222312,0
0.0974869,0.00229746,0
0.0990592,0.00237304,0
0.100632,0.00244984,0
0.102204,0.00252807,0
0.103776,0.00260775,0
0.105349,0.00268884,0
0.106921,0.00277128,0
0.108493,0.00285503,0
0.110066,0.00294004,0
0.111638,0.00302645,0
0.113211,0.00311436,0
0.114783,0.00320373,0
0.116355,0.00329452,0
0.117928,0.00338668,0
0.1195,0.00348018,0
0.121072,0.00357504,0
0.122645,0.00367145,0
0.124217,0.00376938,0
0.125789,0.0038688,0
0.127362,0.00396966,0
0.128934,0.00407193,0
0.130507,0.00417558,0
0.132079,0.00428078,0
0.133651,0.00438758,0
0.135224,0.00449592,0
0.136796,0.00460578,0
0.138368,0.00471713,0
0.139941,0.00482993,0
0.141513,0.00494427,0
0.143086,0.00506027,0
0.144658,0.00517789,0
0.14623,0.00529712,0
0.147803,0.0054179,0
0.149375,0.00554022,0
0.150947,0.00566409,0
0.15252,0.00578967,0
0.154092,0.00591696,0
0.155665,0.00604593,0
0.157237,0.00617655,0
0.158809,0.00630879,0
0.160382,0.00644263,0
0.161954,0.00657822,0
0.163526,0.00671561,0
0.165099,0.00685476,0
0.166671,0.00699565,0
0.168243,0.00713826,0
0.169816,0.00728256,0
0.171388,0.00742863,0
0.172961,0.00757657,0
0.174533,0.00772638,0
0.176105,0.00787802,0
0.177678,0.00803148,0
0.17925,0.00818674,0
0.180822,0.0083438,0
0.182395,0.00850282,0
0.183967,0.0086638,0
0.18554,0.00882673,0
0.187112,0.00899157,0
0.188684,0.00915832,0
0.190257,0.00932695,0
0.191829,0.00949758,0
0.193401,0.00967029,0
0.194974,0.00984504,0
0.196546,0.0100218,0
0.198118,0.0102006,0
0.199691,0.0103814,0
0.201263,0.0105643,0
0.202836,0.0107493,0
0.204408,0.0109365,0
0.20598,0.0111259,0
0.207553,0.0113173,0
0.209125,0.0115109,0
0.210697,0.0117066,0
0.21227,0.0119046,0
0.213842,0.0121049,0
0.215415,0.0123074,0
0.216987,0.0125122,0
0.218559,0.0127192,0
0.220132,0.0129285,0
0.221704,0.0131401,0
0.223276,0.0133541,0
