# 20250122_110616
alpha,field0Re,field0Im
0,0.0468622,0
0.00157237,0.0468634,0
0.00314474,0.0468646,0
0.00471711,0.0468657,0
0.00628947,0.0468668,0
0.00786184,0.0468682,0
0.00943421,0.0468698,0
0.0110066,0.0468719,0
0.0125789,0.0468747,0
0.0141513,0.0468782,0
0.0157237,0.0468821,0
0.0172961,0.0468864,0
0.0188684,0.046891,0
0.0204408,0.0468956,0
0.0220132,0.0469006,0
0.0235855,0.0469062,0
0.0251579,0.0469122,0
0.0267303,0.0469185,0
0.0283026,0.0469251,0
0.029875,0.0469319,0
0.0314474,0.0469391,0
0.0330197,0.0469467,0
0.0345921,0.0469547,0
0.0361645,0.046963,0
0.0377368,0.0469717,0
0.0393092,0.0469806,0
0.0408816,0.0469898,0
0.042454,0.0469994,0
0.0440263,0.0470094,0
0.0455987,0.0470198,0
0.0471711,0.0470305,0
0.0487434,0.0470415,0
0.0503158,0.0470528,0
0.0518882,0.0470644,0
0.0534605,0.0470764,0
0.0550329,0.0470888,0
0.0566053,0.0471015,0
0.0581776,0.0471146,0
0.05975,0.0471279,0
0.0613224,0.0471415,0
0.0628947,0.0471556,0
0.0644671,0.04717,0
0.0660395,0.0471848,0
0.0676119,0.0471999,0
0.0691842,0.0472152,0
0.0707566,0.0472309,0
0.072329,0.047247,0
0.0739013,0.0472635,0
0.0754737,0.0472803,0
0.0770461,0.0472974,0
0.0786184,0.0473149,0
0.0801908,0.0473326,0
0.0817632,0.0473507,0
0.0833355,0.0473692,0
0.0849079,0.047388,0
0.0864803,0.0474072,0
0.0880526,0.0474267,0
0.089625,0.0474466,0
0.0911974,0.0474667,0
0.0927698,0.0474872,0
0.0943421,0.0475081,0
0.0959145,0.0475293,0
0.0974869,0.0475509,0
0.0990592,0.0475728,0
0.100632,0.047595,0
0.102204,0.0476175,0
0.103776,0.0476404,0
0.105349,0.0476637,0
0.106921,0.0476873,0
0.108493,0.0477112,0
0.110066,0.0477354,0
0.111638,0.04776,0
0.113211,0.0477849,0
0.114783,0.0478102,0
0.116355,0.0478358,0
0.117928,0.0478617,0
