# 20250122_111648
# initdata:	Data/init_real_consteps_m420_20250122_111354/init03.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.42
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3590.62,0
0.0100503,3503.94,0
0.0201005,3256.11,0
0.0301508,2881.15,0
0.040201,2427.58,0
0.0502513,1948.74,0
0.0603015,1493.16,0
0.0703518,1097.31,0
0.080402,781.571,0
0.0904523,549.962,0
0.100503,393.137,0
0.110553,293.569,0
0.120603,231.622,0
0.130653,190.75,0
0.140704,160.324,0
0.150754,135.581,0
0.160804,115.362,0
0.170854,99.3523,0
0.180905,86.451,0
0.190955,74.9056,0
0.201005,63.446,0
0.211055,52.1672,0
0.221106,42.2203,0
0.231156,34.6577,0
0.241206,29.4799,0
0.251256,25.6754,0
0.261307,22.1143,0
0.271357,18.4007,0
0.281407,14.9391,0
0.291457,12.2858,0
0.301508,10.5108,0
0.311558,9.16836,0
0.321608,7.79064,0
0.331658,6.31815,0
0.341709,5.04099,0
0.351759,4.19737,0
0.361809,3.70591,0
0.371859,3.28882,0
0.38191,2.78349,0
0.39196,2.27151,0
0.40201,1.91694,0
0.41206,1.74567,0
0.422111,1.62428,0
0.432161,1.42776,0
0.442211,1.17127,0
0.452261,0.959673,0
0.462312,0.844532,0
0.472362,0.771439,0
0.482412,0.663611,0
0.492462,0.517997,0
0.502513,0.39593,0
0.512563,0.337348,0
0.522613,0.31579,0
0.532663,0.282112,0
0.542714,0.227657,0
0.552764,0.185081,0
0.562814,0.176468,0
0.572864,0.183443,0
0.582915,0.174183,0
0.592965,0.144072,0
0.603015,0.115974,0
0.613065,0.105759,0
0.623116,0.103069,0
0.633166,0.0895474,0
0.643216,0.0648415,0
0.653266,0.0450089,0
0.663317,0.0395573,0
0.673367,0.0405369,0
0.683417,0.0361499,0
0.693467,0.0269493,0
0.703518,0.0225826,0
0.713568,0.0264487,0
0.723618,0.0309343,0
0.733668,0.0284257,0
0.743719,0.0211415,0
0.753769,0.0166478,0
0.763819,0.0170433,0
0.773869,0.017223,0
0.78392,0.0131586,0
0.79397,0.00744543,0
0.80402,0.00497138,0
0.81407,0.00608733,0
0.824121,0.0069612,0
0.834171,0.00549894,0
0.844221,0.00381416,0
0.854271,0.00438007,0
0.864322,0.00621412,0
0.874372,0.00649084,0
0.884422,0.00460482,0
0.894472,0.00267937,0
0.904523,0.00231699,0
0.914573,0.00264739,0
0.924623,0.0021399,0
0.934673,0.000986977,0
