# 20250122_111652
# initdata:	Data/init_real_consteps_m420_20250122_111354/init20.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.42
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1232.69,0
0.0100503,1195.93,0
0.0201005,1090.98,0
0.0301508,932.906,0
0.040201,743.942,0
0.0502513,549.747,0
0.0603015,375.084,0
0.0703518,239.32,0
0.080402,152.412,0
0.0904523,112.672,0
0.100503,107.732,0
0.110553,119.316,0
0.120603,130.465,0
0.130653,131.962,0
0.140704,124.386,0
0.150754,114.565,0
0.160804,108.843,0
0.170854,107.932,0
0.180905,107.019,0
0.190955,100.643,0
0.201005,87.959,0
0.211055,73.6824,0
0.221106,63.9118,0
0.231156,60.7289,0
0.241206,60.6024,0
0.251256,58.0275,0
0.261307,50.7744,0
0.271357,41.6554,0
0.281407,35.2723,0
0.291457,33.2964,0
0.301508,33.1106,0
0.311558,30.9806,0
0.321608,26.0829,0
0.331658,21.0723,0
0.341709,18.8347,0
0.351759,19.2752,0
0.361809,19.68,0
0.371859,17.965,0
0.38191,14.9134,0
0.39196,12.9342,0
0.40201,13.0478,0
0.41206,13.777,0
0.422111,13.0786,0
0.432161,10.7943,0
0.442211,8.65199,0
0.452261,8.02009,0
0.462312,8.32042,0
0.472362,7.96923,0
0.482412,6.46087,0
0.492462,4.90867,0
0.502513,4.50311,0
0.512563,5.00667,0
0.522613,5.18715,0
0.532663,4.47118,0
0.542714,3.59469,0
0.552764,3.49643,0
0.562814,4.03694,0
0.572864,4.23633,0
0.582915,3.60075,0
0.592965,2.72064,0
0.603015,2.40632,0
0.613065,2.62168,0
0.623116,2.63797,0
0.633166,2.09424,0
0.643216,1.46644,0
0.653266,1.36098,0
0.663317,1.68497,0
0.673367,1.82981,0
0.683417,1.53782,0
0.693467,1.21283,0
0.703518,1.291,0
0.713568,1.61075,0
0.723618,1.65852,0
0.733668,1.29199,0
0.743719,0.908701,0
0.753769,0.866315,0
0.763819,1.01132,0
0.773869,0.957427,0
0.78392,0.661417,0
0.79397,0.463579,0
0.80402,0.576606,0
0.81407,0.787749,0
0.824121,0.783608,0
0.834171,0.594093,0
0.844221,0.515614,0
0.854271,0.657983,0
0.864322,0.788358,0
0.874372,0.678724,0
0.884422,0.429999,0
0.894472,0.312231,0
0.904523,0.381228,0
0.914573,0.432488,0
0.924623,0.329221,0
0.934673,0.201075,0
0.944724,0.233814,0
0.954774,0.384754,0
0.964824,0.44719,0
0.974874,0.352424,0
0.984925,0.256006,0
0.994975,0.294393,0
1.00503,0.3854,0
1.01508,0.36076,0
1.02513,0.218021,0
1.03518,0.117863,0
1.04523,0.14691,0
1.05528,0.206555,0
1.06533,0.17956,0
1.07538,0.108315,0
1.08543,0.118993,0
1.09548,0.219579,0
1.10553,0.281866,0
1.11558,0.228878,0
1.12563,0.142101,0
1.13568,0.134035,0
1.14573,0.185165,0
1.15578,0.185843,0
1.16583,0.107731,0
1.17588,0.0434218,0
1.18593,0.0640553,0
1.19598,0.117843,0
1.20603,0.117668,0
1.21608,0.0747306,0
1.22613,0.0742013,0
1.23618,0.137238,0
1.24623,0.183692,0
1.25628,0.14968,0
1.26633,0.0793626,0
1.27638,0.0560858,0
1.28643,0.0828132,0
1.29648,0.0902184,0
1.30653,0.0501942,0
1.31658,0.0172758,0
1.32663,0.0403133,0
1.33668,0.0861643,0
1.34673,0.0916507,0
1.35678,0.0594434,0
1.36683,0.0500136,0
1.37688,0.085517,0
1.38693,0.114778,0
1.39698,0.0905621,0
1.40704,0.0391864,0
1.41709,0.0191875,0
1.42714,0.0367483,0
1.43719,0.0457851,0
1.44724,0.0254285,0
1.45729,0.0114824,0
1.46734,0.0361003,0
1.47739,0.0734571,0
1.48744,0.0765062,0
1.49749,0.0468942,0
1.50754,0.0304981,0
1.51759,0.0474002,0
1.52764,0.0640569,0
1.53769,0.0472697,0
1.54774,0.0145885,0
1.55779,0.00570169,0
1.56784,0.0228081,0
1.57789,0.0319932,0
1.58794,0.0194118,0
1.59799,0.0123256,0
1.60804,0.033376,0
1.61809,0.0614382,0
1.62814,0.0607305,0
1.63819,0.0332326,0
1.64824,0.0145636,0
1.65829,0.0214189,0
1.66834,0.0310433,0
1.67839,0.0207435,0
1.68844,0.00343285,0
1.69849,0.00534738,0
1.70854,0.0237812,0
1.71859,0.031663,0
1.72864,0.0203424,0
1.73869,0.0126387,0
1.74874,0.0261514,0
1.75879,0.0445712,0
1.76884,0.0413686,0
1.77889,0.0189716,0
1.78894,0.00407177,0
1.79899,0.00828624,0
1.80905,0.0148464,0
1.8191,0.00884114,0
1.82915,0.00122009,0
1.8392,0.00949776,0
1.84925,0.0274895,0
1.8593,0.0327638,0
1.86935,0.0202929,0
1.8794,0.00980595,0
1.88945,0.015741,0
1.8995,0.0262721,0
1.90955,0.0226409,0
1.9196,0.00768745,0
1.92965,0.000224528,0
1.9397,0.00605402,0
1.94975,0.0113308,0
1.9598,0.0067742,0
1.96985,0.00290358,0
1.9799,0.0121987,0
1.98995,0.0271276,0
2,0.02937,0
