# 20250117_150444
alpha,field0Re,field0Im
0,0.0255842,0
0.00157237,0.0255842,0
0.00314474,0.0255842,0
0.00471711,0.0255842,0
0.00628947,0.0255842,0
0.00786184,0.0255842,0
0.00943421,0.0255842,0
0.0110066,0.0255842,0
0.0125789,0.0255842,0
0.0141513,0.0255842,0
0.0157237,0.0255841,0
0.0172961,0.0255841,0
0.0188684,0.0255841,0
0.0204408,0.0255841,0
0.0220132,0.0255841,0
0.0235855,0.025584,0
0.0251579,0.025584,0
0.0267303,0.025584,0
0.0283026,0.0255839,0
0.029875,0.0255839,0
0.0314474,0.0255838,0
0.0330197,0.0255837,0
0.0345921,0.0255836,0
0.0361645,0.0255835,0
0.0377368,0.0255834,0
0.0393092,0.0255833,0
0.0408816,0.0255831,0
0.042454,0.0255829,0
0.0440263,0.0255828,0
0.0455987,0.0255825,0
0.0471711,0.0255823,0
0.0487434,0.0255821,0
0.0503158,0.0255818,0
0.0518882,0.0255815,0
0.0534605,0.0255812,0
0.0550329,0.0255808,0
0.0566053,0.0255804,0
0.0581776,0.02558,0
0.05975,0.0255795,0
0.0613224,0.025579,0
0.0628947,0.0255785,0
0.0644671,0.0255779,0
0.0660395,0.0255773,0
0.0676119,0.0255766,0
0.0691842,0.0255759,0
0.0707566,0.0255752,0
0.072329,0.0255743,0
0.0739013,0.0255735,0
0.0754737,0.0255725,0
0.0770461,0.0255716,0
0.0786184,0.0255705,0
0.0801908,0.0255694,0
0.0817632,0.0255683,0
0.0833355,0.025567,0
0.0849079,0.0255657,0
0.0864803,0.0255643,0
0.0880526,0.0255628,0
0.089625,0.0255613,0
0.0911974,0.0255596,0
0.0927698,0.0255579,0
0.0943421,0.0255561,0
0.0959145,0.0255542,0
0.0974869,0.0255522,0
0.0990592,0.0255501,0
0.100632,0.0255479,0
0.102204,0.0255456,0
0.103776,0.0255431,0
0.105349,0.0255406,0
0.106921,0.0255379,0
0.108493,0.0255351,0
0.110066,0.0255322,0
0.111638,0.0255292,0
0.113211,0.025526,0
0.114783,0.0255227,0
0.116355,0.0255192,0
0.117928,0.0255156,0
0.1195,0.0255119,0
0.121072,0.025508,0
0.122645,0.0255039,0
0.124217,0.0254997,0
0.125789,0.0254953,0
0.127362,0.0254907,0
0.128934,0.025486,0
0.130507,0.0254811,0
0.132079,0.025476,0
0.133651,0.0254706,0
0.135224,0.0254651,0
0.136796,0.0254594,0
0.138368,0.0254535,0
0.139941,0.0254474,0
0.141513,0.025441,0
0.143086,0.0254345,0
0.144658,0.0254276,0
0.14623,0.0254206,0
0.147803,0.0254133,0
0.149375,0.0254058,0
0.150947,0.025398,0
0.15252,0.02539,0
0.154092,0.0253817,0
0.155665,0.0253731,0
0.157237,0.0253642,0
0.158809,0.0253551,0
0.160382,0.0253457,0
0.161954,0.0253359,0
0.163526,0.0253259,0
0.165099,0.0253155,0
0.166671,0.0253048,0
0.168243,0.0252939,0
0.169816,0.0252826,0
0.171388,0.0252709,0
0.172961,0.0252589,0
0.174533,0.0252465,0
0.176105,0.0252338,0
0.177678,0.0252207,0
0.17925,0.0252072,0
0.180822,0.0251934,0
0.182395,0.0251791,0
0.183967,0.0251644,0
0.18554,0.0251493,0
0.187112,0.0251338,0
0.188684,0.0251179,0
0.190257,0.0251016,0
0.191829,0.0250848,0
0.193401,0.0250675,0
0.194974,0.0250498,0
0.196546,0.0250315,0
0.198118,0.0250128,0
0.199691,0.0249937,0
0.201263,0.0249741,0
0.202836,0.0249539,0
0.204408,0.0249331,0
0.20598,0.0249118,0
0.207553,0.02489,0
0.209125,0.0248677,0
0.210697,0.0248448,0
0.21227,0.0248213,0
0.213842,0.0247972,0
0.215415,0.0247725,0
0.216987,0.0247472,0
0.218559,0.0247213,0
0.220132,0.0246948,0
0.221704,0.0246676,0
0.223276,0.0246398,0
0.224849,0.0246112,0
0.226421,0.024582,0
0.227993,0.0245521,0
0.229566,0.0245215,0
0.231138,0.0244903,0
0.232711,0.0244582,0
0.234283,0.0244254,0
0.235855,0.0243918,0
0.237428,0.0243575,0
0.239,0.0243224,0
0.240572,0.0242866,0
0.242145,0.0242499,0
0.243717,0.0242123,0
0.24529,0.0241739,0
0.246862,0.0241346,0
0.248434,0.0240945,0
0.250007,0.0240536,0
0.251579,0.0240118,0
0.253151,0.023969,0
0.254724,0.0239252,0
0.256296,0.0238805,0
0.257868,0.0238348,0
0.259441,0.0237883,0
0.261013,0.0237407,0
0.262586,0.0236921,0
0.264158,0.0236425,0
0.26573,0.0235917,0
0.267303,0.02354,0
0.268875,0.0234872,0
0.270447,0.0234334,0
0.27202,0.0233784,0
0.273592,0.0233223,0
0.275165,0.023265,0
0.276737,0.0232065,0
0.278309,0.0231469,0
0.279882,0.0230862,0
0.281454,0.0230242,0
0.283026,0.022961,0
0.284599,0.0228964,0
0.286171,0.0228306,0
0.287743,0.0227635,0
0.289316,0.0226952,0
0.290888,0.0226257,0
0.292461,0.0225547,0
0.294033,0.0224823,0
0.295605,0.0224084,0
0.297178,0.0223332,0
0.29875,0.0222567,0
0.300322,0.0221788,0
0.301895,0.0220993,0
0.303467,0.0220184,0
0.30504,0.0219358,0
0.306612,0.0218518,0
0.308184,0.0217663,0
0.309757,0.0216793,0
0.311329,0.0215907,0
0.312901,0.0215005,0
0.314474,0.0214086,0
0.316046,0.021315,0
0.317618,0.0212198,0
0.319191,0.021123,0
0.320763,0.0210245,0
0.322336,0.0209243,0
0.323908,0.0208222,0
0.32548,0.0207184,0
0.327053,0.0206127,0
0.328625,0.0205053,0
0.330197,0.0203963,0
0.33177,0.0202853,0
0.333342,0.0201723,0
0.334915,0.0200574,0
0.336487,0.0199406,0
0.338059,0.019822,0
0.339632,0.0197014,0
0.341204,0.019579,0
0.342776,0.0194544,0
0.344349,0.0193277,0
0.345921,0.019199,0
0.347493,0.0190683,0
0.349066,0.0189356,0
0.350638,0.0188009,0
0.352211,0.018664,0
0.353783,0.0185248,0
0.355355,0.0183835,0
0.356928,0.01824,0
0.3585,0.0180944,0
0.360072,0.0179467,0
0.361645,0.0177967,0
0.363217,0.0176444,0
0.36479,0.0174897,0
0.366362,0.0173327,0
0.367934,0.0171735,0
0.369507,0.0170121,0
0.371079,0.0168484,0
0.372651,0.0166823,0
0.374224,0.0165136,0
0.375796,0.0163426,0
0.377368,0.0161691,0
0.378941,0.0159934,0
0.380513,0.0158154,0
0.382086,0.0156348,0
0.383658,0.0154516,0
0.38523,0.0152659,0
0.386803,0.0150776,0
0.388375,0.014887,0
0.389947,0.0146941,0
0.39152,0.0144986,0
0.393092,0.0143004,0
0.394665,0.0140995,0
0.396237,0.0138961,0
0.397809,0.0136902,0
0.399382,0.0134818,0
0.400954,0.013271,0
0.402526,0.0130574,0
0.404099,0.0128411,0
0.405671,0.0126221,0
0.407243,0.0124006,0
0.408816,0.0121765,0
0.410388,0.0119501,0
0.411961,0.0117209,0
0.413533,0.0114889,0
0.415105,0.0112542,0
0.416678,0.0110169,0
0.41825,0.0107771,0
0.419822,0.0105348,0
0.421395,0.01029,0
0.422967,0.0100423,0
0.42454,0.0097919,0
0.426112,0.00953887,0
0.427684,0.00928331,0
0.429257,0.00902532,0
0.430829,0.00876492,0
0.432401,0.00850175,0
0.433974,0.00823586,0
0.435546,0.00796735,0
0.437118,0.00769636,0
0.438691,0.00742298,0
0.440263,0.00714732,0
0.441836,0.00686908,0
0.443408,0.00658817,0
0.44498,0.0063047,0
0.446553,0.00601881,0
0.448125,0.00573063,0
0.449697,0.00544027,0
0.45127,0.00514764,0
0.452842,0.00485242,0
0.454415,0.00455475,0
0.455987,0.00425476,0
0.457559,0.00395262,0
0.459132,0.00364846,0
0.460704,0.00334235,0
0.462276,0.0030339,0
0.463849,0.00272314,0
0.465421,0.00241024,0
0.466994,0.00209535,0
0.468566,0.00177864,0
0.470138,0.00146027,0
0.471711,0.00113993,0
0.473283,0.000817469,0
0.474855,0.000493078,0
0.476428,0.000166936,0
0.478,-0.000160774,0
0.479572,-0.00048987,0
0.481145,-0.000820396,0
0.482717,-0.00115276,0
0.48429,-0.0014868,0
0.485862,-0.00182229,0
0.487434,-0.00215905,0
0.489007,-0.00249686,0
0.490579,-0.00283558,0
0.492151,-0.0031757,0
0.493724,-0.00351716,0
0.495296,-0.00385975,0
0.496869,-0.00420323,0
0.498441,-0.00454738,0
0.500013,-0.00489197,0
0.501586,-0.00523729,0
