# 20250117_150450
# initdata:	Data/init_real_consteps_varm_20250116_114850/init15.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.785
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2022.02,0
0.0100503,1982.01,0
0.0201005,1866.89,0
0.0301508,1690.47,0
0.040201,1472.62,0
0.0502513,1235.42,0
0.0603015,999.513,0
0.0703518,780.854,0
0.080402,589.727,0
0.0904523,430.604,0
0.100503,303.738,0
0.110553,206.803,0
0.120603,136.344,0
0.130653,88.4088,0
0.140704,58.6581,0
0.150754,42.2931,0
0.160804,34.2489,0
0.170854,29.9213,0
0.180905,26.0587,0
0.190955,21.3122,0
0.201005,16.037,0
0.211055,11.3965,0
0.221106,8.28393,0
0.231156,6.7026,0
0.241206,5.92041,0
0.251256,5.15617,0
0.261307,4.19363,0
0.271357,3.43046,0
0.281407,3.37497,0
0.291457,4.07419,0
0.301508,5.00373,0
0.311558,5.51602,0
0.321608,5.4232,0
0.331658,5.15612,0
0.341709,5.33955,0
0.351759,6.1657,0
0.361809,7.19322,0
0.371859,7.76026,0
0.38191,7.63488,0
0.39196,7.25513,0
0.40201,7.30297,0
0.41206,8.01951,0
0.422111,8.94848,0
0.432161,9.38417,0
0.442211,9.08538,0
0.452261,8.52669,0
0.462312,8.41487,0
0.472362,8.95747,0
0.482412,9.64395,0
0.492462,9.7744,0
0.502513,9.19568,0
0.512563,8.45292,0
0.522613,8.20568,0
0.532663,8.52549,0
0.542714,8.83471,0
0.552764,8.54929,0
0.562814,7.71873,0
0.572864,6.96249,0
0.582915,6.78235,0
0.592965,7.02227,0
0.603015,7.07481,0
0.613065,6.58585,0
0.623116,5.8506,0
0.633166,5.45824,0
0.643216,5.60934,0
0.653266,5.8984,0
0.663317,5.8005,0
0.673367,5.27836,0
0.683417,4.79916,0
0.693467,4.7599,0
0.703518,5.01646,0
0.713568,5.07042,0
0.723618,4.67085,0
0.733668,4.09997,0
0.743719,3.81237,0
0.753769,3.88613,0
0.763819,3.95451,0
0.773869,3.68099,0
0.78392,3.17536,0
0.79397,2.84306,0
0.80402,2.87637,0
0.81407,3.03094,0
0.824121,2.9525,0
0.834171,2.62263,0
0.844221,2.36387,0
0.854271,2.4065,0
0.864322,2.59884,0
0.874372,2.60359,0
0.884422,2.33059,0
0.894472,2.0345,0
0.904523,1.97293,0
0.914573,2.0788,0
0.924623,2.06628,0
0.934673,1.8144,0
0.944724,1.52002,0
0.954774,1.43205,0
0.964824,1.53084,0
0.974874,1.57225,0
0.984925,1.42145,0
0.994975,1.2242,0
1.00503,1.19705,0
1.01508,1.33087,0
1.02513,1.40554,0
1.03518,1.2853,0
1.04523,1.09107,0
1.05528,1.02581,0
1.06533,1.10049,0
1.07538,1.13071,0
1.08543,0.996277,0
1.09548,0.803327,0
1.10553,0.734792,0
1.11558,0.804622,0
1.12563,0.851623,0
1.13568,0.769444,0
1.14573,0.648703,0
1.15578,0.641002,0
1.16583,0.743184,0
1.17588,0.80209,0
1.18593,0.724511,0
1.19598,0.600195,0
1.20603,0.568032,0
1.21608,0.624824,0
1.22613,0.638623,0
1.23618,0.539852,0
1.24623,0.417865,0
1.25628,0.393339,0
1.26633,0.453305,0
1.27638,0.478876,0
1.28643,0.417506,0
1.29648,0.352261,0
1.30653,0.375718,0
1.31658,0.454497,0
1.32663,0.476338,0
1.33668,0.407289,0
1.34673,0.334094,0
1.35678,0.336881,0
1.36683,0.378351,0
1.37688,0.364437,0
1.38693,0.282916,0
1.39698,0.220089,0
1.40704,0.236787,0
1.41709,0.285344,0
1.42714,0.283436,0
1.43719,0.232611,0
1.44724,0.210428,0
1.45729,0.252824,0
1.46734,0.300196,0
1.47739,0.283017,0
1.48744,0.219829,0
1.49749,0.187072,0
1.50754,0.208902,0
1.51759,0.227687,0
1.52764,0.193505,0
1.53769,0.138231,0
1.54774,0.127757,0
1.55779,0.16615,0
1.56784,0.192244,0
1.57789,0.170129,0
1.58794,0.13871,0
1.59799,0.150023,0
1.60804,0.190237,0
1.61809,0.199411,0
1.62814,0.158536,0
1.63819,0.115484,0
1.64824,0.11459,0
1.65829,0.135499,0
1.66834,0.12896,0
1.67839,0.0925496,0
1.68844,0.0734901,0
1.69849,0.0971708,0
1.70854,0.12933,0
1.71859,0.126791,0
1.72864,0.0996384,0
1.73869,0.093131,0
1.74874,0.118579,0
1.75879,0.136456,0
1.76884,0.11519,0
1.77889,0.0771067,0
1.78894,0.0648921,0
1.79899,0.0806463,0
1.80905,0.0874628,0
1.8191,0.0677784,0
1.82915,0.0494463,0
1.8392,0.0619937,0
1.84925,0.0907594,0
1.8593,0.0978216,0
1.86935,0.0772026,0
1.8794,0.0616673,0
1.88945,0.0725271,0
1.8995,0.0884821,0
1.90955,0.0789194,0
1.9196,0.0501602,0
1.92965,0.0357722,0
1.9397,0.0473229,0
1.94975,0.0598439,0
1.9598,0.0517988,0
1.96985,0.0374998,0
1.9799,0.0435872,0
1.98995,0.0667685,0
2,0.0772638,0
