# 20250117_150454
# initdata:	Data/init_real_consteps_varm_20250116_114850/init18.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.914
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1510.84,0
0.0100503,1482.82,0
0.0201005,1401.78,0
0.0301508,1276.32,0
0.040201,1119.16,0
0.0502513,945.116,0
0.0603015,768.806,0
0.0703518,602.693,0
0.080402,455.701,0
0.0904523,332.725,0
0.100503,234.955,0
0.110553,160.806,0
0.120603,107.075,0
0.130653,69.9637,0
0.140704,45.7435,0
0.150754,31.0282,0
0.160804,22.8142,0
0.170854,18.4876,0
0.180905,15.9338,0
0.190955,13.7255,0
0.201005,11.2452,0
0.211055,8.59466,0
0.221106,6.26355,0
0.231156,4.69985,0
0.241206,4.00619,0
0.251256,3.9205,0
0.261307,4.05155,0
0.271357,4.17123,0
0.281407,4.33618,0
0.291457,4.75686,0
0.301508,5.5392,0
0.311558,6.528,0
0.321608,7.39414,0
0.331658,7.89513,0
0.341709,8.08002,0
0.351759,8.24849,0
0.361809,8.68629,0
0.371859,9.40405,0
0.38191,10.1161,0
0.39196,10.489,0
0.40201,10.4423,0
0.41206,10.2264,0
0.422111,10.1972,0
0.432161,10.4894,0
0.442211,10.8919,0
0.452261,11.0489,0
0.462312,10.8003,0
0.472362,10.3394,0
0.482412,10.031,0
0.492462,10.0629,0
0.502513,10.2706,0
0.512563,10.306,0
0.522613,9.9862,0
0.532663,9.47329,0
0.542714,9.10585,0
0.552764,9.05474,0
0.562814,9.15406,0
0.572864,9.07909,0
0.582915,8.68328,0
0.592965,8.14404,0
0.603015,7.76802,0
0.613065,7.66703,0
0.623116,7.6479,0
0.633166,7.42906,0
0.643216,6.9447,0
0.653266,6.40835,0
0.663317,6.0749,0
0.673367,5.96731,0
0.683417,5.86717,0
0.693467,5.5693,0
0.703518,5.11007,0
0.713568,4.71699,0
0.723618,4.54715,0
0.733668,4.51612,0
0.743719,4.40706,0
0.753769,4.12395,0
0.763819,3.794,0
0.773869,3.60733,0
0.78392,3.59026,0
0.79397,3.57843,0
0.80402,3.41392,0
0.81407,3.12716,0
0.824121,2.89053,0
0.834171,2.80749,0
0.844221,2.79369,0
0.854271,2.68676,0
0.864322,2.44503,0
0.874372,2.193,0
0.884422,2.0658,0
0.894472,2.04936,0
0.904523,2.00862,0
0.914573,1.86025,0
0.924623,1.67204,0
0.934673,1.57068,0
0.944724,1.58102,0
0.954774,1.5986,0
0.964824,1.52367,0
0.974874,1.38231,0
0.984925,1.28445,0
0.994975,1.27904,0
1.00503,1.29358,0
1.01508,1.23052,0
1.02513,1.0919,0
1.03518,0.973129,0
1.04523,0.939308,0
1.05528,0.946756,0
1.06533,0.906893,0
1.07538,0.803798,0
1.08543,0.711962,0
1.09548,0.69605,0
1.10553,0.727766,0
1.11558,0.726406,0
1.12563,0.664668,0
1.13568,0.599242,0
1.14573,0.59017,0
1.15578,0.619777,0
1.16583,0.617772,0
1.17588,0.554764,0
1.18593,0.478639,0
1.19598,0.448727,0
1.20603,0.45914,0
1.21608,0.452449,0
1.22613,0.400355,0
1.23618,0.340695,0
1.24623,0.32406,0
1.25628,0.345897,0
1.26633,0.355623,0
1.27638,0.326407,0
1.28643,0.288749,0
1.29648,0.284582,0
1.30653,0.30809,0
1.31658,0.314328,0
1.32663,0.281046,0
1.33668,0.23756,0
1.34673,0.222984,0
1.35678,0.233811,0
1.36683,0.232362,0
1.37688,0.201275,0
1.38693,0.167149,0
1.39698,0.162473,0
1.40704,0.181056,0
1.41709,0.188411,0
1.42714,0.170033,0
1.43719,0.149221,0
1.44724,0.151531,0
1.45729,0.167977,0
1.46734,0.168341,0
1.47739,0.143914,0
1.48744,0.118829,0
1.49749,0.115553,0
1.50754,0.124581,0
1.51759,0.120305,0
1.52764,0.0985754,0
1.53769,0.0822207,0
1.54774,0.0880664,0
1.55779,0.103471,0
1.56784,0.10492,0
1.57789,0.0908363,0
1.58794,0.0818723,0
1.59799,0.0898061,0
1.60804,0.10048,0
1.61809,0.0944186,0
1.62814,0.0745124,0
1.63819,0.0613536,0
1.64824,0.0641916,0
1.65829,0.0695003,0
1.66834,0.0622746,0
1.67839,0.048044,0
1.68844,0.0441554,0
1.69849,0.0542067,0
1.70854,0.0630393,0
1.71859,0.0587262,0
1.72864,0.0489266,0
1.73869,0.0484566,0
1.74874,0.0570926,0
1.75879,0.06005,0
1.76884,0.0497092,0
1.77889,0.0365798,0
1.78894,0.0340878,0
1.79899,0.039929,0
1.80905,0.0407628,0
1.8191,0.0323823,0
1.82915,0.0255726,0
1.8392,0.029777,0
1.84925,0.0391069,0
1.8593,0.0409117,0
1.86935,0.0337297,0
1.8794,0.0284023,0
1.88945,0.0315383,0
1.8995,0.0360718,0
1.90955,0.032296,0
1.9196,0.0224402,0
1.92965,0.0173748,0
1.9397,0.0208973,0
1.94975,0.0249247,0
1.9598,0.0220899,0
1.96985,0.0165798,0
1.9799,0.0173846,0
1.98995,0.0245124,0
2,0.0287163,0
