# 20250117_150456
alpha,Dfield0Re,Dfield0Im
0,0,0
0.00157237,2.68138e-05,0
0.00314474,5.13196e-05,0
0.00471711,7.55782e-05,0
0.00628947,0.00010165,0
0.00786184,0.000131597,0
0.00943421,0.000167479,0
0.0110066,0.000213256,0
0.0125789,0.000275454,0
0.0141513,0.000351717,0
0.0157237,0.000438975,0
0.0172961,0.000534159,0
0.0188684,0.000634201,0
0.0204408,0.000736568,0
0.0220132,0.000848189,0
0.0235855,0.00097092,0
0.0251579,0.00110321,0
0.0267303,0.00124352,0
0.0283026,0.0013903,0
0.029875,0.001542,0
0.0314474,0.00170045,0
0.0330197,0.00186902,0
0.0345921,0.00204674,0
0.0361645,0.00223259,0
0.0377368,0.0024256,0
0.0393092,0.00262474,0
0.0408816,0.00282991,0
0.042454,0.00304437,0
0.0440263,0.0032679,0
0.0455987,0.00349978,0
0.0471711,0.00373927,0
0.0487434,0.00398564,0
0.0503158,0.00423825,0
0.0518882,0.00449927,0
0.0534605,0.00476948,0
0.0550329,0.0050483,0
0.0566053,0.00533514,0
0.0581776,0.00562943,0
0.05975,0.00593056,0
0.0613224,0.00623926,0
0.0628947,0.00655733,0
0.0644671,0.0068843,0
0.0660395,0.00721968,0
0.0676119,0.00756298,0
0.0691842,0.00791369,0
0.0707566,0.00827168,0
0.072329,0.00863891,0
0.0739013,0.00901536,0
0.0754737,0.00940059,0
0.0770461,0.00979416,0
0.0786184,0.0101956,0
0.0801908,0.0106046,0
0.0817632,0.0110223,0
0.0833355,0.0114496,0
0.0849079,0.011886,0
0.0864803,0.0123311,0
0.0880526,0.0127846,0
0.089625,0.013246,0
0.0911974,0.0137157,0
0.0927698,0.0141951,0
0.0943421,0.014684,0
0.0959145,0.015182,0
0.0974869,0.0156887,0
0.0990592,0.0162037,0
0.100632,0.016727,0
0.102204,0.0172599,0
0.103776,0.0178026,0
0.105349,0.0183547,0
0.106921,0.0189159,0
0.108493,0.0194859,0
0.110066,0.0200643,0
0.111638,0.020652,0
0.113211,0.0212498,0
0.114783,0.0218574,0
0.116355,0.0224744,0
0.117928,0.0231005,0
0.1195,0.0237355,0
0.121072,0.0243795,0
0.122645,0.0250338,0
0.124217,0.0256982,0
0.125789,0.0263724,0
0.127362,0.0270561,0
0.128934,0.027749,0
0.130507,0.0284509,0
0.132079,0.0291631,0
0.133651,0.0298857,0
0.135224,0.0306185,0
0.136796,0.0313611,0
0.138368,0.0321134,0
0.139941,0.032875,0
0.141513,0.0336466,0
0.143086,0.0344289,0
0.144658,0.0352217,0
