# 20250121_104024
# initdata:	Data/init_real_consteps_varm_20250116_114850/init03.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.269
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,8403.96,0
0.0100503,8124.39,0
0.0201005,7345.69,0
0.0301508,6224.86,0
0.040201,4959.54,0
0.0502513,3727.58,0
0.0603015,2649.64,0
0.0703518,1783.53,0
0.080402,1139.91,0
0.0904523,701.545,0
0.100503,434.837,0
0.110553,294.67,0
0.120603,230.282,0
0.130653,196.375,0
0.140704,165.015,0
0.150754,129.797,0
0.160804,98.3874,0
0.170854,78.8961,0
0.180905,70.6032,0
0.190955,65.2633,0
0.201005,55.578,0
0.211055,41.5967,0
0.221106,29.1194,0
0.231156,22.7836,0
0.241206,21.4745,0
0.251256,20.3391,0
0.261307,16.3091,0
0.271357,10.8032,0
0.281407,7.19767,0
0.291457,6.66622,0
0.301508,7.22973,0
0.311558,6.53163,0
0.321608,4.54904,0
0.331658,3.11186,0
0.341709,3.30977,0
0.351759,4.20945,0
0.361809,4.23288,0
0.371859,3.12956,0
0.38191,2.0462,0
0.39196,1.88734,0
0.40201,2.24693,0
0.41206,2.14853,0
0.422111,1.38418,0
0.432161,0.66402,0
0.442211,0.569236,0
0.452261,0.838887,0
0.462312,0.862485,0
0.472362,0.547582,0
0.482412,0.353907,0
0.492462,0.564085,0
0.502513,0.881919,0
0.512563,0.873258,0
0.522613,0.557344,0
0.532663,0.327405,0
0.542714,0.38327,0
0.552764,0.500948,0
0.562814,0.406817,0
0.572864,0.16678,0
0.582915,0.0535831,0
0.592965,0.143923,0
0.603015,0.240511,0
0.613065,0.189115,0
0.623116,0.0943798,0
0.633166,0.135599,0
0.643216,0.28569,0
0.653266,0.349293,0
0.663317,0.242899,0
0.673367,0.100522,0
0.683417,0.0717577,0
0.693467,0.12475,0
0.703518,0.126433,0
0.713568,0.0509783,0
0.723618,0.00339773,0
0.733668,0.0473325,0
0.743719,0.110812,0
0.753769,0.102836,0
0.763819,0.0504095,0
0.773869,0.0500533,0
0.78392,0.117038,0
0.79397,0.161495,0
0.80402,0.119652,0
0.81407,0.0406639,0
0.824121,0.00905531,0
0.834171,0.0290952,0
0.844221,0.0384958,0
0.854271,0.0138363,0
0.864322,0.00117707,0
0.874372,0.0344019,0
0.884422,0.0761824,0
0.894472,0.0726897,0
0.904523,0.0342785,0
0.914573,0.0186919,0
0.924623,0.0453082,0
0.934673,0.0700117,0
0.944724,0.0531739,0
0.954774,0.0150588,0
0.964824,0.000163624,0
0.974874,0.0122726,0
0.984925,0.0181651,0
0.994975,0.00605008,0
1.00503,0.00367106,0
1.01508,0.0302541,0
1.02513,0.0606137,0
1.03518,0.0584951,0
1.04523,0.0281062,0
1.05528,0.00704886,0
1.06533,0.0133062,0
1.07538,0.0254974,0
1.08543,0.0203654,0
1.09548,0.00634653,0
1.10553,0.00499813,0
1.11558,0.015127,0
1.12563,0.016971,0
1.13568,0.00672457,0
1.14573,0.00429996,0
1.15578,0.0215055,0
1.16583,0.0408438,0
1.17588,0.0385665,0
1.18593,0.0175612,0
1.19598,0.00174468,0
1.20603,0.00256201,0
1.21608,0.00777393,0
1.22613,0.00527476,0
1.23618,0.00184659,0
1.24623,0.00890353,0
1.25628,0.0208557,0
1.26633,0.0218622,0
1.27638,0.0103901,0
1.28643,0.00271925,0
1.29648,0.00949322,0
1.30653,0.0207366,0
1.31658,0.0209792,0
1.32663,0.0106359,0
1.33668,0.00262576,0
1.34673,0.00245109,0
1.35678,0.00320788,0
1.36683,0.00062148,0
1.37688,0.00153536,0
1.38693,0.0116857,0
1.39698,0.02315,0
1.40704,0.0230475,0
1.41709,0.0115322,0
1.42714,0.00204468,0
1.43719,0.00325895,0
1.44724,0.00909325,0
1.45729,0.00981365,0
1.46734,0.00584899,0
1.47739,0.0043133,0
1.48744,0.00630769,0
1.49749,0.00600465,0
1.50754,0.00189091,0
1.51759,0.000792419,0
1.52764,0.00740324,0
1.53769,0.0157068,0
1.54774,0.0162167,0
1.55779,0.00864409,0
1.56784,0.00151003,0
1.57789,0.000228317,0
1.58794,0.00168293,0
1.59799,0.00178272,0
1.60804,0.00238957,0
1.61809,0.00668669,0
1.62814,0.0116576,0
1.63819,0.011051,0
1.64824,0.00497567,0
1.65829,0.000959702,0
1.66834,0.0039828,0
1.67839,0.00983988,0
1.68844,0.0112381,0
1.69849,0.00727962,0
1.70854,0.00302643,0
1.71859,0.00152337,0
1.72864,0.000989185,0
1.73869,0.000128684,0
1.74874,0.00140153,0
1.75879,0.0064203,0
1.76884,0.0113583,0
1.77889,0.0108343,0
1.78894,0.00526108,0
1.79899,0.000628223,0
1.80905,0.000801647,0
1.8191,0.00338433,0
1.82915,0.00437507,0
1.8392,0.00377466,0
1.84925,0.00399799,0
1.8593,0.00486386,0
1.86935,0.00385598,0
1.8794,0.00109146,0
1.88945,0.000403949,0
1.8995,0.00401748,0
1.90955,0.00869913,0
1.9196,0.00949093,0
1.92965,0.00586486,0
1.9397,0.00175442,0
1.94975,0.000152895,0
1.9598,0.000394536,0
1.96985,0.00103685,0
1.9799,0.00254929,0
1.98995,0.005403,0
2,0.00749744,0
