# 20250121_104027
alpha,Dfield0Re,Dfield0Im
0,0,0
0.00157237,1.83687e-05,0
0.00314474,3.51554e-05,0
0.00471711,5.17726e-05,0
0.00628947,6.9633e-05,0
0.00786184,9.01493e-05,0
0.00943421,0.000114734,0
0.0110066,0.000146104,0
0.0125789,0.000188741,0
0.0141513,0.000241027,0
0.0157237,0.000300854,0
0.0172961,0.000366117,0
0.0188684,0.000434708,0
0.0204408,0.000504888,0
0.0220132,0.000581409,0
0.0235855,0.000665544,0
0.0251579,0.000756234,0
0.0267303,0.000852417,0
0.0283026,0.000953034,0
0.029875,0.00105702,0
0.0314474,0.00116564,0
0.0330197,0.0012812,0
0.0345921,0.00140302,0
0.0361645,0.00153043,0
0.0377368,0.00166273,0
0.0393092,0.00179924,0
0.0408816,0.00193989,0
0.042454,0.0020869,0
0.0440263,0.00224013,0
0.0455987,0.00239908,0
0.0471711,0.00256325,0
0.0487434,0.00273215,0
0.0503158,0.00290532,0
0.0518882,0.00308426,0
0.0534605,0.00326951,0
0.0550329,0.00346066,0
0.0566053,0.00365732,0
0.0581776,0.00385909,0
0.05975,0.00406555,0
0.0613224,0.00427722,0
0.0628947,0.0044953,0
0.0644671,0.0047195,0
0.0660395,0.00494947,0
0.0676119,0.00518488,0
0.0691842,0.00542538,0
0.0707566,0.00567088,0
0.072329,0.00592273,0
0.0739013,0.00618091,0
0.0754737,0.00644512,0
0.0770461,0.00671507,0
0.0786184,0.00699044,0
0.0801908,0.00727096,0
0.0817632,0.00755753,0
0.0833355,0.00785067,0
0.0849079,0.00815008,0
0.0864803,0.0084555,0
0.0880526,0.00876666,0
0.089625,0.00908328,0
0.0911974,0.00940562,0
0.0927698,0.00973468,0
0.0943421,0.0100703,0
0.0959145,0.0104121,0
0.0974869,0.01076,0
0.0990592,0.0111136,0
0.100632,0.0114729,0
0.102204,0.0118389,0
0.103776,0.0122117,0
0.105349,0.0125909,0
0.106921,0.0129765,0
0.108493,0.0133681,0
0.110066,0.0137656,0
0.111638,0.0141695,0
0.113211,0.0145805,0
0.114783,0.0149982,0
0.116355,0.0154225,0
0.117928,0.0158531,0
0.1195,0.0162899,0
0.121072,0.016733,0
0.122645,0.0171833,0
0.124217,0.0176406,0
0.125789,0.0181047,0
0.127362,0.0185755,0
0.128934,0.0190527,0
0.130507,0.0195363,0
0.132079,0.0200271,0
0.133651,0.0205252,0
0.135224,0.0210304,0
0.136796,0.0215425,0
0.138368,0.0220615,0
0.139941,0.022587,0
0.141513,0.0231196,0
0.143086,0.0236598,0
0.144658,0.0242075,0
0.14623,0.0247624,0
0.147803,0.0253244,0
0.149375,0.0258933,0
0.150947,0.0264693,0
0.15252,0.0270531,0
0.154092,0.0276446,0
0.155665,0.0282437,0
0.157237,0.0288502,0
0.158809,0.0294641,0
0.160382,0.0300851,0
0.161954,0.030714,0
0.163526,0.0313509,0
0.165099,0.0319958,0
0.166671,0.0326485,0
0.168243,0.0333088,0
0.169816,0.0339766,0
0.171388,0.0346523,0
0.172961,0.0353363,0
0.174533,0.0360286,0
0.176105,0.0367291,0
0.177678,0.0374376,0
0.17925,0.0381539,0
0.180822,0.0388781,0
0.182395,0.039611,0
0.183967,0.0403524,0
0.18554,0.0411024,0
0.187112,0.0418607,0
0.188684,0.0426273,0
0.190257,0.0434019,0
0.191829,0.0441853,0
0.193401,0.0449776,0
0.194974,0.0457788,0
0.196546,0.0465887,0
0.198118,0.0474072,0
0.199691,0.0482341,0
0.201263,0.0490697,0
0.202836,0.0499146,0
0.204408,0.0507687,0
0.20598,0.0516319,0
0.207553,0.052504,0
0.209125,0.0533849,0
0.210697,0.0542745,0
0.21227,0.0551736,0
0.213842,0.0560823,0
0.215415,0.0570003,0
0.216987,0.0579277,0
0.218559,0.0588641,0
0.220132,0.0598094,0
0.221704,0.0607643,0
0.223276,0.0617291,0
0.224849,0.0627035,0
0.226421,0.0636876,0
0.227993,0.064681,0
0.229566,0.0656837,0
0.231138,0.0666957,0
0.232711,0.0677179,0
0.234283,0.0687501,0
0.235855,0.0697921,0
0.237428,0.0708439,0
0.239,0.071905,0
0.240572,0.0729756,0
0.242145,0.0740564,0
0.243717,0.0751475,0
0.24529,0.0762487,0
0.246862,0.0773598,0
0.248434,0.0784805,0
0.250007,0.0796107,0
0.251579,0.0807509,0
0.253151,0.0819017,0
0.254724,0.0830627,0
0.256296,0.0842337,0
0.257868,0.0854147,0
0.259441,0.0866052,0
0.261013,0.0878055,0
0.262586,0.0890163,0
0.264158,0.0902377,0
0.26573,0.0914692,0
0.267303,0.0927106,0
0.268875,0.0939617,0
0.270447,0.0952223,0
0.27202,0.0964932,0
0.273592,0.0977747,0
0.275165,0.0990664,0
0.276737,0.100368,0
0.278309,0.101679,0
0.279882,0.103,0
0.281454,0.10433,0
0.283026,0.105671,0
0.284599,0.107023,0
0.286171,0.108384,0
0.287743,0.109754,0
0.289316,0.111134,0
0.290888,0.112523,0
0.292461,0.113922,0
0.294033,0.115331,0
0.295605,0.11675,0
0.297178,0.118178,0
0.29875,0.119614,0
0.300322,0.12106,0
0.301895,0.122515,0
0.303467,0.123979,0
0.30504,0.125453,0
0.306612,0.126936,0
0.308184,0.128428,0
0.309757,0.129927,0
0.311329,0.131434,0
0.312901,0.132951,0
0.314474,0.134477,0
0.316046,0.13601,0
0.317618,0.137552,0
0.319191,0.139101,0
0.320763,0.140657,0
0.322336,0.142221,0
0.323908,0.143793,0
0.32548,0.145373,0
0.327053,0.14696,0
0.328625,0.148553,0
0.330197,0.150152,0
0.33177,0.151757,0
0.333342,0.15337,0
0.334915,0.154989,0
0.336487,0.156615,0
0.338059,0.158245,0
0.339632,0.159879,0
0.341204,0.161519,0
0.342776,0.163164,0
0.344349,0.164815,0
0.345921,0.16647,0
0.347493,0.168129,0
0.349066,0.169791,0
0.350638,0.171455,0
0.352211,0.173123,0
0.353783,0.174795,0
0.355355,0.17647,0
0.356928,0.178147,0
0.3585,0.179824,0
0.360072,0.181502,0
0.361645,0.183181,0
0.363217,0.184862,0
0.36479,0.186545,0
0.366362,0.188227,0
0.367934,0.189908,0
0.369507,0.191586,0
0.371079,0.193262,0
