# 20250121_104027
alpha,field0Re,field0Im
0,0.0224365,0
0.00157237,0.0224365,0
0.00314474,0.0224365,0
0.00471711,0.0224365,0
0.00628947,0.0224365,0
0.00786184,0.0224365,0
0.00943421,0.0224365,0
0.0110066,0.0224365,0
0.0125789,0.0224365,0
0.0141513,0.0224365,0
0.0157237,0.0224364,0
0.0172961,0.0224364,0
0.0188684,0.0224364,0
0.0204408,0.0224364,0
0.0220132,0.0224364,0
0.0235855,0.0224363,0
0.0251579,0.0224363,0
0.0267303,0.0224362,0
0.0283026,0.0224362,0
0.029875,0.0224361,0
0.0314474,0.022436,0
0.0330197,0.022436,0
0.0345921,0.0224358,0
0.0361645,0.0224357,0
0.0377368,0.0224356,0
0.0393092,0.0224354,0
0.0408816,0.0224353,0
0.042454,0.0224351,0
0.0440263,0.0224349,0
0.0455987,0.0224346,0
0.0471711,0.0224344,0
0.0487434,0.0224341,0
0.0503158,0.0224338,0
0.0518882,0.0224334,0
0.0534605,0.022433,0
0.0550329,0.0224326,0
0.0566053,0.0224322,0
0.0581776,0.0224317,0
0.05975,0.0224312,0
0.0613224,0.0224306,0
0.0628947,0.02243,0
0.0644671,0.0224293,0
0.0660395,0.0224286,0
0.0676119,0.0224279,0
0.0691842,0.022427,0
0.0707566,0.0224262,0
0.072329,0.0224253,0
0.0739013,0.0224243,0
0.0754737,0.0224232,0
0.0770461,0.0224221,0
0.0786184,0.0224209,0
0.0801908,0.0224197,0
0.0817632,0.0224183,0
0.0833355,0.0224169,0
0.0849079,0.0224154,0
0.0864803,0.0224138,0
0.0880526,0.0224121,0
0.089625,0.0224103,0
0.0911974,0.0224085,0
0.0927698,0.0224065,0
0.0943421,0.0224045,0
0.0959145,0.0224023,0
0.0974869,0.0224,0
0.0990592,0.0223976,0
0.100632,0.0223951,0
0.102204,0.0223924,0
0.103776,0.0223897,0
0.105349,0.0223868,0
0.106921,0.0223837,0
0.108493,0.0223805,0
0.110066,0.0223772,0
0.111638,0.0223738,0
0.113211,0.0223702,0
0.114783,0.0223664,0
0.116355,0.0223624,0
0.117928,0.0223583,0
0.1195,0.0223541,0
0.121072,0.0223496,0
0.122645,0.022345,0
0.124217,0.0223402,0
0.125789,0.0223351,0
0.127362,0.0223299,0
0.128934,0.0223245,0
0.130507,0.0223189,0
0.132079,0.0223131,0
0.133651,0.0223071,0
0.135224,0.0223008,0
0.136796,0.0222942,0
0.138368,0.0222875,0
0.139941,0.0222805,0
0.141513,0.0222733,0
0.143086,0.0222658,0
0.144658,0.022258,0
0.14623,0.02225,0
0.147803,0.0222417,0
0.149375,0.0222331,0
0.150947,0.0222243,0
0.15252,0.0222151,0
0.154092,0.0222056,0
0.155665,0.0221958,0
0.157237,0.0221857,0
0.158809,0.0221753,0
0.160382,0.0221646,0
0.161954,0.0221536,0
0.163526,0.0221421,0
0.165099,0.0221303,0
0.166671,0.0221181,0
0.168243,0.0221056,0
0.169816,0.0220927,0
0.171388,0.0220795,0
0.172961,0.0220658,0
0.174533,0.0220517,0
0.176105,0.0220372,0
0.177678,0.0220223,0
0.17925,0.0220069,0
0.180822,0.0219912,0
0.182395,0.021975,0
0.183967,0.0219582,0
0.18554,0.0219411,0
0.187112,0.0219234,0
0.188684,0.0219053,0
0.190257,0.0218867,0
0.191829,0.0218676,0
0.193401,0.0218479,0
0.194974,0.0218277,0
0.196546,0.021807,0
0.198118,0.0217857,0
0.199691,0.0217639,0
0.201263,0.0217416,0
0.202836,0.0217186,0
0.204408,0.021695,0
0.20598,0.0216708,0
0.207553,0.021646,0
0.209125,0.0216206,0
0.210697,0.0215946,0
0.21227,0.0215679,0
0.213842,0.0215405,0
0.215415,0.0215124,0
0.216987,0.0214836,0
0.218559,0.0214541,0
0.220132,0.021424,0
0.221704,0.0213932,0
0.223276,0.0213615,0
0.224849,0.0213291,0
0.226421,0.0212959,0
0.227993,0.0212619,0
0.229566,0.0212272,0
0.231138,0.0211918,0
0.232711,0.0211554,0
0.234283,0.0211181,0
0.235855,0.02108,0
0.237428,0.021041,0
0.239,0.0210012,0
0.240572,0.0209606,0
0.242145,0.020919,0
0.243717,0.0208764,0
0.24529,0.0208328,0
0.246862,0.0207883,0
0.248434,0.0207428,0
0.250007,0.0206964,0
0.251579,0.020649,0
0.253151,0.0206005,0
0.254724,0.0205509,0
0.256296,0.0205003,0
0.257868,0.0204486,0
0.259441,0.0203958,0
0.261013,0.0203421,0
0.262586,0.0202871,0
0.264158,0.0202309,0
0.26573,0.0201735,0
0.267303,0.0201149,0
0.268875,0.0200552,0
0.270447,0.0199944,0
0.27202,0.0199323,0
0.273592,0.0198688,0
0.275165,0.0198041,0
0.276737,0.019738,0
0.278309,0.0196707,0
0.279882,0.0196021,0
0.281454,0.0195322,0
0.283026,0.0194609,0
0.284599,0.0193881,0
0.286171,0.0193138,0
0.287743,0.0192382,0
0.289316,0.0191612,0
0.290888,0.0190828,0
0.292461,0.0190028,0
0.294033,0.0189213,0
0.295605,0.0188382,0
0.297178,0.0187535,0
0.29875,0.0186674,0
0.300322,0.0185798,0
0.301895,0.0184905,0
0.303467,0.0183995,0
0.30504,0.0183068,0
0.306612,0.0182124,0
0.308184,0.0181164,0
0.309757,0.0180187,0
0.311329,0.0179194,0
0.312901,0.0178182,0
0.314474,0.0177151,0
0.316046,0.0176103,0
0.317618,0.0175036,0
0.319191,0.0173952,0
0.320763,0.0172851,0
0.322336,0.0171729,0
0.323908,0.0170588,0
0.32548,0.0169427,0
0.327053,0.0168247,0
0.328625,0.0167048,0
0.330197,0.0165831,0
0.33177,0.0164593,0
0.333342,0.0163333,0
0.334915,0.0162053,0
0.336487,0.0160752,0
0.338059,0.0159431,0
0.339632,0.015809,0
0.341204,0.0156729,0
0.342776,0.0155344,0
0.344349,0.0153937,0
0.345921,0.0152509,0
0.347493,0.0151058,0
0.349066,0.0149587,0
0.350638,0.0148095,0
0.352211,0.0146579,0
0.353783,0.0145039,0
0.355355,0.0143476,0
0.356928,0.014189,0
0.3585,0.0140282,0
0.360072,0.0138652,0
0.361645,0.0136999,0
0.363217,0.013532,0
0.36479,0.0133617,0
0.366362,0.013189,0
0.367934,0.0130139,0
0.369507,0.0128366,0
0.371079,0.012657,0
0.372651,0.0124747,0
0.374224,0.0122899,0
0.375796,0.0121026,0
0.377368,0.0119129,0
0.378941,0.0117208,0
0.380513,0.0115264,0
0.382086,0.0113294,0
0.383658,0.0111298,0
0.38523,0.0109275,0
0.386803,0.0107228,0
0.388375,0.0105156,0
0.389947,0.0103062,0
0.39152,0.0100942,0
0.393092,0.00987942,0
0.394665,0.00966207,0
0.396237,0.00944217,0
0.397809,0.00921981,0
0.399382,0.00899509,0
0.400954,0.00876798,0
0.402526,0.00853816,0
0.404099,0.00830568,0
0.405671,0.00807064,0
0.407243,0.00783314,0
0.408816,0.00759329,0
0.410388,0.00735116,0
0.411961,0.00710643,0
0.413533,0.00685906,0
0.415105,0.00660914,0
0.416678,0.00635679,0
0.41825,0.00610214,0
0.419822,0.00584529,0
0.421395,0.00558611,0
0.422967,0.00532431,0
0.42454,0.00506004,0
0.426112,0.00479342,0
0.427684,0.00452458,0
0.429257,0.00425365,0
0.430829,0.00398067,0
0.432401,0.00370524,0
0.433974,0.00342743,0
0.435546,0.0031474,0
0.437118,0.00286529,0
0.438691,0.00258125,0
0.440263,0.00229542,0
0.441836,0.00200747,0
