# 20250121_104028
# initdata:	Data/init_real_consteps_varm_20250116_114850/init18.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.914
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,755.422,0
0.0100503,741.41,0
0.0201005,700.891,0
0.0301508,638.159,0
0.040201,559.581,0
0.0502513,472.558,0
0.0603015,384.403,0
0.0703518,301.346,0
0.080402,227.851,0
0.0904523,166.363,0
0.100503,117.478,0
0.110553,80.403,0
0.120603,53.5374,0
0.130653,34.9818,0
0.140704,22.8717,0
0.150754,15.5141,0
0.160804,11.4071,0
0.170854,9.24382,0
0.180905,7.96692,0
0.190955,6.86274,0
0.201005,5.62261,0
0.211055,4.29733,0
0.221106,3.13177,0
0.231156,2.34992,0
0.241206,2.00309,0
0.251256,1.96025,0
0.261307,2.02578,0
0.271357,2.08562,0
0.281407,2.16809,0
0.291457,2.37843,0
0.301508,2.7696,0
0.311558,3.264,0
0.321608,3.69707,0
0.331658,3.94756,0
0.341709,4.04001,0
0.351759,4.12424,0
0.361809,4.34315,0
0.371859,4.70203,0
0.38191,5.05806,0
0.39196,5.24451,0
0.40201,5.22115,0
0.41206,5.11318,0
0.422111,5.09858,0
0.432161,5.24469,0
0.442211,5.44597,0
0.452261,5.52443,0
0.462312,5.40014,0
0.472362,5.1697,0
0.482412,5.01548,0
0.492462,5.03147,0
0.502513,5.13531,0
0.512563,5.153,0
0.522613,4.9931,0
0.532663,4.73665,0
0.542714,4.55293,0
0.552764,4.52737,0
0.562814,4.57703,0
0.572864,4.53955,0
0.582915,4.34164,0
0.592965,4.07202,0
0.603015,3.88401,0
0.613065,3.83351,0
0.623116,3.82395,0
0.633166,3.71453,0
0.643216,3.47235,0
0.653266,3.20417,0
0.663317,3.03745,0
0.673367,2.98365,0
0.683417,2.93359,0
0.693467,2.78465,0
0.703518,2.55504,0
0.713568,2.3585,0
0.723618,2.27358,0
0.733668,2.25806,0
0.743719,2.20353,0
0.753769,2.06197,0
0.763819,1.897,0
0.773869,1.80366,0
0.78392,1.79513,0
0.79397,1.78921,0
0.80402,1.70696,0
0.81407,1.56358,0
0.824121,1.44526,0
0.834171,1.40375,0
0.844221,1.39684,0
0.854271,1.34338,0
0.864322,1.22252,0
0.874372,1.0965,0
0.884422,1.0329,0
0.894472,1.02468,0
0.904523,1.00431,0
0.914573,0.930124,0
0.924623,0.83602,0
0.934673,0.78534,0
0.944724,0.79051,0
0.954774,0.7993,0
0.964824,0.761837,0
0.974874,0.691157,0
0.984925,0.642223,0
0.994975,0.639522,0
1.00503,0.646792,0
1.01508,0.615261,0
1.02513,0.545951,0
1.03518,0.486565,0
1.04523,0.469654,0
1.05528,0.473378,0
1.06533,0.453446,0
1.07538,0.401899,0
1.08543,0.355981,0
1.09548,0.348025,0
1.10553,0.363883,0
1.11558,0.363203,0
1.12563,0.332334,0
1.13568,0.299621,0
1.14573,0.295085,0
1.15578,0.309888,0
1.16583,0.308886,0
1.17588,0.277382,0
1.18593,0.239319,0
1.19598,0.224363,0
1.20603,0.22957,0
1.21608,0.226225,0
1.22613,0.200178,0
1.23618,0.170347,0
1.24623,0.16203,0
1.25628,0.172948,0
1.26633,0.177811,0
1.27638,0.163203,0
1.28643,0.144374,0
1.29648,0.142291,0
1.30653,0.154045,0
1.31658,0.157164,0
1.32663,0.140523,0
1.33668,0.11878,0
1.34673,0.111492,0
1.35678,0.116905,0
1.36683,0.116181,0
1.37688,0.100638,0
1.38693,0.0835743,0
1.39698,0.0812365,0
1.40704,0.0905281,0
1.41709,0.0942053,0
1.42714,0.0850165,0
1.43719,0.0746104,0
1.44724,0.0757654,0
1.45729,0.0839883,0
1.46734,0.0841707,0
1.47739,0.0719568,0
1.48744,0.0594145,0
1.49749,0.0577763,0
1.50754,0.0622903,0
1.51759,0.0601523,0
1.52764,0.0492877,0
1.53769,0.0411104,0
1.54774,0.0440332,0
1.55779,0.0517353,0
1.56784,0.0524598,0
1.57789,0.0454181,0
1.58794,0.0409361,0
1.59799,0.0449031,0
1.60804,0.05024,0
1.61809,0.0472093,0
1.62814,0.0372562,0
1.63819,0.0306768,0
1.64824,0.0320958,0
1.65829,0.0347502,0
1.66834,0.0311373,0
1.67839,0.024022,0
1.68844,0.0220777,0
1.69849,0.0271034,0
1.70854,0.0315197,0
1.71859,0.0293631,0
1.72864,0.0244633,0
1.73869,0.0242283,0
1.74874,0.0285463,0
1.75879,0.030025,0
1.76884,0.0248546,0
1.77889,0.0182899,0
1.78894,0.0170439,0
1.79899,0.0199645,0
1.80905,0.0203814,0
1.8191,0.0161912,0
1.82915,0.0127863,0
1.8392,0.0148885,0
1.84925,0.0195535,0
1.8593,0.0204559,0
1.86935,0.0168648,0
1.8794,0.0142012,0
1.88945,0.0157692,0
1.8995,0.0180359,0
1.90955,0.016148,0
1.9196,0.0112201,0
1.92965,0.00868738,0
1.9397,0.0104486,0
1.94975,0.0124623,0
1.9598,0.0110449,0
1.96985,0.0082899,0
1.9799,0.00869229,0
1.98995,0.0122562,0
2,0.0143582,0
