# 20250117_150154
# initdata:	Data/init_real_constfield_m140_20250116_115949/init20.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,20399.1,0
0.0100503,19518,0
0.0201005,17053.2,0
0.0301508,13521.9,0
0.040201,9694.01,0
0.0502513,6382.5,0
0.0603015,4136.6,0
0.0703518,3002.49,0
0.080402,2554.65,0
0.0904523,2228.07,0
0.100503,1712.98,0
0.110553,1091.78,0
0.120603,630.291,0
0.130653,461.491,0
0.140704,473.707,0
0.150754,467.163,0
0.160804,362.801,0
0.170854,237.226,0
0.180905,188.609,0
0.190955,217.94,0
0.201005,250.033,0
0.211055,234.351,0
0.221106,191.352,0
0.231156,166.071,0
0.241206,167.303,0
0.251256,167.138,0
0.261307,144.816,0
0.271357,110.405,0
0.281407,85.2852,0
0.291457,74.9462,0
0.301508,69.0739,0
0.311558,60.3664,0
0.321608,52.7352,0
0.331658,51.7151,0
0.341709,55.1401,0
0.351759,56.7495,0
0.361809,54.5292,0
0.371859,51.2183,0
0.38191,48.4429,0
0.39196,44.5061,0
0.40201,38.1744,0
0.41206,31.3998,0
0.422111,26.8101,0
0.432161,24.4229,0
0.442211,22.5721,0
0.452261,20.9585,0
0.462312,20.8197,0
0.472362,22.3195,0
0.482412,23.6209,0
0.492462,23.1369,0
0.502513,21.4156,0
0.512563,19.9012,0
0.522613,18.7065,0
0.532663,16.7949,0
0.542714,14.014,0
0.552764,11.676,0
0.562814,10.8435,0
0.572864,11.0061,0
0.582915,11.0422,0
0.592965,10.8211,0
0.603015,11.0384,0
0.613065,11.7662,0
0.623116,12.083,0
0.633166,11.316,0
0.643216,9.94255,0
0.653266,8.84608,0
0.663317,8.15425,0
0.673367,7.3668,0
0.683417,6.39106,0
0.693467,5.79833,0
0.703518,5.96337,0
0.713568,6.47931,0
0.723618,6.71993,0
0.733668,6.63394,0
0.743719,6.59678,0
0.753769,6.66676,0
0.763819,6.44898,0
0.773869,5.73344,0
0.78392,4.8731,0
0.79397,4.33101,0
0.80402,4.11623,0
0.81407,3.9319,0
0.824121,3.7199,0
0.834171,3.72891,0
0.844221,4.04701,0
0.854271,4.37418,0
0.864322,4.39274,0
0.874372,4.15637,0
0.884422,3.92603,0
0.894472,3.75329,0
0.904523,3.45972,0
0.914573,2.99955,0
0.924623,2.60487,0
0.934673,2.48815,0
0.944724,2.5708,0
0.954774,2.6384,0
0.964824,2.65208,0
0.974874,2.73696,0
0.984925,2.90464,0
0.994975,2.97291,0
1.00503,2.80963,0
1.01508,2.51701,0
1.02513,2.28024,0
1.03518,2.12779,0
1.04523,1.96116,0
1.05528,1.77201,0
1.06533,1.68671,0
1.07538,1.77367,0
1.08543,1.92601,0
1.09548,2.00028,0
1.10553,1.99207,0
1.11558,1.98716,0
1.12563,1.98921,0
1.13568,1.90493,0
1.14573,1.70244,0
1.15578,1.48515,0
1.16583,1.36436,0
1.17588,1.32885,0
1.18593,1.30193,0
1.19598,1.27812,0
1.20603,1.32045,0
1.21608,1.43313,0
1.22613,1.5222,0
1.23618,1.51001,0
1.24623,1.42783,0
1.25628,1.35028,0
1.26633,1.28328,0
1.27638,1.17887,0
1.28643,1.04084,0
1.29648,0.94557,0
1.30653,0.943021,0
1.31658,0.992234,0
1.32663,1.02726,0
1.33668,1.04543,0
1.34673,1.08411,0
1.35678,1.13417,0
1.36683,1.13412,0
1.37688,1.05615,0
1.38693,0.948674,0
1.39698,0.871152,0
1.40704,0.823284,0
1.41709,0.77225,0
1.42714,0.72429,0
1.43719,0.722681,0
1.44724,0.777157,0
1.45729,0.838795,0
1.46734,0.86084,0
1.47739,0.851483,0
1.48744,0.842204,0
1.49749,0.828656,0
1.50754,0.779263,0
1.51759,0.694229,0
1.52764,0.618704,0
1.53769,0.587823,0
1.54774,0.588089,0
1.55779,0.590026,0
1.56784,0.595768,0
1.57789,0.626384,0
1.58794,0.674165,0
1.59799,0.699748,0
1.60804,0.680959,0
1.61809,0.638467,0
1.62814,0.601141,0
1.63819,0.567569,0
1.64824,0.521647,0
1.65829,0.472114,0
1.66834,0.449661,0
1.67839,0.46518,0
1.68844,0.494638,0
1.69849,0.51298,0
1.70854,0.523435,0
1.71859,0.539234,0
1.72864,0.551314,0
1.73869,0.536096,0
1.74874,0.491321,0
1.75879,0.443159,0
1.76884,0.413219,0
1.77889,0.396218,0
1.78894,0.379657,0
1.79899,0.370307,0
1.80905,0.384078,0
1.8191,0.416521,0
1.82915,0.442318,0
1.8392,0.44586,0
1.84925,0.43644,0
1.8593,0.427001,0
1.86935,0.412368,0
1.8794,0.381179,0
1.88945,0.340732,0
1.8995,0.313458,0
1.90955,0.309403,0
1.9196,0.316694,0
1.92965,0.322744,0
1.9397,0.331513,0
1.94975,0.350539,0
1.9598,0.370876,0
1.96985,0.373877,0
1.9799,0.355398,0
1.98995,0.330222,0
2,0.310707,0
