# 20250121_103635
# initdata:	Data/init_real_constfield_m140_20250116_115949/init12.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,8639.62,0
0.0100503,8233.74,0
0.0201005,7132.57,0
0.0301508,5630.99,0
0.040201,4076.8,0
0.0502513,2749.38,0
0.0603015,1790.4,0
0.0703518,1194.3,0
0.080402,852.207,0
0.0904523,632.748,0
0.100503,457.133,0
0.110553,317.589,0
0.120603,233.539,0
0.130653,199.594,0
0.140704,180.895,0
0.150754,149.82,0
0.160804,110.807,0
0.170854,83.927,0
0.180905,74.4603,0
0.190955,68.7931,0
0.201005,56.0511,0
0.211055,41.6086,0
0.221106,35.7892,0
0.231156,37.6942,0
0.241206,37.5016,0
0.251256,31.1746,0
0.261307,24.9269,0
0.271357,24.4744,0
0.281407,26.4687,0
0.291457,24.1933,0
0.301508,17.6351,0
0.311558,12.8784,0
0.321608,12.8646,0
0.331658,13.7714,0
0.341709,11.535,0
0.351759,7.86733,0
0.361809,7.06618,0
0.371859,9.29286,0
0.38191,10.5612,0
0.39196,8.80737,0
0.40201,6.56596,0
0.41206,6.6891,0
0.422111,8.08384,0
0.432161,7.70954,0
0.442211,5.27015,0
0.452261,3.44165,0
0.462312,3.75141,0
0.472362,4.59279,0
0.482412,4.03932,0
0.492462,2.76792,0
0.502513,2.73244,0
0.512563,3.99821,0
0.522613,4.67744,0
0.532663,3.81896,0
0.542714,2.69137,0
0.552764,2.689,0
0.562814,3.28012,0
0.572864,3.03953,0
0.582915,1.92318,0
0.592965,1.25364,0
0.603015,1.64717,0
0.613065,2.1834,0
0.623116,1.95188,0
0.633166,1.42013,0
0.643216,1.55914,0
0.653266,2.24644,0
0.663317,2.45684,0
0.673367,1.84075,0
0.683417,1.20039,0
0.693467,1.22057,0
0.703518,1.50032,0
0.713568,1.3125,0
0.723618,0.78244,0
0.733668,0.646555,0
0.743719,1.06662,0
0.753769,1.39557,0
0.763819,1.19928,0
0.773869,0.885586,0
0.78392,0.998368,0
0.79397,1.34731,0
0.80402,1.32559,0
0.81407,0.862115,0
0.824121,0.512007,0
0.834171,0.600757,0
0.844221,0.785956,0
0.854271,0.667705,0
0.864322,0.42639,0
0.874372,0.496671,0
0.884422,0.844934,0
0.894472,1.00536,0
0.904523,0.791421,0
0.914573,0.553955,0
0.924623,0.611731,0
0.934673,0.77367,0
0.944724,0.678556,0
0.954774,0.377823,0
0.964824,0.246521,0
0.974874,0.398806,0
0.984925,0.539503,0
0.994975,0.453392,0
1.00503,0.332927,0
1.01508,0.440568,0
1.02513,0.668005,0
1.03518,0.692844,0
1.04523,0.472004,0
1.05528,0.295657,0
1.06533,0.338111,0
1.07538,0.419895,0
1.08543,0.329843,0
1.09548,0.170637,0
1.10553,0.185562,0
1.11558,0.363786,0
1.12563,0.455855,0
1.13568,0.362701,0
1.14573,0.275534,0
1.15578,0.357942,0
1.16583,0.482681,0
1.17588,0.433957,0
1.18593,0.244919,0
1.19598,0.143029,0
1.20603,0.204792,0
1.21608,0.264575,0
1.22613,0.200294,0
1.23618,0.127026,0
1.24623,0.19886,0
1.25628,0.348201,0
1.26633,0.380486,0
1.27638,0.26949,0
1.28643,0.18773,0
1.29648,0.233873,0
1.30653,0.290505,0
1.31658,0.224911,0
1.32663,0.103613,0
1.33668,0.0851254,0
1.34673,0.173067,0
1.35678,0.220952,0
1.36683,0.169844,0
1.37688,0.134984,0
1.38693,0.209854,0
1.39698,0.306671,0
1.40704,0.286722,0
1.41709,0.171957,0
1.42714,0.1073,0
1.43719,0.140938,0
1.44724,0.168166,0
1.45729,0.114086,0
1.46734,0.0554696,0
1.47739,0.0923956,0
1.48744,0.182973,0
1.49749,0.20616,0
1.50754,0.148964,0
1.51759,0.120007,0
1.52764,0.17238,0
1.53769,0.21921,0
1.54774,0.172353,0
1.55779,0.0812888,0
1.56784,0.0558011,0
1.57789,0.100405,0
1.58794,0.120659,0
1.59799,0.0818078,0
1.60804,0.0623432,0
1.61809,0.120648,0
1.62814,0.192628,0
1.63819,0.184951,0
1.64824,0.116037,0
1.65829,0.083811,0
1.66834,0.114846,0
1.67839,0.132156,0
1.68844,0.0853797,0
1.69849,0.0324003,0
1.70854,0.0461157,0
1.71859,0.0997722,0
1.72864,0.112632,0
1.73869,0.0788427,0
1.74874,0.0726841,0
1.75879,0.124293,0
1.76884,0.166027,0
1.77889,0.134797,0
1.78894,0.0685831,0
1.79899,0.0471768,0
1.80905,0.0736625,0
1.8191,0.0811395,0
1.82915,0.0466314,0
1.8392,0.0276073,0
1.84925,0.065908,0
1.8593,0.116278,0
1.86935,0.114177,0
1.8794,0.074285,0
1.88945,0.0641449,0
1.8995,0.0967257,0
1.90955,0.112049,0
1.9196,0.0740117,0
1.92965,0.0275613,0
1.9397,0.0283124,0
1.94975,0.0590157,0
1.9598,0.0637277,0
1.96985,0.0401268,0
1.9799,0.0411269,0
1.98995,0.0849778,0
2,0.119772,0
