# 20250122_111611
# initdata:	Data/init_real_constfield_m420_20250122_111331/init16.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.42
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,537.829,0
0.0100503,529.517,0
0.0201005,505.008,0
0.0301508,465.7,0
0.040201,414.252,0
0.0502513,354.774,0
0.0603015,292.626,0
0.0703518,233.625,0
0.080402,182.77,0
0.0904523,142.925,0
0.100503,114.108,0
0.110553,93.8795,0
0.120603,78.7702,0
0.130653,66.0469,0
0.140704,54.8007,0
0.150754,45.728,0
0.160804,39.8247,0
0.170854,37.0294,0
0.180905,35.8871,0
0.190955,34.4823,0
0.201005,31.8176,0
0.211055,28.4184,0
0.221106,25.6293,0
0.231156,24.2637,0
0.241206,23.8661,0
0.251256,23.2429,0
0.261307,21.671,0
0.271357,19.5497,0
0.281407,17.8643,0
0.291457,17.0871,0
0.301508,16.7018,0
0.311558,15.8259,0
0.321608,14.1933,0
0.331658,12.3974,0
0.341709,11.1716,0
0.351759,10.5767,0
0.361809,10.0238,0
0.371859,9.04488,0
0.38191,7.85581,0
0.39196,7.05773,0
0.40201,6.88938,0
0.41206,6.96301,0
0.422111,6.77423,0
0.432161,6.30932,0
0.442211,5.99152,0
0.452261,6.07679,0
0.462312,6.2982,0
0.472362,6.20061,0
0.482412,5.70423,0
0.492462,5.16602,0
0.502513,4.89189,0
0.512563,4.76217,0
0.522613,4.44467,0
0.532663,3.87417,0
0.542714,3.34816,0
0.552764,3.13539,0
0.562814,3.14543,0
0.572864,3.09154,0
0.582915,2.89189,0
0.592965,2.75193,0
0.603015,2.83931,0
0.613065,3.02446,0
0.623116,3.04377,0
0.633166,2.84223,0
0.643216,2.61837,0
0.653266,2.52946,0
0.663317,2.48395,0
0.673367,2.30058,0
0.683417,1.98725,0
0.693467,1.74068,0
0.703518,1.68147,0
0.713568,1.7085,0
0.723618,1.66617,0
0.733668,1.56689,0
0.743719,1.55074,0
0.753769,1.65796,0
0.763819,1.75359,0
0.773869,1.70823,0
0.78392,1.56674,0
0.79397,1.46707,0
0.80402,1.44,0
0.81407,1.38232,0
0.824121,1.22871,0
0.834171,1.06024,0
0.844221,0.993842,0
0.854271,1.02311,0
0.864322,1.04168,0
0.874372,1.00317,0
0.884422,0.976902,0
0.894472,1.02551,0
0.904523,1.0968,0
0.914573,1.09131,0
0.924623,1.00082,0
0.934673,0.912501,0
0.944724,0.879727,0
0.954774,0.855218,0
0.964824,0.778976,0
0.974874,0.680142,0
0.984925,0.638954,0
0.994975,0.670479,0
1.00503,0.706342,0
1.01508,0.696642,0
1.02513,0.675402,0
1.03518,0.695108,0
1.04523,0.736259,0
1.05528,0.730917,0
1.06533,0.662146,0
1.07538,0.588301,0
1.08543,0.558528,0
1.09548,0.549051,0
1.10553,0.512311,0
1.11558,0.457738,0
1.12563,0.43976,0
1.13568,0.474226,0
1.14573,0.512544,0
1.15578,0.511306,0
1.16583,0.489958,0
1.17588,0.491508,0
1.18593,0.510863,0
1.19598,0.501296,0
1.20603,0.447114,0
1.21608,0.389858,0
1.22613,0.369749,0
1.23618,0.372552,0
1.24623,0.360087,0
1.25628,0.333067,0
1.26633,0.328721,0
1.27638,0.359641,0
1.28643,0.390175,0
1.29648,0.386137,0
1.30653,0.361143,0
1.31658,0.350335,0
1.32663,0.354835,0
1.33668,0.342823,0
1.34673,0.302648,0
1.35678,0.264522,0
1.36683,0.257794,0
1.37688,0.270503,0
1.38693,0.271858,0
1.39698,0.260174,0
1.40704,0.261869,0
1.41709,0.285475,0
1.42714,0.303985,0
1.43719,0.292988,0
1.44724,0.265346,0
1.45729,0.249872,0
1.46734,0.248591,0
1.47739,0.238226,0
1.48744,0.211062,0
1.49749,0.190008,0
1.50754,0.194808,0
1.51759,0.212637,0
1.52764,0.218159,0
1.53769,0.21072,0
1.54774,0.211243,0
1.55779,0.225572,0
1.56784,0.232756,0
1.57789,0.216417,0
1.58794,0.189997,0
1.59799,0.17706,0
1.60804,0.177842,0
1.61809,0.173226,0
1.62814,0.157841,0
1.63819,0.149571,0
1.64824,0.161077,0
1.65829,0.178777,0
1.66834,0.181974,0
1.67839,0.172316,0
1.68844,0.168124,0
1.69849,0.173949,0
1.70854,0.173425,0
1.71859,0.155928,0
1.72864,0.134672,0
1.73869,0.128104,0
1.74874,0.133795,0
1.75879,0.134882,0
1.76884,0.127558,0
1.77889,0.126144,0
1.78894,0.138589,0
1.79899,0.15177,0
1.80905,0.149817,0
1.8191,0.136922,0
1.82915,0.129514,0
1.8392,0.130893,0
1.84925,0.127857,0
1.8593,0.113603,0
1.86935,0.100127,0
1.8794,0.100741,0
1.88945,0.110342,0
1.8995,0.113962,0
1.90955,0.109504,0
1.9196,0.10913,0
1.92965,0.117996,0
1.9397,0.124525,0
1.94975,0.117554,0
1.9598,0.103362,0
1.96985,0.0961877,0
1.9799,0.097458,0
1.98995,0.0958042,0
2,0.0868928,0
