# 20250121_114539
# initdata:	Data/init_real_constfield_m600_20250121_105135/init00.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.6
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1098.76,0
0.0100503,1085.35,0
0.0201005,1045.67,0
0.0301508,981.513,0
0.040201,896.144,0
0.0502513,794.545,0
0.0603015,683.401,0
0.0703518,570.638,0
0.080402,464.384,0
0.0904523,371.531,0
0.100503,296.293,0
0.110553,239.351,0
0.120603,198.054,0
0.130653,167.744,0
0.140704,143.731,0
0.150754,123.035,0
0.160804,105.03,0
0.170854,90.715,0
0.180905,81.0883,0
0.190955,75.7311,0
0.201005,72.5519,0
0.211055,68.8834,0
0.221106,63.1339,0
0.231156,55.7445,0
0.241206,48.6863,0
0.251256,43.8437,0
0.261307,41.5329,0
0.271357,40.3328,0
0.281407,38.3428,0
0.291457,34.7868,0
0.301508,30.5816,0
0.311558,27.3953,0
0.321608,26.0747,0
0.331658,25.8865,0
0.341709,25.2547,0
0.351759,23.2608,0
0.361809,20.4559,0
0.371859,18.2219,0
0.38191,17.3558,0
0.39196,17.3068,0
0.40201,16.8077,0
0.41206,15.2029,0
0.422111,13.0792,0
0.432161,11.5731,0
0.442211,11.144,0
0.452261,11.1389,0
0.462312,10.5784,0
0.472362,9.24801,0
0.482412,7.88222,0
0.492462,7.28484,0
0.502513,7.4223,0
0.512563,7.51426,0
0.522613,6.96611,0
0.532663,6.02928,0
0.542714,5.44079,0
0.552764,5.51584,0
0.562814,5.78888,0
0.572864,5.59988,0
0.582915,4.88119,0
0.592965,4.19423,0
0.603015,4.0127,0
0.613065,4.16016,0
0.623116,4.07567,0
0.633166,3.53441,0
0.643216,2.90943,0
0.653266,2.67653,0
0.663317,2.82183,0
0.673367,2.89786,0
0.683417,2.61878,0
0.693467,2.20944,0
0.703518,2.0782,0
0.713568,2.27104,0
0.723618,2.42234,0
0.733668,2.24053,0
0.743719,1.87347,0
0.753769,1.68564,0
0.763819,1.77009,0
0.773869,1.84704,0
0.78392,1.65968,0
0.79397,1.31745,0
0.80402,1.13542,0
0.81407,1.21034,0
0.824121,1.31144,0
0.834171,1.2136,0
0.844221,0.999407,0
0.854271,0.9256,0
0.864322,1.05732,0
0.874372,1.18014,0
0.884422,1.09735,0
0.894472,0.890845,0
0.904523,0.791878,0
0.914573,0.858394,0
0.924623,0.909378,0
0.934673,0.791552,0
0.944724,0.594085,0
0.954774,0.51719,0
0.964824,0.594041,0
0.974874,0.658694,0
0.984925,0.589813,0
0.994975,0.476765,0
1.00503,0.478753,0
1.01508,0.590523,0
1.02513,0.649556,0
1.03518,0.565022,0
1.04523,0.438476,0
1.05528,0.411799,0
1.06533,0.46933,0
1.07538,0.473549,0
1.08543,0.370888,0
1.09548,0.266851,0
1.10553,0.270949,0
1.11558,0.343286,0
1.12563,0.360742,0
1.13568,0.296891,0
1.14573,0.252104,0
1.15578,0.298323,0
1.16583,0.370985,0
1.17588,0.362605,0
1.18593,0.276135,0
1.19598,0.215389,0
1.20603,0.234051,0
1.21608,0.266169,0
1.22613,0.232621,0
1.23618,0.159883,0
1.24623,0.137988,0
1.25628,0.186698,0
1.26633,0.229188,0
1.27638,0.206894,0
1.28643,0.161844,0
1.29648,0.167729,0
1.30653,0.217319,0
1.31658,0.233318,0
1.32663,0.182486,0
1.33668,0.122464,0
1.34673,0.116036,0
1.35678,0.143671,0
1.36683,0.141122,0
1.37688,0.099539,0
1.38693,0.0768392,0
1.39698,0.107882,0
1.40704,0.150836,0
1.41709,0.149234,0
1.42714,0.113671,0
1.43719,0.101811,0
1.44724,0.129883,0
1.45729,0.149418,0
1.46734,0.121216,0
1.47739,0.073619,0
1.48744,0.0597508,0
1.49749,0.0810409,0
1.50754,0.0910003,0
1.51759,0.068969,0
1.52764,0.0502168,0
1.53769,0.0691911,0
1.54774,0.104722,0
1.55779,0.110226,0
1.56784,0.0817873,0
1.57789,0.0614947,0
1.58794,0.0733352,0
1.59799,0.0893581,0
1.60804,0.0749693,0
1.61809,0.042096,0
1.62814,0.030734,0
1.63819,0.0491777,0
1.64824,0.0642241,0
1.65829,0.0536023,0
1.66834,0.0389282,0
1.67839,0.0500272,0
1.68844,0.0770196,0
1.69849,0.0835878,0
1.70854,0.0604148,0
1.71859,0.0378051,0
1.72864,0.0400904,0
1.73869,0.0518694,0
1.74874,0.0453174,0
1.75879,0.0242273,0
1.76884,0.0174759,0
1.77889,0.0340658,0
1.78894,0.0496369,0
1.79899,0.0440129,0
1.80905,0.031049,0
1.8191,0.0355478,0
1.82915,0.053901,0
1.8392,0.0589364,0
1.84925,0.0407699,0
1.8593,0.0212129,0
1.86935,0.0210331,0
1.8794,0.0309292,0
1.88945,0.0291297,0
1.8995,0.0163154,0
1.90955,0.0137584,0
1.9196,0.028979,0
1.92965,0.0429496,0
1.9397,0.0383494,0
1.94975,0.0249628,0
1.9598,0.0236804,0
1.96985,0.0345182,0
1.9799,0.0375398,0
1.98995,0.0240721,0
2,0.00983808,0
