# 20250121_114540
# initdata:	Data/init_real_constfield_m600_20250121_105135/init00.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.6
# NpT:	500
# pTmax:	5
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1098.76,0
0.01002,1085.43,0
0.0200401,1045.98,0
0.0300601,982.192,0
0.0400802,897.279,0
0.0501002,796.161,0
0.0601202,685.445,0
0.0701403,572.971,0
0.0801603,466.806,0
0.0901804,373.823,0
0.1002,298.282,0
0.11022,240.961,0
0.12024,199.322,0
0.130261,168.783,0
0.140281,144.662,0
0.150301,123.913,0
0.160321,105.823,0
0.170341,91.3372,0
0.180361,81.488,0
0.190381,75.9528,0
0.200401,72.7323,0
0.210421,69.1696,0
0.220441,63.5805,0
0.230461,56.2711,0
0.240481,49.1373,0
0.250501,44.1116,0
0.260521,41.6476,0
0.270541,40.4378,0
0.280561,38.5717,0
0.290581,35.1455,0
0.300601,30.9424,0
0.310621,27.6149,0
0.320641,26.13,0
0.330661,25.8995,0
0.340681,25.3776,0
0.350701,23.5297,0
0.360721,20.7565,0
0.370741,18.4061,0
0.380762,17.392,0
0.390782,17.3121,0
0.400802,16.9249,0
0.410822,15.4509,0
0.420842,13.3347,0
0.430862,11.705,0
0.440882,11.1536,0
0.450902,11.1545,0
0.460922,10.7089,0
0.470942,9.46128,0
0.480962,8.04425,0
0.490982,7.31436,0
0.501002,7.3823,0
0.511022,7.53554,0
0.521042,7.09378,0
0.531062,6.17372,0
0.541082,5.48933,0
0.551102,5.46995,0
0.561122,5.76155,0
0.571142,5.67844,0
0.581162,5.02382,0
0.591182,4.28552,0
0.601202,4.00705,0
0.611222,4.1344,0
0.621242,4.12832,0
0.631263,3.66064,0
0.641283,3.00943,0
0.651303,2.68302,0
0.661323,2.78243,0
0.671343,2.90908,0
0.681363,2.70036,0
0.691383,2.28245,0
0.701403,2.07235,0
0.711423,2.21804,0
0.721443,2.41375,0
0.731463,2.30818,0
0.741483,1.9512,0
0.751503,1.70028,0
0.761523,1.73798,0
0.771543,1.84823,0
0.781563,1.72786,0
0.791583,1.39526,0
0.801603,1.15288,0
0.811623,1.17752,0
0.821643,1.30046,0
0.831663,1.25778,0
0.841683,1.04967,0
0.851703,0.921599,0
0.861723,1.01263,0
0.871743,1.16392,0
0.881764,1.13984,0
0.891784,0.94438,0
0.901804,0.799353,0
0.911824,0.831724,0
0.921844,0.909466,0
0.931864,0.84081,0
0.941884,0.645224,0
0.951904,0.519974,0
0.961924,0.56404,0
0.971944,0.651962,0
0.981964,0.62238,0
0.991984,0.503991,0
1.002,0.46191,0
1.01202,0.553786,0
1.02204,0.646366,0
1.03206,0.603508,0
1.04208,0.472042,0
1.0521,0.406417,0
1.06212,0.449933,0
1.07214,0.484915,0
1.08216,0.411677,0
1.09218,0.292041,0
1.1022,0.256735,0
1.11222,0.319601,0
1.12224,0.366032,0
1.13226,0.322785,0
1.14228,0.258205,0
1.1523,0.273453,0
1.16232,0.350554,0
1.17234,0.377821,0
1.18236,0.309828,0
1.19238,0.22808,0
1.2024,0.220373,0
1.21242,0.259517,0
1.22244,0.25351,0
1.23246,0.185405,0
1.24248,0.136294,0
1.25251,0.163862,0
1.26253,0.21954,0
1.27255,0.22244,0
1.28257,0.176275,0
1.29259,0.157421,0
1.30261,0.197345,0
1.31263,0.235376,0
1.32265,0.208444,0
1.33267,0.142198,0
1.34269,0.11137,0
1.35271,0.132743,0
1.36273,0.148438,0
1.37275,0.118331,0
1.38277,0.080014,0
1.39279,0.0895772,0
1.40281,0.135865,0
1.41283,0.156564,0
1.42285,0.129332,0
1.43287,0.101155,0
1.44289,0.115045,0
1.45291,0.145794,0
1.46293,0.139186,0
1.47295,0.0931255,0
1.48297,0.0599699,0
1.49299,0.0698122,0
1.50301,0.0906789,0
1.51303,0.0816137,0
1.52305,0.0551862,0
1.53307,0.0557467,0
