# 20250121_120118
# initdata:	Data/init_real_constfield_m600_20250121_105135/init00.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	1.09333
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,978.504,0
0.0100334,970.348,0
0.0200669,946.1,0
0.0301003,906.473,0
0.0401338,852.827,0
0.0501672,787.329,0
0.0602007,713.034,0
0.0702341,633.79,0
0.0802676,553.899,0
0.090301,477.579,0
0.100334,408.322,0
0.110368,348.337,0
0.120401,298.271,0
0.130435,257.329,0
0.140468,223.778,0
0.150502,195.673,0
0.160535,171.537,0
0.170569,150.721,0
0.180602,133.319,0
0.190635,119.696,0
0.200669,109.9,0
0.210702,103.267,0
0.220736,98.4608,0
0.230769,93.94,0
0.240803,88.6028,0
0.250836,82.2431,0
0.26087,75.5411,0
0.270903,69.5728,0
0.280936,65.1168,0
0.29097,62.1698,0
0.301003,59.9684,0
0.311037,57.4996,0
0.32107,54.1646,0
0.331104,50.1543,0
0.341137,46.2785,0
0.351171,43.3688,0
0.361204,41.6745,0
0.371237,40.684,0
0.381271,39.5038,0
0.391304,37.5164,0
0.401338,34.8233,0
0.411371,32.1385,0
0.421405,30.2146,0
0.431438,29.2497,0
0.441472,28.744,0
0.451505,27.9182,0
0.461538,26.3506,0
0.471572,24.3086,0
0.481605,22.5015,0
0.491639,21.4671,0
0.501672,21.1168,0
0.511706,20.8298,0
0.521739,20.008,0
0.531773,18.5991,0
0.541806,17.1237,0
0.551839,16.1887,0
0.561873,15.9323,0
0.571906,15.9112,0
0.58194,15.5265,0
0.591973,14.5842,0
0.602007,13.4621,0
0.61204,12.7296,0
0.622074,12.5925,0
0.632107,12.7017,0
0.64214,12.505,0
0.652174,11.7898,0
0.662207,10.8782,0
0.672241,10.2855,0
0.682274,10.1959,0
0.692308,10.2845,0
0.702341,10.0627,0
0.712375,9.38061,0
0.722408,8.56934,0
0.732441,8.08262,0
0.742475,8.02211,0
0.752508,8.047,0
0.762542,7.75271,0
0.772575,7.10606,0
0.782609,6.46898,0
0.792642,6.19727,0
0.802676,6.25851,0
0.812709,6.28384,0
0.822742,5.98549,0
0.832776,5.47024,0
0.842809,5.10527,0
0.852843,5.09621,0
0.862876,5.25863,0
0.87291,5.23485,0
