# 20250121_120124
# initdata:	Data/init_real_constfield_m600_20250121_105135/init00.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	1.41374
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,974.712,0
0.0100334,965.242,0
0.0200669,937.568,0
0.0301003,893.81,0
0.0401338,837.208,0
0.0501672,771.71,0
0.0602007,701.491,0
0.0702341,630.438,0
0.0802676,561.716,0
0.090301,497.489,0
0.100334,438.84,0
0.110368,385.934,0
0.120401,338.353,0
0.130435,295.521,0
0.140468,257.069,0
0.150502,223.026,0
0.160535,193.764,0
0.170569,169.725,0
0.180602,151.052,0
0.190635,137.309,0
0.200669,127.417,0
0.210702,119.887,0
0.220736,113.245,0
0.230769,106.487,0
0.240803,99.3404,0
0.250836,92.2076,0
0.26087,85.8093,0
0.270903,80.7099,0
0.280936,76.9625,0
0.29097,74.0613,0
0.301003,71.22,0
0.311037,67.8152,0
0.32107,63.7348,0
0.331104,59.4229,0
0.341137,55.5917,0
0.351171,52.7711,0
0.361204,50.9748,0
0.371237,49.6925,0
0.381271,48.2149,0
0.391304,46.0853,0
0.401338,43.3807,0
0.411371,40.638,0
0.421405,38.4719,0
0.431438,37.1462,0
0.441472,36.3951,0
0.451505,35.6181,0
0.461538,34.3112,0
0.471572,32.4239,0
0.481605,30.381,0
0.491639,28.755,0
0.501672,27.8323,0
0.511706,27.4011,0
0.521739,26.9218,0
0.531773,25.9478,0
0.541806,24.4686,0
0.551839,22.9053,0
0.561873,21.7637,0
0.571906,21.2253,0
0.58194,21.0073,0
0.591973,20.6053,0
0.602007,19.7151,0
0.61204,18.4812,0
0.622074,17.3633,0
0.632107,16.7376,0
0.64214,16.5749,0
0.652174,16.4752,0
0.662207,16.0246,0
0.672241,15.1584,0
0.682274,14.2088,0
0.692308,13.597,0
0.702341,13.4503,0
0.712375,13.4912,0
0.722408,13.2991,0
0.732441,12.6994,0
0.742475,11.9177,0
0.752508,11.3585,0
0.762542,11.2187,0
0.772575,11.3035,0
0.782609,11.2189,0
0.792642,10.7522,0
0.802676,10.0711,0
0.812709,9.5506,0
0.822742,9.40133,0
0.832776,9.4657,0
0.842809,9.38181,0
0.852843,8.94762,0
0.862876,8.31904,0
0.87291,7.84472,0
0.882943,7.71027,0
0.892977,7.75563,0
0.90301,7.64962,0
0.913043,7.236,0
0.923077,6.69186,0
0.93311,6.33623,0
0.943144,6.2944,0
0.953177,6.37281,0
0.963211,6.27247,0
0.973244,5.90916,0
0.983278,5.49693,0
0.993311,5.31023,0
1.00334,5.38531,0
1.01338,5.48484,0
1.02341,5.35986,0
1.03344,5.01927,0
1.04348,4.71121,0
1.05351,4.64242,0
1.06355,4.74923,0
1.07358,4.77309,0
1.08361,4.55156,0
1.09365,4.19648,0
1.10368,3.96209,0
1.11371,3.95676,0
1.12375,4.02683,0
1.13378,3.93984,0
1.14381,3.65292,0
1.15385,3.35828,0
1.16388,3.25848,0
1.17391,3.33479,0
1.18395,3.3764,0
1.19398,3.23041,0
1.20401,2.97772,0
1.21405,2.83114,0
1.22408,2.88085,0
1.23411,2.98943,0
1.24415,2.95693,0
1.25418,2.75644,0
1.26421,2.55913,0
1.27425,2.5245,0
1.28428,2.60962,0
1.29431,2.62581,0
1.30435,2.46857,0
1.31438,2.24175,0
1.32441,2.12822,0
1.33445,2.16922,0
1.34448,2.22105,0
1.35452,2.1372,0
1.36455,1.94851,0
1.37458,1.82118,0
1.38462,1.84923,0
1.39465,1.94023,0
1.40468,1.93316,0
1.41472,1.79727,0
1.42475,1.66475,0
1.43478,1.6601,0
1.44482,1.74332,0
1.45485,1.76284,0
1.46488,1.64619,0
1.47492,1.4888,0
1.48495,1.4301,0
1.49498,1.47889,0
1.50502,1.50814,0
1.51505,1.42184,0
1.52508,1.277,0
1.53512,1.20885,0
1.54515,1.25721,0
1.55518,1.31877,0
1.56522,1.28276,0
1.57525,1.17195,0
1.58528,1.10812,0
1.59532,1.15066,0
1.60535,1.21938,0
1.61538,1.19942,0
1.62542,1.0891,0
1.63545,0.99859,0
1.64548,1.0044,0
1.65552,1.05265,0
1.66555,1.03455,0
1.67559,0.931701,0
1.68562,0.839408,0
1.69565,0.840397,0
1.70569,0.898011,0
1.71572,0.908446,0
1.72575,0.839259,0
1.73579,0.769347,0
1.74582,0.780051,0
1.75585,0.845098,0
1.76589,0.865645,0
1.77592,0.80122,0
1.78595,0.720545,0
1.79599,0.707217,0
1.80602,0.748496,0
1.81605,0.756183,0
1.82609,0.687968,0
1.83612,0.604385,0
1.84615,0.586768,0
1.85619,0.629244,0
1.86622,0.650412,0
1.87625,0.605507,0
1.88629,0.545776,0
1.89632,0.545323,0
1.90635,0.598281,0
1.91639,0.626639,0
1.92642,0.585509,0
1.93645,0.521926,0
1.94649,0.508074,0
1.95652,0.542695,0
1.96656,0.555486,0
1.97659,0.505858,0
1.98662,0.438924,0
1.99666,0.423263,0
2.00669,0.45807,0
2.01672,0.477382,0
2.02676,0.442974,0
2.03679,0.395972,0
2.04682,0.397255,0
2.05686,0.441369,0
2.06689,0.463655,0
2.07692,0.429138,0
2.08696,0.378956,0
2.09699,0.371234,0
2.10702,0.400627,0
2.11706,0.408194,0
2.12709,0.365606,0
2.13712,0.315025,0
2.14716,0.310128,0
2.15719,0.342387,0
2.16722,0.355425,0
2.17726,0.325156,0
2.18729,0.292178,0
2.19732,0.302312,0
2.20736,0.340621,0
2.21739,0.351811,0
2.22742,0.317105,0
2.23746,0.278883,0
2.24749,0.27982,0
2.25753,0.303808,0
2.26756,0.301186,0
2.27759,0.260743,0
2.28763,0.225837,0
2.29766,0.233129,0
2.30769,0.26194,0
2.31773,0.265351,0
2.32776,0.237128,0
2.33779,0.21881,0
2.34783,0.238377,0
2.35786,0.269071,0
2.36789,0.266824,0
2.37793,0.231977,0
2.38796,0.207471,0
2.39799,0.21742,0
2.40803,0.234426,0
2.41806,0.22113,0
2.42809,0.184923,0
2.43813,0.167424,0
2.44816,0.185107,0
2.45819,0.206822,0
2.46823,0.199435,0
2.47826,0.174779,0
2.48829,0.170677,0
2.49833,0.194745,0
2.50836,0.212586,0
2.51839,0.196792,0
2.52843,0.165579,0
2.53846,0.155923,0
2.54849,0.171102,0
2.55853,0.178105,0
2.56856,0.157295,0
2.5786,0.131377,0
2.58863,0.132342,0
2.59866,0.155279,0
2.6087,0.166028,0
2.61873,0.150562,0
2.62876,0.133894,0
2.6388,0.142084,0
2.64883,0.163282,0
2.65886,0.164738,0
2.6689,0.140084,0
2.67893,0.118217,0
2.68896,0.121559,0
2.699,0.13513,0
2.70903,0.130565,0
2.71906,0.108696,0
2.7291,0.0982178,0
2.73913,0.113261,0
2.74916,0.132536,0
2.7592,0.130211,0
2.76923,0.112699,0
2.77926,0.107765,0
2.7893,0.12279,0
2.79933,0.133773,0
2.80936,0.120619,0
2.8194,0.0965539,0
2.82943,0.0888916,0
2.83946,0.100113,0
2.8495,0.106174,0
2.85953,0.0933493,0
2.86957,0.0785825,0
2.8796,0.0838234,0
2.88963,0.102975,0
2.89967,0.110336,0
2.9097,0.0976769,0
2.91973,0.0851588,0
2.92977,0.0906858,0
2.9398,0.103435,0
2.94983,0.10037,0
2.95987,0.0806703,0
2.9699,0.0671613,0
2.97993,0.0732341,0
2.98997,0.084379,0
3,0.0809764,0
