# 20250117_162450
alpha,Dfield0Re,Dfield0Im
0,0.0390967,0
0.00157237,0.0391098,0
0.00314474,0.0391238,0
0.00471711,0.0391379,0
0.00628947,0.0391513,0
0.00786184,0.0391631,0
0.00943421,0.0391727,0
0.0110066,0.0391796,0
0.0125789,0.0391856,0
0.0141513,0.0391908,0
0.0157237,0.0391955,0
0.0172961,0.0391996,0
0.0188684,0.0392033,0
0.0204408,0.0392067,0
0.0220132,0.0392096,0
0.0235855,0.0392122,0
0.0251579,0.0392145,0
0.0267303,0.0392168,0
0.0283026,0.0392191,0
0.029875,0.0392216,0
0.0314474,0.0392243,0
0.0330197,0.0392269,0
0.0345921,0.0392296,0
0.0361645,0.0392324,0
0.0377368,0.0392353,0
0.0393092,0.0392385,0
0.0408816,0.0392418,0
0.042454,0.0392455,0
0.0440263,0.0392494,0
0.0455987,0.0392535,0
0.0471711,0.0392579,0
0.0487434,0.0392624,0
0.0503158,0.0392671,0
0.0518882,0.0392721,0
0.0534605,0.0392773,0
0.0550329,0.0392828,0
0.0566053,0.0392886,0
0.0581776,0.0392945,0
0.05975,0.0393006,0
0.0613224,0.0393068,0
0.0628947,0.0393133,0
0.0644671,0.03932,0
0.0660395,0.0393269,0
0.0676119,0.0393339,0
0.0691842,0.0393411,0
0.0707566,0.0393484,0
0.072329,0.0393559,0
0.0739013,0.0393636,0
0.0754737,0.0393714,0
0.0770461,0.0393793,0
0.0786184,0.0393874,0
0.0801908,0.0393955,0
0.0817632,0.0394038,0
0.0833355,0.0394122,0
0.0849079,0.0394208,0
0.0864803,0.0394294,0
0.0880526,0.0394382,0
0.089625,0.039447,0
0.0911974,0.039456,0
0.0927698,0.039465,0
0.0943421,0.0394742,0
0.0959145,0.0394834,0
0.0974869,0.0394928,0
0.0990592,0.0395022,0
0.100632,0.0395118,0
0.102204,0.0395214,0
0.103776,0.0395312,0
0.105349,0.039541,0
0.106921,0.0395509,0
0.108493,0.039561,0
0.110066,0.0395711,0
0.111638,0.0395814,0
0.113211,0.0395917,0
0.114783,0.0396022,0
0.116355,0.0396128,0
0.117928,0.0396234,0
0.1195,0.0396342,0
0.121072,0.0396451,0
0.122645,0.0396561,0
0.124217,0.0396673,0
0.125789,0.0396785,0
0.127362,0.0396899,0
0.128934,0.0397013,0
0.130507,0.0397129,0
0.132079,0.0397247,0
0.133651,0.0397365,0
0.135224,0.0397485,0
0.136796,0.0397606,0
0.138368,0.0397728,0
0.139941,0.0397851,0
0.141513,0.0397976,0
0.143086,0.0398102,0
0.144658,0.0398229,0
0.14623,0.0398357,0
0.147803,0.0398487,0
0.149375,0.0398618,0
0.150947,0.039875,0
0.15252,0.0398883,0
0.154092,0.0399018,0
0.155665,0.0399153,0
0.157237,0.039929,0
0.158809,0.0399428,0
0.160382,0.0399567,0
0.161954,0.0399707,0
0.163526,0.0399849,0
0.165099,0.0399991,0
0.166671,0.0400135,0
0.168243,0.0400279,0
0.169816,0.0400425,0
0.171388,0.0400571,0
0.172961,0.0400718,0
0.174533,0.0400866,0
0.176105,0.0401016,0
0.177678,0.0401166,0
0.17925,0.0401316,0
0.180822,0.0401467,0
0.182395,0.0401619,0
0.183967,0.0401772,0
0.18554,0.0401925,0
0.187112,0.0402079,0
0.188684,0.0402234,0
0.190257,0.0402388,0
0.191829,0.0402544,0
0.193401,0.0402699,0
0.194974,0.0402855,0
0.196546,0.0403012,0
0.198118,0.0403169,0
0.199691,0.0403325,0
0.201263,0.0403482,0
0.202836,0.0403639,0
0.204408,0.0403796,0
0.20598,0.0403954,0
0.207553,0.0404111,0
0.209125,0.0404268,0
0.210697,0.0404424,0
0.21227,0.0404581,0
0.213842,0.0404738,0
0.215415,0.0404894,0
0.216987,0.040505,0
0.218559,0.0405206,0
0.220132,0.0405361,0
0.221704,0.0405515,0
0.223276,0.040567,0
0.224849,0.0405824,0
0.226421,0.0405977,0
0.227993,0.0406129,0
0.229566,0.0406281,0
0.231138,0.0406432,0
0.232711,0.0406583,0
0.234283,0.0406732,0
0.235855,0.0406881,0
0.237428,0.0407029,0
0.239,0.0407176,0
0.240572,0.0407322,0
0.242145,0.0407467,0
0.243717,0.0407611,0
0.24529,0.0407755,0
0.246862,0.0407897,0
0.248434,0.0408038,0
0.250007,0.0408177,0
0.251579,0.0408315,0
0.253151,0.0408452,0
0.254724,0.0408589,0
0.256296,0.0408723,0
0.257868,0.0408857,0
0.259441,0.0408988,0
0.261013,0.0409119,0
0.262586,0.0409248,0
0.264158,0.0409375,0
0.26573,0.0409502,0
0.267303,0.0409626,0
0.268875,0.0409749,0
0.270447,0.040987,0
0.27202,0.040999,0
0.273592,0.0410108,0
0.275165,0.0410224,0
0.276737,0.0410339,0
0.278309,0.0410452,0
0.279882,0.0410563,0
0.281454,0.0410672,0
0.283026,0.0410779,0
0.284599,0.0410885,0
0.286171,0.0410988,0
0.287743,0.041109,0
0.289316,0.0411189,0
0.290888,0.0411286,0
0.292461,0.0411382,0
0.294033,0.0411475,0
0.295605,0.0411567,0
0.297178,0.0411656,0
0.29875,0.0411742,0
0.300322,0.0411826,0
0.301895,0.0411908,0
0.303467,0.0411988,0
0.30504,0.0412066,0
0.306612,0.0412142,0
0.308184,0.0412215,0
0.309757,0.0412284,0
0.311329,0.0412351,0
0.312901,0.0412417,0
0.314474,0.041248,0
0.316046,0.041254,0
0.317618,0.0412598,0
0.319191,0.0412652,0
0.320763,0.0412702,0
0.322336,0.0412751,0
0.323908,0.0412798,0
0.32548,0.0412843,0
0.327053,0.0412884,0
0.328625,0.0412921,0
0.330197,0.0412953,0
0.33177,0.0412984,0
0.333342,0.0413014,0
0.334915,0.0413042,0
0.336487,0.0413066,0
0.338059,0.0413085,0
0.339632,0.0413095,0
0.341204,0.0413098,0
0.342776,0.04131,0
0.344349,0.0413103,0
0.345921,0.0413104,0
