# 20250117_162450
# initdata:	Data/init_real_taudep_m140_20250117_162422/init1.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,60188,0
0.0100503,56789.3,0
0.0201005,47784.6,0
0.0301508,36096.9,0
0.040201,24883.6,0
0.0502513,16179.3,0
0.0603015,10426.1,0
0.0703518,6924.8,0
0.080402,4677.84,0
0.0904523,3023.08,0
0.100503,1776.81,0
0.110553,995.256,0
0.120603,669.385,0
0.130653,614.228,0
0.140704,588.18,0
0.150754,471.348,0
0.160804,312.312,0
0.170854,215.751,0
0.180905,209.689,0
0.190955,229.155,0
0.201005,205.918,0
0.211055,142.215,0
0.221106,89.3886,0
0.231156,76.5061,0
0.241206,82.2308,0
0.251256,72.8094,0
0.261307,45.6441,0
0.271357,24.4417,0
0.281407,22.9772,0
0.291457,29.7109,0
0.301508,28.0194,0
0.311558,18.3419,0
0.321608,13.1593,0
0.331658,17.1006,0
0.341709,21.6154,0
0.351759,18.5858,0
0.361809,11.0693,0
0.371859,7.20104,0
0.38191,8.51775,0
0.39196,9.46184,0
0.40201,6.57429,0
0.41206,2.95048,0
0.422111,2.67323,0
0.432161,4.79292,0
0.442211,5.41648,0
0.452261,3.6384,0
0.462312,2.27732,0
0.472362,3.16455,0
0.482412,4.54133,0
0.492462,4.01495,0
0.502513,2.06683,0
0.512563,1.01445,0
0.522613,1.53176,0
0.532663,2.0414,0
0.542714,1.40222,0
0.552764,0.523825,0
0.562814,0.710994,0
0.572864,1.61124,0
0.582915,1.85874,0
0.592965,1.16054,0
0.603015,0.592649,0
0.613065,0.871081,0
0.623116,1.35527,0
0.633166,1.1536,0
0.643216,0.462062,0
0.653266,0.154509,0
0.663317,0.439545,0
0.673367,0.669631,0
0.683417,0.433383,0
0.693467,0.147457,0
0.703518,0.317416,0
0.713568,0.723622,0
0.723618,0.777585,0
0.733668,0.416271,0
0.743719,0.150767,0
0.753769,0.271729,0
0.763819,0.466327,0
0.773869,0.362759,0
0.78392,0.0945366,0
0.79397,0.0430169,0
0.80402,0.235006,0
0.81407,0.337243,0
0.824121,0.197003,0
0.834171,0.0583359,0
0.844221,0.15333,0
0.854271,0.340575,0
0.864322,0.335941,0
0.874372,0.142623,0
0.884422,0.021244,0
0.894472,0.0870584,0
0.904523,0.169598,0
0.914573,0.112296,0
0.924623,0.0126359,0
0.934673,0.0434852,0
0.944724,0.168961,0
0.954774,0.203876,0
0.964824,0.103864,0
0.974874,0.0259675,0
0.984925,0.080467,0
0.994975,0.169641,0
1.00503,0.149553,0
1.01508,0.046857,0
1.02513,0.00243143,0
1.03518,0.052615,0
1.04523,0.0912625,0
1.05528,0.0505223,0
1.06533,0.00306767,0
1.07538,0.0354363,0
1.08543,0.106456,0
1.09548,0.112282,0
1.10553,0.0462057,0
1.11558,0.00287441,0
1.12563,0.0309182,0
1.13568,0.0680378,0
1.14573,0.0489463,0
1.15578,0.0063561,0
1.16583,0.0108451,0
1.17588,0.0554385,0
1.18593,0.0689843,0
1.19598,0.0308495,0
1.20603,0.0029815,0
1.21608,0.0321578,0
1.22613,0.0777964,0
1.23618,0.0744064,0
1.24623,0.0278062,0
1.25628,0.000124471,0
1.26633,0.0155988,0
1.27638,0.0337474,0
1.28643,0.0212005,0
1.29648,0.00223814,0
1.30653,0.0130571,0
1.31658,0.0402362,0
1.32663,0.0421444,0
1.33668,0.0154874,0
1.34673,0.000191672,0
1.35678,0.0171266,0
1.36683,0.0377109,0
1.37688,0.0302001,0
1.38693,0.00738395,0
1.39698,0.00317871,0
1.40704,0.019259,0
1.41709,0.0257606,0
1.42714,0.0110617,0
1.43719,2.98318e-05,0
1.44724,0.0136096,0
1.45729,0.0350289,0
1.46734,0.0347488,0
1.47739,0.0139012,0
1.48744,0.00028909,0
1.49749,0.00670052,0
1.50754,0.0163013,0
1.51759,0.0129263,0
1.52764,0.0050649,0
1.53769,0.00799063,0
1.54774,0.0169951,0
1.55779,0.0157237,0
1.56784,0.00435767,0
1.57789,0.000809086,0
1.58794,0.0126013,0
1.59799,0.0241914,0
1.60804,0.019763,0
1.61809,0.00610817,0
1.62814,0.00124218,0
1.63819,0.00786626,0
1.64824,0.012095,0
1.65829,0.00680818,0
1.66834,0.00192026,0
1.67839,0.00705057,0
1.68844,0.0155776,0
1.69849,0.014906,0
1.70854,0.00579771,0
1.71859,0.00069896,0
1.72864,0.00497896,0
1.73869,0.0104348,0
1.74874,0.00929083,0
1.75879,0.00528904,0
1.76884,0.00555126,0
1.77889,0.00834474,0
1.78894,0.00687852,0
1.79899,0.00191373,0
1.80905,0.00174675,0
1.8191,0.00899118,0
1.82915,0.0152125,0
1.8392,0.0124436,0
1.84925,0.00437726,0
1.8593,0.000757534,0
1.86935,0.00394885,0
1.8794,0.00736349,0
1.88945,0.00632339,0
1.8995,0.00400113,0
1.90955,0.00471611,0
1.9196,0.00672255,0
1.92965,0.0057363,0
1.9397,0.00246343,0
1.94975,0.00166143,0
1.9598,0.00460213,0
1.96985,0.00714123,0
1.9799,0.00612257,0
1.98995,0.0037286,0
2,0.00336942,0
