# 20250117_162454
# initdata:	Data/init_real_taudep_m140_20250117_162422/init4.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,57820.6,0
0.0100503,54753.2,0
0.0201005,46557.9,0
0.0301508,35726.8,0
0.040201,25014.3,0
0.0502513,16311.6,0
0.0603015,10222.5,0
0.0703518,6369.77,0
0.080402,4016.85,0
0.0904523,2545.55,0
0.100503,1606.86,0
0.110553,1037.62,0
0.120603,731.571,0
0.130653,580.242,0
0.140704,486.645,0
0.150754,396.993,0
0.160804,306.044,0
0.170854,231.918,0
0.180905,185.527,0
0.190955,159.173,0
0.201005,137.188,0
0.211055,111.697,0
0.221106,86.5463,0
0.231156,68.5154,0
0.241206,58.2828,0
0.251256,50.76,0
0.261307,41.8998,0
0.271357,32.5916,0
0.281407,25.9169,0
0.291457,22.622,0
0.301508,20.5996,0
0.311558,17.95,0
0.321608,14.987,0
0.331658,12.9952,0
0.341709,12.1175,0
0.351759,11.2797,0
0.361809,9.7673,0
0.371859,8.02489,0
0.38191,6.80104,0
0.39196,6.11664,0
0.40201,5.44007,0
0.41206,4.5503,0
0.422111,3.77222,0
0.432161,3.40072,0
0.442211,3.27418,0
0.452261,3.05561,0
0.462312,2.69641,0
0.472362,2.40761,0
0.482412,2.27932,0
0.492462,2.15552,0
0.502513,1.89515,0
0.512563,1.57842,0
0.522613,1.36801,0
0.532663,1.27569,0
0.542714,1.18066,0
0.552764,1.03074,0
0.562814,0.907045,0
0.572864,0.878352,0
0.582915,0.890942,0
0.592965,0.850108,0
0.603015,0.751985,0
0.613065,0.669604,0
0.623116,0.633934,0
0.633166,0.597363,0
0.643216,0.518725,0
0.653266,0.428025,0
0.663317,0.378346,0
0.673367,0.369442,0
0.683417,0.357705,0
0.693467,0.325484,0
0.703518,0.299825,0
0.713568,0.300989,0
0.723618,0.307784,0
0.733668,0.290084,0
0.743719,0.252795,0
0.753769,0.22432,0
0.763819,0.213128,0
0.773869,0.199806,0
0.78392,0.172569,0
0.79397,0.146433,0
0.80402,0.13911,0
0.81407,0.143995,0
0.824121,0.141348,0
0.834171,0.127463,0
0.844221,0.116728,0
0.854271,0.116572,0
0.864322,0.115887,0
0.874372,0.10315,0
0.884422,0.0842527,0
0.894472,0.0732021,0
0.904523,0.0719958,0
0.914573,0.0702987,0
0.924623,0.0630364,0
0.934673,0.0574517,0
0.944724,0.0604355,0
0.954774,0.0669508,0
0.964824,0.0675095,0
0.974874,0.0615684,0
0.984925,0.0566337,0
0.994975,0.05594,0
1.00503,0.0542982,0
1.01508,0.0473181,0
1.02513,0.0385741,0
1.03518,0.0340996,0
1.04523,0.033692,0
1.05528,0.0323726,0
1.06533,0.0285358,0
1.07538,0.025748,0
1.08543,0.0262379,0
1.09548,0.0270984,0
1.10553,0.0249172,0
1.11558,0.0209987,0
1.12563,0.0190201,0
1.13568,0.0193601,0
1.14573,0.019057,0
1.15578,0.0170076,0
1.16583,0.0158018,0
1.17588,0.0174553,0
1.18593,0.0200252,0
1.19598,0.020412,0
1.20603,0.0187968,0
1.21608,0.017882,0
1.22613,0.0184133,0
1.23618,0.0180692,0
1.24623,0.0151997,0
1.25628,0.0114477,0
1.26633,0.00936025,0
1.27638,0.00890744,0
1.28643,0.00812695,0
1.29648,0.00646949,0
1.30653,0.005517,0
1.31658,0.00625346,0
1.32663,0.00740257,0
1.33668,0.00735303,0
1.34673,0.00648257,0
1.35678,0.0063117,0
1.36683,0.00702757,0
1.37688,0.00729172,0
1.38693,0.0064535,0
1.39698,0.00558949,0
1.40704,0.00582412,0
1.41709,0.00665096,0
1.42714,0.00678589,0
1.43719,0.00608774,0
1.44724,0.00557603,0
1.45729,0.00571949,0
1.46734,0.00573058,0
1.47739,0.00484775,0
1.48744,0.00349526,0
1.49749,0.00260397,0
1.50754,0.00230013,0
1.51759,0.0019798,0
1.52764,0.00145068,0
1.53769,0.00123829,0
1.54774,0.00165958,0
1.55779,0.00225143,0
1.56784,0.00246115,0
1.57789,0.0024418,0
1.58794,0.00268761,0
1.59799,0.00314696,0
1.60804,0.00325257,0
1.61809,0.00280687,0
1.62814,0.0023018,0
1.63819,0.0022011,0
1.64824,0.00229682,0
1.65829,0.00211572,0
1.66834,0.00167069,0
1.67839,0.00140105,0
1.68844,0.00146185,0
1.69849,0.00149911,0
1.70854,0.00121505,0
1.71859,0.000801074,0
1.72864,0.000601243,0
1.73869,0.000597935,0
1.74874,0.000521708,0
1.75879,0.000343054,0
1.76884,0.000326929,0
1.77889,0.000585846,0
1.78894,0.000875199,0
1.79899,0.000963115,0
1.80905,0.000966052,0
1.8191,0.00112924,0
1.82915,0.0013976,0
1.8392,0.00146355,0
1.84925,0.00121687,0
1.8593,0.000899842,0
1.86935,0.000760949,0
1.8794,0.00073399,0
1.88945,0.000605555,0
1.8995,0.000364569,0
1.90955,0.000200553,0
1.9196,0.00020048,0
1.92965,0.000235626,0
1.9397,0.000182949,0
1.94975,0.000102751,0
1.9598,0.000108234,0
1.96985,0.000170109,0
1.9799,0.000175039,0
1.98995,0.000123346,0
2,0.000133176,0
