# 20250121_104030
# initdata:	Data/init_real_taudep_m140_20250117_162422/init3.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,29333.2,0
0.0100503,27744.6,0
0.0201005,23514.6,0
0.0301508,17962.7,0
0.040201,12530.2,0
0.0502513,8179.16,0
0.0603015,5180.34,0
0.0703518,3296.12,0
0.080402,2125.05,0
0.0904523,1356.91,0
0.100503,841.14,0
0.110553,523.874,0
0.120603,363.728,0
0.130653,297.517,0
0.140704,259.127,0
0.150754,212.082,0
0.160804,158.252,0
0.170854,116.806,0
0.180905,96.8587,0
0.190955,89.1485,0
0.201005,79.0992,0
0.211055,62.3305,0
0.221106,45.6558,0
0.231156,35.995,0
0.241206,32.2829,0
0.251256,28.632,0
0.261307,22.2785,0
0.271357,15.8295,0
0.281407,12.5403,0
0.291457,12.0071,0
0.301508,11.4293,0
0.311558,9.53005,0
0.321608,7.5912,0
0.331658,6.97868,0
0.341709,7.16763,0
0.351759,6.73828,0
0.361809,5.39357,0
0.371859,4.10722,0
0.38191,3.58384,0
0.39196,3.42184,0
0.40201,2.93939,0
0.41206,2.19208,0
0.422111,1.74997,0
0.432161,1.78827,0
0.442211,1.88904,0
0.452261,1.70441,0
0.462312,1.4005,0
0.472362,1.2995,0
0.482412,1.36853,0
0.492462,1.31124,0
0.502513,1.0348,0
0.512563,0.763094,0
0.522613,0.683332,0
0.532663,0.700457,0
0.542714,0.630356,0
0.552764,0.485621,0
0.562814,0.425539,0
0.572864,0.49214,0
0.582915,0.550621,0
0.592965,0.496542,0
0.603015,0.395163,0
0.613065,0.359887,0
0.623116,0.380518,0
0.633166,0.358208,0
0.643216,0.266795,0
0.653266,0.187611,0
0.663317,0.181352,0
0.673367,0.206004,0
0.683417,0.194336,0
0.693467,0.15588,0
0.703518,0.149303,0
0.713568,0.182795,0
0.723618,0.201285,0
0.733668,0.171426,0
0.743719,0.127856,0
0.753769,0.115501,0
0.763819,0.124534,0
0.773869,0.114253,0
0.78392,0.0803831,0
0.79397,0.0594202,0
0.80402,0.0702669,0
0.81407,0.0871426,0
0.824121,0.0815058,0
0.834171,0.06353,0
0.844221,0.0611794,0
0.854271,0.0747146,0
0.864322,0.0776872,0
0.874372,0.0587527,0
0.884422,0.037844,0
0.894472,0.0346538,0
0.904523,0.0412294,0
0.914573,0.0385143,0
0.924623,0.0271902,0
0.934673,0.024534,0
0.944724,0.0356018,0
0.954774,0.0450131,0
0.964824,0.0407049,0
0.974874,0.0309869,0
0.984925,0.0298414,0
0.994975,0.0353542,0
1.00503,0.0343366,0
1.01508,0.0237181,0
1.02513,0.0148326,0
1.03518,0.0156751,0
1.04523,0.0198428,0
1.05528,0.0180928,0
1.06533,0.0126657,0
1.07538,0.0123399,0
1.08543,0.0176598,0
1.09548,0.0200629,0
1.10553,0.0153247,0
1.11558,0.00962533,0
1.12563,0.00946764,0
1.13568,0.0121055,0
1.14573,0.0110059,0
1.15578,0.00668289,0
1.16583,0.00563788,0
1.17588,0.00978765,0
1.18593,0.0134007,0
1.19598,0.0119854,0
1.20603,0.00885898,0
1.21608,0.00943712,0
1.22613,0.0127001,0
1.23618,0.0129428,0
1.24623,0.00861117,0
1.25628,0.00440437,0
1.26633,0.00407225,0
1.27638,0.00540543,0
1.28643,0.00458077,0
1.29648,0.00228339,0
1.30653,0.00212227,0
1.31658,0.00453106,0
1.32663,0.00603848,0
1.33668,0.0047081,0
1.34673,0.00293289,0
1.35678,0.00342103,0
1.36683,0.00500426,0
1.37688,0.0047404,0
1.38693,0.0026564,0
1.39698,0.0016367,0
1.40704,0.00290216,0
1.41709,0.00428356,0
1.42714,0.00375238,0
1.43719,0.00246643,0
1.44724,0.00271244,0
1.45729,0.00423492,0
1.46734,0.00466638,0
1.47739,0.0031423,0
1.48744,0.00144576,0
1.49749,0.00118423,0
1.50754,0.00162132,0
1.51759,0.00127251,0
1.52764,0.000379833,0
1.53769,0.00034335,0
1.54774,0.00130573,0
1.55779,0.00189785,0
1.56784,0.00145169,0
1.57789,0.0010278,0
1.58794,0.00163799,0
1.59799,0.00256117,0
1.60804,0.0024268,0
1.61809,0.00132385,0
1.62814,0.000648079,0
1.63819,0.00101472,0
1.64824,0.00147564,0
1.65829,0.00112378,0
1.66834,0.000468907,0
1.67839,0.000526883,0
1.68844,0.00119255,0
1.69849,0.00143476,0
1.70854,0.000883347,0
1.71859,0.000300368,0
1.72864,0.000333697,0
1.73869,0.00060475,0
1.74874,0.000467195,0
1.75879,7.94695e-05,0
1.76884,8.0378e-05,0
1.77889,0.000499266,0
1.78894,0.000711237,0
1.79899,0.00047165,0
1.80905,0.000330609,0
1.8191,0.000742823,0
1.82915,0.001294,0
1.8392,0.00126958,0
1.84925,0.00069217,0
1.8593,0.000263854,0
1.86935,0.00035005,0
1.8794,0.000552333,0
1.88945,0.000413523,0
1.8995,9.16392e-05,0
1.90955,2.49466e-05,0
1.9196,0.000225708,0
1.92965,0.000314727,0
1.9397,0.00015087,0
1.94975,1.68758e-05,0
1.9598,0.000121361,0
1.96985,0.000267666,0
1.9799,0.000200989,0
1.98995,2.91165e-05,0
2,3.45662e-05,0
