# 20250122_110626
alpha,field0Re,field0Im
0,0.0560118,0
0.00157237,0.0560124,0
0.00314474,0.0560131,0
0.00471711,0.0560139,0
0.00628947,0.0560145,0
0.00786184,0.0560151,0
0.00943421,0.0560154,0
0.0110066,0.0560156,0
0.0125789,0.0560158,0
0.0141513,0.0560159,0
0.0157237,0.056016,0
0.0172961,0.0560161,0
0.0188684,0.0560161,0
0.0204408,0.0560161,0
0.0220132,0.056016,0
0.0235855,0.0560159,0
0.0251579,0.0560157,0
0.0267303,0.0560155,0
0.0283026,0.0560153,0
0.029875,0.0560151,0
0.0314474,0.0560149,0
0.0330197,0.0560146,0
0.0345921,0.0560143,0
0.0361645,0.056014,0
0.0377368,0.0560137,0
0.0393092,0.0560133,0
0.0408816,0.056013,0
0.042454,0.0560126,0
0.0440263,0.0560123,0
0.0455987,0.0560119,0
0.0471711,0.0560115,0
0.0487434,0.0560111,0
0.0503158,0.0560107,0
0.0518882,0.0560103,0
0.0534605,0.0560099,0
0.0550329,0.0560095,0
0.0566053,0.0560091,0
0.0581776,0.0560086,0
0.05975,0.0560082,0
0.0613224,0.0560077,0
0.0628947,0.0560073,0
0.0644671,0.0560068,0
0.0660395,0.0560063,0
0.0676119,0.0560058,0
0.0691842,0.0560053,0
0.0707566,0.0560048,0
0.072329,0.0560043,0
0.0739013,0.0560038,0
0.0754737,0.0560032,0
0.0770461,0.0560027,0
0.0786184,0.0560021,0
0.0801908,0.0560016,0
0.0817632,0.056001,0
0.0833355,0.0560004,0
0.0849079,0.0559998,0
0.0864803,0.0559992,0
0.0880526,0.0559985,0
0.089625,0.0559979,0
0.0911974,0.0559972,0
0.0927698,0.0559965,0
0.0943421,0.0559958,0
0.0959145,0.0559951,0
0.0974869,0.0559944,0
0.0990592,0.0559937,0
0.100632,0.0559929,0
0.102204,0.0559922,0
0.103776,0.0559914,0
0.105349,0.0559906,0
0.106921,0.0559898,0
0.108493,0.0559889,0
0.110066,0.0559881,0
0.111638,0.0559872,0
0.113211,0.0559863,0
0.114783,0.0559854,0
0.116355,0.0559845,0
0.117928,0.0559836,0
0.1195,0.0559826,0
0.121072,0.0559816,0
0.122645,0.0559806,0
0.124217,0.0559796,0
0.125789,0.0559786,0
0.127362,0.0559775,0
0.128934,0.0559765,0
0.130507,0.0559754,0
0.132079,0.0559743,0
0.133651,0.0559731,0
0.135224,0.055972,0
0.136796,0.0559708,0
0.138368,0.0559696,0
0.139941,0.0559684,0
0.141513,0.0559672,0
0.143086,0.0559659,0
0.144658,0.0559646,0
0.14623,0.0559633,0
0.147803,0.055962,0
0.149375,0.0559607,0
0.150947,0.0559593,0
0.15252,0.0559579,0
0.154092,0.0559565,0
0.155665,0.0559551,0
0.157237,0.0559536,0
0.158809,0.0559521,0
0.160382,0.0559506,0
0.161954,0.0559491,0
0.163526,0.0559476,0
0.165099,0.055946,0
0.166671,0.0559444,0
0.168243,0.0559428,0
0.169816,0.0559411,0
0.171388,0.0559394,0
0.172961,0.0559377,0
0.174533,0.055936,0
0.176105,0.0559343,0
0.177678,0.0559325,0
0.17925,0.0559307,0
0.180822,0.0559288,0
0.182395,0.055927,0
0.183967,0.0559251,0
0.18554,0.0559232,0
0.187112,0.0559212,0
0.188684,0.0559192,0
0.190257,0.0559172,0
0.191829,0.0559152,0
0.193401,0.0559131,0
0.194974,0.055911,0
0.196546,0.0559089,0
0.198118,0.0559067,0
0.199691,0.0559045,0
0.201263,0.0559023,0
0.202836,0.0559,0
0.204408,0.0558977,0
0.20598,0.0558954,0
0.207553,0.055893,0
0.209125,0.0558906,0
0.210697,0.0558882,0
0.21227,0.0558857,0
0.213842,0.0558832,0
0.215415,0.0558806,0
0.216987,0.055878,0
0.218559,0.0558754,0
0.220132,0.0558727,0
0.221704,0.05587,0
0.223276,0.0558673,0
0.224849,0.0558645,0
0.226421,0.0558617,0
0.227993,0.0558588,0
0.229566,0.0558559,0
0.231138,0.0558529,0
0.232711,0.0558499,0
0.234283,0.0558469,0
0.235855,0.0558438,0
0.237428,0.0558407,0
0.239,0.0558375,0
0.240572,0.0558342,0
0.242145,0.055831,0
0.243717,0.0558277,0
0.24529,0.0558243,0
0.246862,0.0558209,0
0.248434,0.0558174,0
0.250007,0.0558139,0
0.251579,0.0558103,0
0.253151,0.0558067,0
0.254724,0.055803,0
0.256296,0.0557992,0
0.257868,0.0557955,0
0.259441,0.0557916,0
0.261013,0.0557877,0
0.262586,0.0557838,0
0.264158,0.0557798,0
0.26573,0.0557757,0
0.267303,0.0557716,0
0.268875,0.0557674,0
0.270447,0.0557632,0
0.27202,0.0557589,0
0.273592,0.0557545,0
0.275165,0.0557501,0
0.276737,0.0557456,0
0.278309,0.055741,0
0.279882,0.0557364,0
0.281454,0.0557317,0
0.283026,0.055727,0
0.284599,0.0557222,0
0.286171,0.0557173,0
0.287743,0.0557124,0
0.289316,0.0557074,0
0.290888,0.0557023,0
0.292461,0.0556971,0
0.294033,0.0556919,0
0.295605,0.0556866,0
0.297178,0.0556813,0
0.29875,0.0556758,0
0.300322,0.0556703,0
0.301895,0.0556647,0
0.303467,0.0556591,0
0.30504,0.0556533,0
0.306612,0.0556475,0
0.308184,0.0556417,0
0.309757,0.0556357,0
0.311329,0.0556296,0
0.312901,0.0556235,0
0.314474,0.0556173,0
0.316046,0.055611,0
0.317618,0.0556047,0
0.319191,0.0555982,0
0.320763,0.0555917,0
0.322336,0.0555851,0
0.323908,0.0555784,0
0.32548,0.0555716,0
0.327053,0.0555647,0
0.328625,0.0555577,0
0.330197,0.0555507,0
0.33177,0.0555436,0
0.333342,0.0555363,0
0.334915,0.055529,0
0.336487,0.0555216,0
0.338059,0.0555141,0
0.339632,0.0555065,0
0.341204,0.0554988,0
0.342776,0.055491,0
0.344349,0.0554831,0
0.345921,0.0554752,0
0.347493,0.0554671,0
0.349066,0.0554589,0
0.350638,0.0554507,0
0.352211,0.0554423,0
0.353783,0.0554338,0
0.355355,0.0554252,0
0.356928,0.0554166,0
0.3585,0.0554078,0
0.360072,0.0553989,0
0.361645,0.0553899,0
0.363217,0.0553808,0
0.36479,0.0553716,0
0.366362,0.0553623,0
0.367934,0.0553529,0
0.369507,0.0553434,0
0.371079,0.0553337,0
0.372651,0.055324,0
0.374224,0.0553141,0
0.375796,0.0553042,0
0.377368,0.0552941,0
0.378941,0.0552839,0
0.380513,0.0552736,0
0.382086,0.0552631,0
0.383658,0.0552526,0
