# 20250122_110627
# initdata:	Data/init_real_taudep_m280_20250122_110439/init8.csv
# freezeout file: 	./../../Mathematica/data/ExampleFreezeOutCorrected.csv
# particle mass:	0.28
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,5613.11,0
0.0100503,5468.13,0
0.0201005,5056.1,0
0.0301508,4439.77,0
0.040201,3705.98,0
0.0502513,2945.67,0
0.0603015,2235.86,0
0.0703518,1628.46,0
0.080402,1147.29,0
0.0904523,791.976,0
0.100503,545.874,0
0.110553,384.595,0
0.120603,283.048,0
0.130653,219.874,0
0.140704,179.281,0
0.150754,150.973,0
0.160804,129.028,0
0.170854,110.492,0
0.180905,94.1527,0
0.190955,79.671,0
0.201005,67.0423,0
0.211055,56.2973,0
0.221106,47.3682,0
0.231156,40.0657,0
0.241206,34.12,0
0.251256,29.2506,0
0.261307,25.2152,0
0.271357,21.8297,0
0.281407,18.9618,0
0.291457,16.5163,0
0.301508,14.4211,0
0.311558,12.621,0
0.321608,11.0718,0
0.331658,9.73666,0
0.341709,8.58414,0
0.351759,7.58721,0
0.361809,6.72337,0
0.371859,5.97371,0
0.38191,5.32177,0
0.39196,4.75257,0
0.40201,4.25286,0
0.41206,3.81191,0
0.422111,3.42173,0
0.432161,3.07622,0
0.442211,2.77024,0
0.452261,2.49898,0
0.462312,2.25808,0
0.472362,2.04395,0
0.482412,1.85374,0
0.492462,1.68498,0
0.502513,1.53511,0
0.512563,1.40153,0
0.522613,1.28182,0
0.532663,1.17414,0
0.542714,1.07699,0
0.552764,0.989154,0
0.562814,0.909579,0
0.572864,0.837229,0
0.582915,0.771231,0
0.592965,0.711028,0
0.603015,0.656127,0
0.613065,0.606123,0
0.623116,0.560543,0
0.633166,0.51899,0
0.643216,0.480953,0
0.653266,0.446176,0
0.663317,0.414353,0
0.673367,0.385253,0
0.683417,0.358623,0
0.693467,0.334172,0
0.703518,0.311701,0
0.713568,0.291046,0
0.723618,0.272086,0
0.733668,0.254681,0
0.743719,0.23865,0
0.753769,0.223812,0
0.763819,0.210066,0
0.773869,0.197271,0
0.78392,0.185347,0
0.79397,0.174168,0
0.80402,0.163647,0
0.81407,0.153691,0
0.824121,0.144277,0
0.834171,0.135396,0
0.844221,0.12703,0
0.854271,0.119187,0
0.864322,0.111857,0
0.874372,0.105055,0
0.884422,0.0988006,0
0.894472,0.093119,0
0.904523,0.0879694,0
0.914573,0.083334,0
0.924623,0.0791559,0
0.934673,0.07539,0
0.944724,0.0719852,0
0.954774,0.068861,0
0.964824,0.0659444,0
0.974874,0.063156,0
0.984925,0.0604408,0
0.994975,0.0577577,0
1.00503,0.0550779,0
1.01508,0.0523822,0
1.02513,0.0496688,0
1.03518,0.0469508,0
1.04523,0.0442693,0
1.05528,0.0416558,0
1.06533,0.0391592,0
1.07538,0.0368115,0
1.08543,0.0346471,0
1.09548,0.0326955,0
1.10553,0.0309785,0
1.11558,0.0294972,0
1.12563,0.0282357,0
1.13568,0.0271719,0
1.14573,0.0262753,0
1.15578,0.0255076,0
1.16583,0.0248254,0
1.17588,0.0241829,0
1.18593,0.0235368,0
1.19598,0.0228605,0
1.20603,0.0221257,0
1.21608,0.0213209,0
1.22613,0.0204407,0
1.23618,0.0194902,0
1.24623,0.0184861,0
1.25628,0.0174536,0
1.26633,0.016421,0
1.27638,0.0154192,0
1.28643,0.0144752,0
1.29648,0.0136136,0
1.30653,0.0128548,0
1.31658,0.0122112,0
1.32663,0.0116847,0
1.33668,0.0112712,0
1.34673,0.0109564,0
1.35678,0.0107235,0
1.36683,0.01055,0
1.37688,0.0104104,0
1.38693,0.010279,0
1.39698,0.0101328,0
1.40704,0.00995096,0
1.41709,0.00972161,0
1.42714,0.00943831,0
1.43719,0.00909731,0
1.44724,0.00870397,0
1.45729,0.00826829,0
1.46734,0.00780613,0
1.47739,0.0073342,0
1.48744,0.00687114,0
1.49749,0.0064342,0
1.50754,0.00603961,0
1.51759,0.00569963,0
1.52764,0.00542105,0
1.53769,0.00520485,0
1.54774,0.00504996,0
1.55779,0.00494872,0
1.56784,0.00489227,0
1.57789,0.00486685,0
1.58794,0.0048577,0
1.59799,0.00484989,0
1.60804,0.0048295,0
1.61809,0.00478489,0
1.62814,0.00470861,0
1.63819,0.00459618,0
1.64824,0.00444681,0
1.65829,0.00426322,0
1.66834,0.0040518,0
1.67839,0.00382111,0
1.68844,0.00358205,0
1.69849,0.0033459,0
1.70854,0.00312346,0
1.71859,0.00292451,0
1.72864,0.00275552,0
1.73869,0.00262107,0
1.74874,0.00252277,0
1.75879,0.00245967,0
1.76884,0.0024281,0
1.77889,0.00242151,0
1.78894,0.00243294,0
1.79899,0.00245222,0
1.80905,0.00247098,0
1.8191,0.002481,0
1.82915,0.0024758,0
1.8392,0.00245025,0
1.84925,0.00240151,0
1.8593,0.00232919,0
1.86935,0.00223495,0
1.8794,0.00212286,0
1.88945,0.001999,0
1.8995,0.00186885,0
1.90955,0.00173948,0
1.9196,0.00161745,0
1.92965,0.00150865,0
1.9397,0.0014178,0
1.94975,0.00134782,0
1.9598,0.00130008,0
1.96985,0.00127358,0
1.9799,0.0012659,0
1.98995,0.00127316,0
2,0.00129051,0
