# 20250122_111624
alpha,Dfield0Re,Dfield0Im
0,0.00931472,0
0.00157237,0.00931782,0
0.00314474,0.00932113,0
0.00471711,0.00932447,0
0.00628947,0.00932764,0
0.00786184,0.00933045,0
0.00943421,0.0093327,0
0.0110066,0.00933435,0
0.0125789,0.00933577,0
0.0141513,0.00933701,0
0.0157237,0.00933812,0
0.0172961,0.0093391,0
0.0188684,0.00933998,0
0.0204408,0.00934078,0
0.0220132,0.00934148,0
0.0235855,0.0093421,0
0.0251579,0.00934267,0
0.0267303,0.00934322,0
0.0283026,0.00934377,0
0.029875,0.00934438,0
0.0314474,0.00934502,0
0.0330197,0.00934566,0
0.0345921,0.00934631,0
0.0361645,0.00934698,0
0.0377368,0.00934769,0
0.0393092,0.00934845,0
0.0408816,0.00934927,0
0.042454,0.00935015,0
0.0440263,0.00935109,0
0.0455987,0.00935209,0
0.0471711,0.00935314,0
0.0487434,0.00935423,0
0.0503158,0.00935536,0
0.0518882,0.00935656,0
0.0534605,0.00935783,0
0.0550329,0.00935915,0
0.0566053,0.00936054,0
0.0581776,0.00936196,0
0.05975,0.00936342,0
0.0613224,0.00936492,0
0.0628947,0.00936648,0
0.0644671,0.00936809,0
0.0660395,0.00936975,0
0.0676119,0.00937145,0
0.0691842,0.00937318,0
0.0707566,0.00937494,0
0.072329,0.00937674,0
0.0739013,0.00937858,0
0.0754737,0.00938046,0
0.0770461,0.00938237,0
0.0786184,0.00938431,0
0.0801908,0.00938628,0
0.0817632,0.00938827,0
0.0833355,0.00939029,0
0.0849079,0.00939235,0
0.0864803,0.00939443,0
0.0880526,0.00939654,0
0.089625,0.00939867,0
0.0911974,0.00940082,0
0.0927698,0.009403,0
0.0943421,0.0094052,0
0.0959145,0.00940743,0
0.0974869,0.00940969,0
0.0990592,0.00941197,0
0.100632,0.00941427,0
0.102204,0.00941659,0
0.103776,0.00941894,0
0.105349,0.00942131,0
0.106921,0.00942371,0
0.108493,0.00942613,0
0.110066,0.00942858,0
0.111638,0.00943105,0
0.113211,0.00943354,0
0.114783,0.00943607,0
0.116355,0.00943862,0
0.117928,0.00944119,0
0.1195,0.00944379,0
0.121072,0.00944642,0
0.122645,0.00944908,0
0.124217,0.00945177,0
0.125789,0.00945448,0
0.127362,0.00945723,0
0.128934,0.00946,0
0.130507,0.0094628,0
0.132079,0.00946563,0
0.133651,0.00946849,0
0.135224,0.00947138,0
0.136796,0.00947431,0
0.138368,0.00947726,0
0.139941,0.00948024,0
0.141513,0.00948325,0
0.143086,0.00948629,0
0.144658,0.00948937,0
0.14623,0.00949248,0
0.147803,0.00949561,0
0.149375,0.00949877,0
0.150947,0.00950197,0
0.15252,0.00950519,0
0.154092,0.00950845,0
0.155665,0.00951173,0
0.157237,0.00951505,0
0.158809,0.00951839,0
0.160382,0.00952175,0
0.161954,0.00952514,0
0.163526,0.00952857,0
0.165099,0.00953202,0
0.166671,0.00953549,0
0.168243,0.00953899,0
0.169816,0.00954251,0
0.171388,0.00954606,0
0.172961,0.00954963,0
0.174533,0.00955322,0
0.176105,0.00955684,0
0.177678,0.00956047,0
0.17925,0.00956412,0
0.180822,0.00956779,0
0.182395,0.00957147,0
0.183967,0.00957518,0
0.18554,0.0095789,0
0.187112,0.00958264,0
0.188684,0.00958639,0
0.190257,0.00959015,0
0.191829,0.00959392,0
0.193401,0.0095977,0
0.194974,0.0096015,0
0.196546,0.0096053,0
0.198118,0.00960911,0
0.199691,0.00961292,0
0.201263,0.00961673,0
0.202836,0.00962056,0
0.204408,0.00962438,0
0.20598,0.00962822,0
0.207553,0.00963205,0
0.209125,0.00963587,0
0.210697,0.00963969,0
0.21227,0.00964351,0
0.213842,0.00964734,0
0.215415,0.00965115,0
0.216987,0.00965496,0
0.218559,0.00965877,0
0.220132,0.00966256,0
0.221704,0.00966634,0
0.223276,0.00967011,0
0.224849,0.00967388,0
0.226421,0.00967763,0
0.227993,0.00968137,0
0.229566,0.00968509,0
0.231138,0.0096888,0
0.232711,0.00969249,0
0.234283,0.00969617,0
0.235855,0.00969983,0
0.237428,0.00970347,0
0.239,0.00970709,0
0.240572,0.00971068,0
0.242145,0.00971425,0
0.243717,0.00971781,0
0.24529,0.00972134,0
0.246862,0.00972485,0
0.248434,0.00972833,0
0.250007,0.00973178,0
0.251579,0.0097352,0
0.253151,0.0097386,0
0.254724,0.00974198,0
0.256296,0.00974533,0
0.257868,0.00974864,0
0.259441,0.00975192,0
0.261013,0.00975516,0
0.262586,0.00975838,0
0.264158,0.00976157,0
0.26573,0.00976473,0
0.267303,0.00976784,0
0.268875,0.00977092,0
0.270447,0.00977396,0
0.27202,0.00977697,0
0.273592,0.00977994,0
0.275165,0.00978288,0
0.276737,0.00978578,0
0.278309,0.00978863,0
0.279882,0.00979144,0
0.281454,0.0097942,0
0.283026,0.00979693,0
0.284599,0.00979962,0
0.286171,0.00980227,0
0.287743,0.00980487,0
0.289316,0.00980742,0
0.290888,0.00980992,0
0.292461,0.00981238,0
0.294033,0.00981479,0
0.295605,0.00981717,0
0.297178,0.00981949,0
0.29875,0.00982175,0
0.300322,0.00982395,0
0.301895,0.00982611,0
0.303467,0.00982822,0
0.30504,0.00983029,0
0.306612,0.0098323,0
0.308184,0.00983425,0
0.309757,0.00983612,0
0.311329,0.00983794,0
0.312901,0.00983972,0
0.314474,0.00984145,0
0.316046,0.00984312,0
0.317618,0.00984472,0
0.319191,0.00984625,0
0.320763,0.00984769,0
0.322336,0.0098491,0
0.323908,0.00985045,0
0.32548,0.00985175,0
0.327053,0.00985298,0
0.328625,0.00985412,0
0.330197,0.00985515,0
0.33177,0.00985614,0
0.333342,0.00985709,0
0.334915,0.00985799,0
0.336487,0.00985881,0
0.338059,0.00985953,0
0.339632,0.00986011,0
0.341204,0.00986058,0
0.342776,0.00986105,0
0.344349,0.00986148,0
0.345921,0.00986184,0
0.347493,0.00986212,0
0.349066,0.00986228,0
0.350638,0.0098623,0
0.352211,0.00986222,0
0.353783,0.00986207,0
0.355355,0.00986186,0
0.356928,0.00986159,0
0.3585,0.00986129,0
0.360072,0.00986097,0
0.361645,0.00986053,0
0.363217,0.0098599,0
0.36479,0.00985913,0
0.366362,0.00985825,0
0.367934,0.00985728,0
0.369507,0.00985628,0
0.371079,0.00985522,0
0.372651,0.00985402,0
0.374224,0.00985268,0
0.375796,0.00985123,0
0.377368,0.00984967,0
0.378941,0.00984805,0
0.380513,0.00984635,0
0.382086,0.00984454,0
0.383658,0.00984258,0
0.38523,0.0098405,0
0.386803,0.00983831,0
0.388375,0.00983602,0
0.389947,0.00983366,0
0.39152,0.00983118,0
0.393092,0.00982856,0
0.394665,0.00982582,0
0.396237,0.00982295,0
0.397809,0.00981997,0
0.399382,0.00981689,0
0.400954,0.00981372,0
0.402526,0.00981041,0
0.404099,0.00980695,0
0.405671,0.00980337,0
0.407243,0.00979967,0
0.408816,0.00979586,0
0.410388,0.00979195,0
0.411961,0.0097879,0
0.413533,0.00978371,0
0.415105,0.00977938,0
0.416678,0.00977493,0
0.41825,0.00977036,0
0.419822,0.00976567,0
0.421395,0.00976087,0
0.422967,0.00975591,0
0.42454,0.00975081,0
0.426112,0.00974558,0
0.427684,0.00974022,0
0.429257,0.00973474,0
0.430829,0.00972914,0
0.432401,0.0097234,0
0.433974,0.0097175,0
0.435546,0.00971147,0
0.437118,0.0097053,0
0.438691,0.00969901,0
0.440263,0.00969259,0
0.441836,0.00968604,0
0.443408,0.00967933,0
0.44498,0.00967248,0
0.446553,0.00966548,0
0.448125,0.00965836,0
0.449697,0.00965111,0
0.45127,0.00964373,0
0.452842,0.00963619,0
0.454415,0.0096285,0
0.455987,0.00962067,0
0.457559,0.0096127,0
0.459132,0.0096046,0
0.460704,0.00959637,0
0.462276,0.00958799,0
0.463849,0.00957945,0
0.465421,0.00957077,0
0.466994,0.00956194,0
0.468566,0.00955298,0
0.470138,0.00954389,0
0.471711,0.00953465,0
0.473283,0.00952526,0
0.474855,0.00951571,0
0.476428,0.00950601,0
0.478,0.00949618,0
0.479572,0.00948621,0
0.481145,0.0094761,0
0.482717,0.00946584,0
0.48429,0.00945541,0
0.485862,0.00944484,0
0.487434,0.00943413,0
0.489007,0.00942327,0
0.490579,0.00941227,0
0.492151,0.00940112,0
0.493724,0.00938982,0
0.495296,0.00937835,0
0.496869,0.00936674,0
0.498441,0.00935498,0
0.500013,0.00934309,0
0.501586,0.00933104,0
0.503158,0.00931883,0
0.50473,0.00930646,0
0.506303,0.00929394,0
0.507875,0.00928127,0
0.509447,0.00926845,0
0.51102,0.00925549,0
0.512592,0.00924236,0
0.514165,0.00922907,0
0.515737,0.00921562,0
0.517309,0.00920201,0
0.518882,0.00918826,0
0.520454,0.00917435,0
0.522026,0.00916029,0
0.523599,0.00914605,0
0.525171,0.00913166,0
0.526744,0.0091171,0
0.528316,0.00910238,0
0.529888,0.00908751,0
0.531461,0.00907248,0
0.533033,0.00905728,0
0.534605,0.00904191,0
0.536178,0.00902637,0
0.53775,0.00901067,0
0.539322,0.00899481,0
0.540895,0.00897879,0
0.542467,0.00896259,0
0.54404,0.00894621,0
0.545612,0.00892967,0
0.547184,0.00891295,0
0.548757,0.00889607,0
0.550329,0.00887902,0
0.551901,0.00886179,0
0.553474,0.00884438,0
0.555046,0.0088268,0
0.556619,0.00880903,0
0.558191,0.00879109,0
0.559763,0.00877298,0
0.561336,0.00875469,0
0.562908,0.00873622,0
0.56448,0.00871755,0
0.566053,0.00869871,0
0.567625,0.00867968,0
0.569197,0.00866047,0
0.57077,0.00864108,0
0.572342,0.0086215,0
0.573915,0.00860172,0
0.575487,0.00858175,0
0.577059,0.00856159,0
0.578632,0.00854125,0
0.580204,0.00852072,0
0.581776,0.0085,0
0.583349,0.00847907,0
0.584921,0.00845795,0
0.586494,0.00843663,0
0.588066,0.00841511,0
0.589638,0.00839341,0
0.591211,0.00837151,0
0.592783,0.0083494,0
0.594355,0.00832708,0
0.595928,0.00830456,0
0.5975,0.00828184,0
0.599072,0.00825892,0
0.600645,0.00823581,0
0.602217,0.00821248,0
0.60379,0.00818894,0
0.605362,0.00816519,0
0.606934,0.00814124,0
0.608507,0.00811707,0
0.610079,0.00809271,0
0.611651,0.00806814,0
0.613224,0.00804335,0
0.614796,0.00801834,0
0.616369,0.00799312,0
0.617941,0.00796769,0
0.619513,0.00794205,0
0.621086,0.00791621,0
0.622658,0.00789014,0
0.62423,0.00786385,0
0.625803,0.00783734,0
0.627375,0.00781062,0
0.628947,0.00778369,0
0.63052,0.00775656,0
0.632092,0.0077292,0
0.633665,0.00770161,0
0.635237,0.0076738,0
0.636809,0.00764578,0
0.638382,0.00761754,0
0.639954,0.00758909,0
0.641526,0.00756043,0
0.643099,0.00753154,0
0.644671,0.00750242,0
0.646244,0.00747308,0
0.647816,0.00744353,0
0.649388,0.00741377,0
0.650961,0.00738379,0
0.652533,0.00735359,0
0.654105,0.00732316,0
0.655678,0.00729251,0
0.65725,0.00726165,0
0.658822,0.00723057,0
0.660395,0.00719929,0
0.661967,0.00716778,0
0.66354,0.00713604,0
0.665112,0.00710409,0
0.666684,0.00707191,0
0.668257,0.00703953,0
0.669829,0.00700694,0
0.671401,0.00697413,0
0.672974,0.0069411,0
0.674546,0.00690785,0
0.676119,0.00687438,0
0.677691,0.0068407,0
0.679263,0.00680681,0
0.680836,0.00677272,0
0.682408,0.00673841,0
0.68398,0.00670388,0
0.685553,0.00666913,0
0.687125,0.00663417,0
0.688697,0.00659901,0
0.69027,0.00656364,0
0.691842,0.00652807,0
0.693415,0.00649227,0
0.694987,0.00645626,0
0.696559,0.00642005,0
0.698132,0.00638362,0
0.699704,0.00634701,0
0.701276,0.00631019,0
0.702849,0.00627315,0
0.704421,0.0062359,0
0.705994,0.00619844,0
0.707566,0.00616079,0
0.709138,0.00612293,0
0.710711,0.00608489,0
0.712283,0.00604663,0
0.713855,0.00600816,0
0.715428,0.00596949,0
0.717,0.00593061,0
0.718572,0.00589154,0
0.720145,0.00585228,0
0.721717,0.00581282,0
0.72329,0.00577315,0
0.724862,0.00573328,0
0.726434,0.00569321,0
0.728007,0.00565294,0
0.729579,0.00561248,0
0.731151,0.00557183,0
0.732724,0.00553098,0
0.734296,0.00548992,0
0.735869,0.00544867,0
0.737441,0.00540722,0
0.739013,0.00536558,0
0.740586,0.00532375,0
0.742158,0.00528172,0
0.74373,0.00523949,0
0.745303,0.00519707,0
0.746875,0.00515445,0
0.748447,0.00511164,0
0.75002,0.00506864,0
0.751592,0.00502545,0
0.753165,0.00498205,0
0.754737,0.00493847,0
0.756309,0.00489468,0
0.757882,0.00485071,0
0.759454,0.00480655,0
0.761026,0.0047622,0
0.762599,0.00471765,0
0.764171,0.0046729,0
0.765744,0.00462796,0
0.767316,0.00458283,0
0.768888,0.00453752,0
0.770461,0.00449201,0
0.772033,0.00444631,0
0.773605,0.00440041,0
0.775178,0.00435432,0
0.77675,0.00430804,0
0.778323,0.00426157,0
0.779895,0.00421491,0
0.781467,0.00416807,0
0.78304,0.00412103,0
0.784612,0.00407379,0
0.786184,0.00402636,0
0.787757,0.00397875,0
0.789329,0.00393095,0
0.790901,0.00388297,0
0.792474,0.00383479,0
0.794046,0.00378642,0
0.795619,0.00373786,0
0.797191,0.00368912,0
0.798763,0.00364019,0
0.800336,0.00359109,0
0.801908,0.00354179,0
0.80348,0.00349231,0
0.805053,0.00344264,0
0.806625,0.00339278,0
0.808198,0.00334275,0
0.80977,0.00329255,0
0.811342,0.00324217,0
0.812915,0.0031916,0
0.814487,0.00314084,0
0.816059,0.00308991,0
0.817632,0.00303881,0
0.819204,0.00298755,0
0.820776,0.00293612,0
0.822349,0.00288451,0
0.823921,0.00283273,0
0.825494,0.00278077,0
0.827066,0.00272865,0
0.828638,0.00267638,0
0.830211,0.00262396,0
0.831783,0.00257138,0
0.833355,0.00251863,0
0.834928,0.00246572,0
0.8365,0.00241265,0
0.838073,0.00235945,0
0.839645,0.00230611,0
0.841217,0.00225264,0
0.84279,0.00219901,0
0.844362,0.00214524,0
0.845934,0.00209132,0
0.847507,0.00203729,0
0.849079,0.00198313,0
0.850651,0.00192887,0
0.852224,0.00187448,0
0.853796,0.00181995,0
0.855369,0.0017653,0
0.856941,0.00171055,0
0.858513,0.00165571,0
0.860086,0.00160078,0
0.861658,0.00154575,0
0.86323,0.00149061,0
0.864803,0.00143538,0
0.866375,0.00138006,0
0.867948,0.00132467,0
0.86952,0.00126922,0
0.871092,0.00121372,0
0.872665,0.00115813,0
0.874237,0.00110247,0
0.875809,0.00104675,0
0.877382,0.000990985,0
0.878954,0.000935195,0
0.880526,0.000879389,0
0.882099,0.000823534,0
0.883671,0.000767632,0
0.885244,0.000711699,0
0.886816,0.000655753,0
0.888388,0.000599809,0
0.889961,0.000543886,0
0.891533,0.000487966,0
0.893105,0.000432026,0
0.894678,0.000376086,0
0.89625,0.000320162,0
0.897823,0.000264274,0
0.899395,0.000208438,0
0.900967,0.000152659,0
0.90254,9.68969e-05,0
0.904112,4.11652e-05,0
0.905684,-1.45179e-05,0
0.907257,-7.01341e-05,0
0.908829,-0.000125665,0
0.910401,-0.000181095,0
0.911974,-0.00023646,0
0.913546,-0.000291764,0
0.915119,-0.000346987,0
0.916691,-0.000402112,0
0.918263,-0.00045712,0
0.919836,-0.000511992,0
0.921408,-0.000566743,0
0.92298,-0.0006214,0
0.924553,-0.000675946,0
0.926125,-0.000730363,0
0.927698,-0.000784633,0
0.92927,-0.000838738,0
0.930842,-0.000892672,0
0.932415,-0.000946474,0
0.933987,-0.00100014,0
0.935559,-0.00105364,0
0.937132,-0.00110697,0
0.938704,-0.00116011,0
0.940276,-0.00121304,0
0.941849,-0.0012658,0
0.943421,-0.00131839,0
0.944994,-0.00137079,0
0.946566,-0.001423,0
0.948138,-0.00147499,0
0.949711,-0.00152675,0
0.951283,-0.00157829,0
0.952855,-0.00162964,0
0.954428,-0.00168079,0
0.956,-0.00173171,0
0.957573,-0.0017824,0
0.959145,-0.00183285,0
0.960717,-0.00188304,0
0.96229,-0.00193301,0
