# 20240809_110510
alpha,f0Re,f0Im
0,0.0610445,0.0188833
0.01,0.0610392,0.0189005
0.02,0.0610291,0.0189331
0.03,0.0610145,0.0189801
0.04,0.0609954,0.0190412
0.05,0.060972,0.0191161
0.06,0.0609441,0.019205
0.07,0.0609115,0.0193081
0.08,0.0608741,0.0194256
0.09,0.0608318,0.0195578
0.1,0.0607843,0.0197049
0.11,0.0607315,0.0198671
0.12,0.0606731,0.0200446
0.13,0.060609,0.0202376
0.14,0.0605389,0.0204464
0.15,0.0604625,0.0206712
0.16,0.0603795,0.0209123
0.17,0.0602896,0.0211701
0.18,0.0601924,0.021445
0.19,0.0600874,0.0217373
0.2,0.0599743,0.0220475
0.21,0.0598525,0.0223762
0.22,0.0597214,0.0227238
0.23,0.0595804,0.0230908
0.24,0.0594289,0.0234779
0.25,0.0592662,0.0238856
0.26,0.0590916,0.0243145
0.27,0.0589042,0.024765
0.28,0.0587032,0.0252377
0.29,0.0584877,0.0257332
0.3,0.0582567,0.0262519
0.31,0.0580092,0.0267944
0.32,0.0577442,0.0273609
0.33,0.0574605,0.0279518
0.34,0.0571568,0.0285676
0.35,0.0568321,0.0292084
0.36,0.0564848,0.0298743
0.37,0.0561138,0.0305655
0.38,0.0557176,0.0312819
0.39,0.0552948,0.0320233
0.4,0.0548439,0.0327896
0.41,0.0543634,0.0335802
0.42,0.0538517,0.0343948
0.43,0.0533074,0.0352325
0.44,0.0527288,0.0360926
0.45,0.0521145,0.0369741
0.46,0.0514629,0.0378758
0.47,0.0507725,0.0387965
0.48,0.0500417,0.0397346
0.49,0.0492692,0.0406885
0.5,0.0484536,0.0416564
0.51,0.0475935,0.0426365
0.52,0.0466876,0.0436265
0.53,0.0457349,0.0446243
0.54,0.0447341,0.0456275
0.55,0.0436844,0.0466335
0.56,0.0425848,0.0476398
0.57,0.0414347,0.0486434
0.58,0.0402335,0.0496415
0.59,0.0389808,0.0506311
0.6,0.0376765,0.0516091
0.61,0.0363204,0.0525722
0.62,0.0349129,0.0535173
0.63,0.0334543,0.054441
0.64,0.0319453,0.0553399
0.65,0.0303868,0.0562108
0.66,0.0287801,0.0570501
0.67,0.0271264,0.0578547
0.68,0.0254276,0.0586212
0.69,0.0236856,0.0593465
0.7,0.0219025,0.0600274
0.71,0.0200809,0.0606611
0.72,0.0182235,0.0612447
0.73,0.0163332,0.0617757
0.74,0.0144133,0.0622516
0.75,0.012467,0.0626704
0.76,0.010498,0.0630302
0.77,0.00851002,0.0633292
0.78,0.00650688,0.0635663
0.79,0.0044926,0.0637403
0.8,0.00247128,0.0638506
0.81,0.000447052,0.0638969
0.82,-0.0015759,0.063879
0.83,-0.00359338,0.0637973
0.84,-0.00560125,0.0636525
0.85,-0.00759541,0.0634454
0.86,-0.00957188,0.0631774
0.87,-0.0115268,0.0628502
0.88,-0.0134565,0.0624655
0.89,-0.0153574,0.0620255
0.9,-0.0172263,0.0615326
0.91,-0.0190602,0.0609895
0.92,-0.0208563,0.0603989
0.93,-0.0226121,0.0597637
0.94,-0.0243255,0.0590871
0.95,-0.0259946,0.058372
0.96,-0.0276179,0.0576217
0.97,-0.0291941,0.0568394
0.98,-0.0307222,0.0560282
0.99,-0.0322017,0.0551911
1,-0.0336322,0.0543313
1.01,-0.0350134,0.0534516
1.02,-0.0363457,0.0525547
1.03,-0.0376293,0.0516434
1.04,-0.0388648,0.0507202
1.05,-0.040053,0.0497872
1.06,-0.0411947,0.0488468
1.07,-0.042291,0.0479008
1.08,-0.043343,0.046951
1.09,-0.0443519,0.0459991
1.1,-0.0453191,0.0450465
1.11,-0.0462459,0.0440946
1.12,-0.0471335,0.0431444
1.13,-0.0479835,0.0421971
1.14,-0.048797,0.0412536
1.15,-0.0495756,0.0403146
1.16,-0.0503205,0.0393809
1.17,-0.051033,0.0384531
1.18,-0.0517144,0.0375317
1.19,-0.0523659,0.0366172
1.2,-0.0529889,0.0357098
1.21,-0.0535844,0.0348098
1.22,-0.0541537,0.0339174
1.23,-0.0546979,0.0330325
1.24,-0.0552182,0.0321552
1.25,-0.0557157,0.0312854
1.26,-0.0561913,0.0304229
1.27,-0.056646,0.0295675
1.28,-0.0570808,0.0287192
1.29,-0.0574965,0.0278777
1.3,-0.0578938,0.0270429
1.31,-0.0582735,0.0262147
1.32,-0.0586363,0.0253929
1.33,-0.0589827,0.0245774
1.34,-0.0593135,0.023768
1.35,-0.0596292,0.0229646
1.36,-0.0599304,0.0221667
1.37,-0.0602176,0.021374
1.38,-0.0604915,0.0205863
1.39,-0.0607524,0.019803
1.4,-0.0610008,0.019024
1.41,-0.0612371,0.0182489
1.42,-0.0614617,0.0174776
1.43,-0.0616749,0.0167099
1.44,-0.0618769,0.0159455
1.45,-0.0620681,0.0151841
1.46,-0.0622489,0.0144251
1.47,-0.0624194,0.0136683
1.48,-0.06258,0.0129131
1.49,-0.0627308,0.0121594
1.5,-0.062872,0.011407
1.51,-0.0630037,0.0106558
1.52,-0.063126,0.00990553
1.53,-0.0632391,0.00915588
1.54,-0.063343,0.00840668
1.55,-0.0634378,0.0076583
1.56,-0.0635236,0.00691134
1.57,-0.0636001,0.00616735
1.58,-0.0636663,0.0054414
