# 20240809_110605
# initdata:	data/init_piplus/init4.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,59378.8,0
0.0100503,55520.4,0
0.0201005,45332,0
0.0301508,32213.5,0
0.040201,19836.4,0
0.0502513,10583.3,0
0.0603015,5015.41,0
0.0703518,2359.32,0
0.080402,1388.35,0
0.0904523,1086.54,0
0.100503,890.777,0
0.110553,633.722,0
0.120603,371.332,0
0.130653,204.416,0
0.140704,158.45,0
0.150754,168.019,0
0.160804,152.521,0
0.170854,95.1665,0
0.180905,42.407,0
0.190955,35.6297,0
0.201005,61.7931,0
0.211055,76.3155,0
0.221106,59.1673,0
0.231156,31.9943,0
0.241206,22.9585,0
0.251256,31.5018,0
0.261307,35.6709,0
0.271357,24.1613,0
0.281407,8.1471,0
0.291457,2.39509,0
0.301508,6.1687,0
0.311558,8.33824,0
0.321608,4.67504,0
0.331658,1.80186,0
0.341709,5.20041,0
0.351759,10.799,0
0.361809,11.3559,0
0.371859,6.60142,0
0.38191,2.61203,0
0.39196,2.89354,0
0.40201,4.54558,0
0.41206,3.7024,0
0.422111,1.08135,0
0.432161,0.0179181,0
0.442211,1.18702,0
0.452261,2.11037,0
0.462312,1.34841,0
0.472362,0.523783,0
0.482412,1.45928,0
0.492462,3.23522,0
0.502513,3.54734,0
0.512563,1.99853,0
0.522613,0.431627,0
0.532663,0.207372,0
0.542714,0.644278,0
0.552764,0.551431,0
0.562814,0.09732,0
0.572864,0.246261,0
0.582915,1.00825,0
0.592965,1.36269,0
0.603015,0.850701,0
0.613065,0.272619,0
0.623116,0.47046,0
0.633166,1.11599,0
0.643216,1.26498,0
0.653266,0.710925,0
0.663317,0.137434,0
0.673367,0.0419689,0
0.683417,0.155307,0
0.693467,0.0869172,0
0.703518,0.00648771,0
0.713568,0.289313,0
0.723618,0.788052,0
0.733668,0.943836,0
0.743719,0.576171,0
0.753769,0.139633,0
0.763819,0.0857763,0
0.773869,0.299155,0
0.78392,0.378827,0
0.79397,0.240919,0
0.80402,0.140443,0
0.81407,0.196163,0
0.824121,0.224611,0
0.834171,0.101892,0
0.844221,0.0148962,0
0.854271,0.179232,0
0.864322,0.472384,0
0.874372,0.565051,0
0.884422,0.35985,0
0.894472,0.0949723,0
0.904523,0.000613158,0
0.914573,0.03883,0
0.924623,0.0622703,0
0.934673,0.0709829,0
0.944724,0.159995,0
0.954774,0.292747,0
0.964824,0.307304,0
0.974874,0.162255,0
0.984925,0.0285835,0
0.994975,0.0676434,0
1.00503,0.216892,0
1.01508,0.288059,0
1.02513,0.21637,0
1.03518,0.105398,0
1.04523,0.0493005,0
1.05528,0.0277538,0
1.06533,0.00433542,0
1.07538,0.023476,0
1.08543,0.131318,0
1.09548,0.257963,0
1.10553,0.274171,0
1.11558,0.159117,0
1.12563,0.0328315,0
1.13568,0.00536497,0
1.14573,0.0566649,0
1.15578,0.100624,0
1.16583,0.109371,0
1.17588,0.115156,0
1.18593,0.122004,0
1.19598,0.0923171,0
1.20603,0.0289716,0
1.21608,0.00431472,0
1.22613,0.069045,0
1.23618,0.170576,0
1.24623,0.207672,0
1.25628,0.149899,0
1.26633,0.0608535,0
1.27638,0.00934746,0
1.28643,0.00337239,0
1.29648,0.0205398,0
1.30653,0.0572381,0
1.31658,0.112535,0
1.32663,0.150947,0
1.33668,0.128553,0
1.34673,0.0571597,0
1.35678,0.00514287,0
1.36683,0.020367,0
1.37688,0.076556,0
1.38693,0.112572,0
1.39698,0.103955,0
1.40704,0.0728048,0
1.41709,0.0425485,0
1.42714,0.0162461,0
1.43719,0.00045814,0
1.44724,0.0168319,0
1.45729,0.0699071,0
1.46734,0.121995,0
1.47739,0.12546,0
1.48744,0.0769994,0
1.49749,0.021186,0
1.50754,6.76364e-06,0
1.51759,0.0155371,0
1.52764,0.0448571,0
1.53769,0.071098,0
1.54774,0.0865856,0
1.55779,0.080914,0
1.56784,0.0491782,0
1.57789,0.0113363,0
1.58794,0.0028893,0
1.59799,0.0363928,0
1.60804,0.0828053,0
1.61809,0.100884,0
1.62814,0.0789415,0
1.63819,0.0395766,0
1.64824,0.00996694,0
1.65829,0.000667529,0
1.66834,0.0109174,0
1.67839,0.0373958,0
1.68844,0.0689374,0
1.69849,0.0837862,0
1.70854,0.0668596,0
1.71859,0.0295559,0
1.72864,0.00254044,0
1.73869,0.00588377,0
1.74874,0.0317372,0
1.75879,0.0571846,0
1.76884,0.0666745,0
1.77889,0.0582877,0
1.78894,0.0371201,0
1.79899,0.0126164,0
1.80905,3.09163e-05,0
1.8191,0.0123532,0
1.82915,0.0448763,0
1.8392,0.0734176,0
1.84925,0.0747768,0
1.8593,0.0486557,0
1.86935,0.0164783,0
1.8794,0.000406179,0
1.88945,0.00687449,0
1.8995,0.0277137,0
1.90955,0.0496216,0
1.9196,0.0602809,0
1.92965,0.0523131,0
1.9397,0.0290689,0
1.94975,0.00613231,0
1.9598,0.000942417,0
1.96985,0.0174131,0
1.9799,0.0419949,0
1.98995,0.0560182,0
2,0.0509202,0
