# 20240809_111039
# initdata:	data/init_piplus/init8.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,5385.19,0
0.0100503,5265.92,0
0.0201005,4930.5,0
0.0301508,4426.44,0
0.040201,3792.22,0
0.0502513,3052.15,0
0.0603015,2251.08,0
0.0703518,1486.43,0
0.080402,887.092,0
0.0904523,538.756,0
0.100503,418.174,0
0.110553,405.228,0
0.120603,372.908,0
0.130653,277.145,0
0.140704,165.001,0
0.150754,101.674,0
0.160804,97.473,0
0.170854,107.238,0
0.180905,89.1272,0
0.190955,48.0195,0
0.201005,18.3429,0
0.211055,17.3789,0
0.221106,28.6786,0
0.231156,28.872,0
0.241206,16.9032,0
0.251256,9.52623,0
0.261307,15.3489,0
0.271357,24.315,0
0.281407,23.3063,0
0.291457,13.2458,0
0.301508,5.41336,0
0.311558,5.47159,0
0.321608,7.9817,0
0.331658,6.33825,0
0.341709,1.91439,0
0.351759,0.419295,0
0.361809,2.94725,0
0.371859,5.06141,0
0.38191,3.84184,0
0.39196,1.73049,0
0.40201,2.20638,0
0.41206,4.55643,0
0.422111,5.26068,0
0.432161,3.17562,0
0.442211,0.768519,0
0.452261,0.290679,0
0.462312,0.976516,0
0.472362,0.9311,0
0.482412,0.164975,0
0.492462,0.202244,0
0.502513,1.38308,0
0.512563,2.23765,0
0.522613,1.70634,0
0.532663,0.655757,0
0.542714,0.49979,0
0.552764,1.18555,0
0.562814,1.48341,0
0.572864,0.875062,0
0.582915,0.149882,0
0.592965,0.0707587,0
0.603015,0.334756,0
0.613065,0.285939,0
0.623116,0.0378642,0
0.633166,0.220481,0
0.643216,0.867348,0
0.653266,1.25221,0
0.663317,0.914262,0
0.673367,0.291014,0
0.683417,0.0604598,0
0.693467,0.244773,0
0.703518,0.355805,0
0.713568,0.204087,0
0.723618,0.0978555,0
0.733668,0.245685,0
0.743719,0.399768,0
0.753769,0.283595,0
0.763819,0.06893,0
0.773869,0.128145,0
0.78392,0.455421,0
0.79397,0.651091,0
0.80402,0.47855,0
0.81407,0.156615,0
0.824121,0.00699668,0
0.834171,0.0385858,0
0.844221,0.0562472,0
0.854271,0.0282413,0
0.864322,0.1046,0
0.874372,0.302769,0
0.884422,0.411362,0
0.894472,0.286822,0
0.904523,0.0791382,0
0.914573,0.0321938,0
0.924623,0.157751,0
0.934673,0.254533,0
0.944724,0.207887,0
0.954774,0.112696,0
0.964824,0.0817651,0
0.974874,0.0808493,0
0.984925,0.0364144,0
0.994975,0.00115896,0
1.00503,0.0845987,0
1.01508,0.255527,0
1.02513,0.341873,0
1.03518,0.249455,0
1.04523,0.0832438,0
1.05528,0.00214634,0
1.06533,0.0289743,0
1.07538,0.0728703,0
1.08543,0.0866314,0
1.09548,0.106487,0
1.10553,0.145208,0
1.11558,0.144769,0
1.12563,0.0747257,0
1.13568,0.00845863,0
1.14573,0.0369043,0
1.15578,0.138672,0
1.16583,0.201299,0
1.17588,0.164136,0
1.18593,0.079973,0
1.19598,0.0255909,0
1.20603,0.010358,0
1.21608,0.00637004,0
1.22613,0.0208044,0
1.23618,0.0797746,0
1.24623,0.156286,0
1.25628,0.17618,0
1.26633,0.111917,0
1.27638,0.0277493,0
1.28643,0.00426718,0
1.29648,0.045657,0
1.30653,0.0919992,0
1.31658,0.102793,0
1.32663,0.0892754,0
1.33668,0.0705868,0
1.34673,0.0431075,0
1.35678,0.00970331,0
1.36683,0.00366028,0
1.37688,0.0501916,0
1.38693,0.118114,0
1.39698,0.143592,0
1.40704,0.103347,0
1.41709,0.0389639,0
1.42714,0.0030656,0
1.43719,0.00542236,0
1.44724,0.0242288,0
1.45729,0.0468521,0
1.46734,0.0734762,0
1.47739,0.091384,0
1.48744,0.0776024,0
1.49749,0.0349357,0
1.50754,0.00250395,0
1.51759,0.0141066,0
1.52764,0.0575268,0
1.53769,0.0899468,0
1.54774,0.0865854,0
1.55779,0.0587074,0
1.56784,0.0286255,0
1.57789,0.00726889,0
1.58794,0.000750037,0
1.59799,0.0186193,0
1.60804,0.0589768,0
1.61809,0.0946628,0
1.62814,0.0935281,0
1.63819,0.0547966,0
1.64824,0.0128342,0
1.65829,0.00061615,0
1.66834,0.0187598,0
1.67839,0.0445633,0
1.68844,0.060227,0
1.69849,0.0621411,0
1.70854,0.0507442,0
1.71859,0.0276988,0
1.72864,0.00494756,0
1.73869,0.00245505,0
1.74874,0.0272825,0
1.75879,0.0606463,0
1.76884,0.074456,0
1.77889,0.0591882,0
1.78894,0.0298179,0
1.79899,0.00700606,0
1.80905,0.000545154,0
1.8191,0.0103917,0
1.82915,0.0325039,0
1.8392,0.0568062,0
1.84925,0.0666703,0
1.8593,0.0516161,0
1.86935,0.0216101,0
1.8794,0.00138115,0
1.88945,0.00695802,0
1.8995,0.0309645,0
1.90955,0.0524616,0
1.9196,0.0569791,0
1.92965,0.0445412,0
1.9397,0.0238189,0
1.94975,0.00561394,0
1.9598,0.000432827,0
1.96985,0.013621,0
1.9799,0.0381431,0
1.98995,0.0561778,0
2,0.0534581,0
