# 20240809_111430
alpha,field0Re,field0Im
0,0.0289841,0.0569468
0.00157237,0.0289817,0.056948
0.00314474,0.0289794,0.0569492
0.00471711,0.0289771,0.0569503
0.00628947,0.0289747,0.0569515
0.00786184,0.0289721,0.0569528
0.00943421,0.0289692,0.0569543
0.0110066,0.0289658,0.0569561
0.0125789,0.0289618,0.0569581
0.0141513,0.0289573,0.0569604
0.0157237,0.0289524,0.0569629
0.0172961,0.0289472,0.0569655
0.0188684,0.0289417,0.0569683
0.0204408,0.028936,0.0569712
0.0220132,0.02893,0.0569743
0.0235855,0.0289235,0.0569775
0.0251579,0.0289167,0.056981
0.0267303,0.0289095,0.0569847
0.0283026,0.028902,0.0569885
0.029875,0.0288943,0.0569924
0.0314474,0.0288863,0.0569964
0.0330197,0.0288779,0.0570007
0.0345921,0.0288692,0.0570051
0.0361645,0.02886,0.0570097
0.0377368,0.0288506,0.0570145
0.0393092,0.028841,0.0570194
0.0408816,0.028831,0.0570244
0.042454,0.0288207,0.0570296
0.0440263,0.02881,0.057035
0.0455987,0.028799,0.0570406
0.0471711,0.0287877,0.0570463
0.0487434,0.028776,0.0570522
0.0503158,0.0287642,0.0570582
0.0518882,0.0287519,0.0570643
0.0534605,0.0287393,0.0570707
0.0550329,0.0287263,0.0570772
0.0566053,0.028713,0.0570839
0.0581776,0.0286994,0.0570907
0.05975,0.0286855,0.0570977
0.0613224,0.0286713,0.0571049
0.0628947,0.0286568,0.0571122
0.0644671,0.0286418,0.0571197
0.0660395,0.0286265,0.0571273
0.0676119,0.0286109,0.0571351
0.0691842,0.028595,0.0571431
0.0707566,0.0285788,0.0571512
0.072329,0.0285622,0.0571595
0.0739013,0.0285453,0.057168
0.0754737,0.028528,0.0571766
0.0770461,0.0285103,0.0571854
0.0786184,0.0284923,0.0571944
0.0801908,0.0284741,0.0572035
0.0817632,0.0284554,0.0572127
0.0833355,0.0284364,0.0572222
0.0849079,0.0284171,0.0572318
0.0864803,0.0283973,0.0572416
0.0880526,0.0283773,0.0572516
0.089625,0.0283569,0.0572617
0.0911974,0.0283362,0.0572719
0.0927698,0.0283151,0.0572823
0.0943421,0.0282936,0.057293
0.0959145,0.0282717,0.0573037
0.0974869,0.0282496,0.0573147
0.0990592,0.028227,0.0573258
0.100632,0.0282042,0.057337
0.102204,0.0281809,0.0573485
0.103776,0.0281573,0.0573601
0.105349,0.0281333,0.0573718
0.106921,0.0281089,0.0573838
0.108493,0.0280842,0.0573959
0.110066,0.0280592,0.0574081
0.111638,0.0280338,0.0574205
0.113211,0.028008,0.0574331
0.114783,0.0279818,0.0574459
0.116355,0.0279552,0.0574588
0.117928,0.0279283,0.0574719
0.1195,0.027901,0.0574852
0.121072,0.0278734,0.0574986
0.122645,0.0278453,0.0575121
0.124217,0.0278169,0.0575259
0.125789,0.0277881,0.0575398
0.127362,0.0277589,0.0575539
0.128934,0.0277294,0.0575682
0.130507,0.0276994,0.0575826
0.132079,0.0276691,0.0575971
0.133651,0.0276384,0.0576119
0.135224,0.0276073,0.0576268
0.136796,0.0275758,0.0576419
0.138368,0.027544,0.0576571
0.139941,0.0275117,0.0576725
0.141513,0.0274791,0.057688
0.143086,0.027446,0.0577038
0.144658,0.0274126,0.0577197
0.14623,0.0273787,0.0577357
0.147803,0.0273445,0.057752
0.149375,0.0273099,0.0577683
0.150947,0.0272749,0.0577849
0.15252,0.0272394,0.0578016
0.154092,0.0272036,0.0578185
0.155665,0.0271673,0.0578355
0.157237,0.0271306,0.0578527
0.158809,0.0270936,0.0578701
0.160382,0.0270561,0.0578876
0.161954,0.0270182,0.0579053
0.163526,0.0269799,0.0579232
0.165099,0.0269411,0.0579412
0.166671,0.0269019,0.0579594
0.168243,0.0268624,0.0579778
0.169816,0.0268224,0.0579963
0.171388,0.0267819,0.058015
0.172961,0.0267411,0.0580338
0.174533,0.0266998,0.0580528
0.176105,0.026658,0.058072
0.177678,0.0266158,0.0580914
0.17925,0.0265732,0.0581109
0.180822,0.0265302,0.0581305
0.182395,0.0264867,0.0581504
0.183967,0.0264428,0.0581704
0.18554,0.0263984,0.0581905
0.187112,0.0263535,0.0582109
0.188684,0.0263082,0.0582313
0.190257,0.0262625,0.058252
0.191829,0.0262163,0.0582728
0.193401,0.0261696,0.0582938
0.194974,0.0261224,0.0583149
0.196546,0.0260748,0.0583362
0.198118,0.0260267,0.0583577
0.199691,0.0259782,0.0583793
0.201263,0.0259292,0.0584011
0.202836,0.0258797,0.058423
0.204408,0.0258297,0.0584452
0.20598,0.0257792,0.0584675
0.207553,0.0257282,0.0584899
0.209125,0.0256768,0.0585125
0.210697,0.0256249,0.0585353
0.21227,0.0255724,0.0585582
0.213842,0.0255195,0.0585813
0.215415,0.025466,0.0586045
0.216987,0.025412,0.058628
0.218559,0.0253576,0.0586515
0.220132,0.0253026,0.0586753
0.221704,0.0252472,0.0586992
0.223276,0.0251911,0.0587232
0.224849,0.0251346,0.0587474
0.226421,0.0250775,0.0587718
0.227993,0.02502,0.0587964
0.229566,0.0249618,0.0588211
0.231138,0.0249032,0.0588459
0.232711,0.024844,0.0588709
0.234283,0.0247843,0.0588961
0.235855,0.024724,0.0589214
0.237428,0.0246632,0.0589469
0.239,0.0246018,0.0589726
