# 20240809_111543
alpha,f0Re,f0Im
0,0.0231541,0.0595558
0.00157237,0.0231516,0.0595568
0.00314474,0.0231492,0.0595578
0.00471711,0.0231468,0.0595587
0.00628947,0.0231443,0.0595596
0.00786184,0.0231416,0.0595607
0.00943421,0.0231385,0.0595619
0.0110066,0.023135,0.0595633
0.0125789,0.0231308,0.0595649
0.0141513,0.0231261,0.0595667
0.0157237,0.023121,0.0595687
0.0172961,0.0231155,0.0595708
0.0188684,0.0231097,0.0595731
0.0204408,0.0231038,0.0595754
0.0220132,0.0230975,0.0595778
0.0235855,0.0230908,0.0595804
0.0251579,0.0230836,0.0595832
0.0267303,0.0230761,0.0595861
0.0283026,0.0230683,0.0595891
0.029875,0.0230602,0.0595923
0.0314474,0.0230519,0.0595955
0.0330197,0.0230431,0.0595989
0.0345921,0.0230339,0.0596024
0.0361645,0.0230244,0.0596061
0.0377368,0.0230146,0.0596099
0.0393092,0.0230044,0.0596138
0.0408816,0.0229941,0.0596178
0.042454,0.0229833,0.059622
0.0440263,0.0229721,0.0596263
0.0455987,0.0229606,0.0596307
0.0471711,0.0229487,0.0596353
0.0487434,0.0229366,0.05964
0.0503158,0.0229241,0.0596447
0.0518882,0.0229113,0.0596496
0.0534605,0.0228982,0.0596547
0.0550329,0.0228846,0.0596599
0.0566053,0.0228707,0.0596652
0.0581776,0.0228565,0.0596707
0.05975,0.022842,0.0596762
0.0613224,0.0228271,0.0596819
0.0628947,0.0228119,0.0596877
0.0644671,0.0227963,0.0596937
0.0660395,0.0227803,0.0596998
0.0676119,0.022764,0.059706
0.0691842,0.0227474,0.0597124
0.0707566,0.0227304,0.0597188
0.072329,0.0227131,0.0597254
0.0739013,0.0226954,0.0597321
0.0754737,0.0226773,0.059739
0.0770461,0.0226589,0.059746
0.0786184,0.0226401,0.0597531
0.0801908,0.022621,0.0597604
0.0817632,0.0226015,0.0597677
0.0833355,0.0225817,0.0597752
0.0849079,0.0225614,0.0597829
0.0864803,0.0225408,0.0597906
0.0880526,0.0225199,0.0597985
0.089625,0.0224986,0.0598066
0.0911974,0.022477,0.0598147
0.0927698,0.0224549,0.059823
0.0943421,0.0224325,0.0598314
0.0959145,0.0224097,0.0598399
0.0974869,0.0223865,0.0598486
0.0990592,0.022363,0.0598574
0.100632,0.0223391,0.0598663
0.102204,0.0223149,0.0598754
0.103776,0.0222902,0.0598845
0.105349,0.0222651,0.0598939
0.106921,0.0222397,0.0599033
0.108493,0.0222139,0.0599129
0.110066,0.0221878,0.0599226
0.111638,0.0221612,0.0599324
0.113211,0.0221343,0.0599423
0.114783,0.022107,0.0599524
0.116355,0.0220792,0.0599626
0.117928,0.0220511,0.059973
0.1195,0.0220227,0.0599834
0.121072,0.0219938,0.059994
0.122645,0.0219646,0.0600047
0.124217,0.0219349,0.0600156
0.125789,0.0219049,0.0600266
0.127362,0.0218744,0.0600377
0.128934,0.0218436,0.0600489
0.130507,0.0218124,0.0600602
0.132079,0.0217808,0.0600717
0.133651,0.0217488,0.0600833
0.135224,0.0217163,0.060095
0.136796,0.0216835,0.0601069
0.138368,0.0216502,0.0601189
0.139941,0.0216166,0.060131
0.141513,0.0215826,0.0601432
0.143086,0.0215482,0.0601555
0.144658,0.0215133,0.060168
0.14623,0.021478,0.0601806
0.147803,0.0214423,0.0601933
0.149375,0.0214062,0.0602062
0.150947,0.0213697,0.0602191
0.15252,0.0213328,0.0602322
0.154092,0.0212954,0.0602454
0.155665,0.0212577,0.0602588
0.157237,0.0212194,0.0602723
0.158809,0.0211808,0.0602858
0.160382,0.0211418,0.0602995
0.161954,0.0211023,0.0603134
0.163526,0.0210624,0.0603273
0.165099,0.0210221,0.0603414
0.166671,0.0209813,0.0603556
0.168243,0.02094,0.0603699
0.169816,0.0208984,0.0603843
0.171388,0.0208563,0.0603989
0.172961,0.0208138,0.0604136
0.174533,0.0207708,0.0604284
0.176105,0.0207273,0.0604433
0.177678,0.0206834,0.0604583
0.17925,0.0206391,0.0604735
0.180822,0.0205943,0.0604887
0.182395,0.020549,0.0605041
0.183967,0.0205033,0.0605196
0.18554,0.0204571,0.0605352
0.187112,0.0204105,0.060551
0.188684,0.0203633,0.0605669
0.190257,0.0203158,0.0605828
0.191829,0.0202677,0.0605989
0.193401,0.0202192,0.0606151
0.194974,0.0201702,0.0606315
0.196546,0.0201206,0.0606479
0.198118,0.0200707,0.0606645
0.199691,0.0200202,0.0606811
0.201263,0.0199693,0.0606979
0.202836,0.0199178,0.0607148
0.204408,0.0198659,0.0607319
0.20598,0.0198134,0.060749
0.207553,0.0197604,0.0607662
0.209125,0.019707,0.0607836
0.210697,0.0196531,0.060801
0.21227,0.0195986,0.0608186
0.213842,0.0195436,0.0608363
0.215415,0.0194881,0.0608541
0.216987,0.0194321,0.060872
0.218559,0.0193755,0.0608901
0.220132,0.0193185,0.0609082
0.221704,0.0192609,0.0609264
0.223276,0.0192028,0.0609448
0.224849,0.0191441,0.0609632
0.226421,0.0190849,0.0609818
0.227993,0.0190251,0.0610005
0.229566,0.0189648,0.0610192
0.231138,0.018904,0.0610381
0.232711,0.0188426,0.0610571
0.234283,0.0187807,0.0610762
0.235855,0.0187182,0.0610953
0.237428,0.0186551,0.0611146
0.239,0.0185915,0.061134
0.240572,0.0185273,0.0611535
0.242145,0.0184625,0.0611731
0.243717,0.0183972,0.0611928
0.24529,0.0183312,0.0612126
0.246862,0.0182647,0.0612324
0.248434,0.0181976,0.0612524
0.250007,0.0181299,0.0612725
0.251579,0.0180617,0.0612926
0.253151,0.0179928,0.0613129
0.254724,0.0179233,0.0613332
0.256296,0.0178532,0.0613537
0.257868,0.0177825,0.0613742
0.259441,0.0177112,0.0613948
0.261013,0.0176394,0.0614155
0.262586,0.0175668,0.0614363
0.264158,0.0174937,0.0614572
0.26573,0.0174199,0.0614781
0.267303,0.0173455,0.0614992
0.268875,0.0172704,0.0615203
0.270447,0.0171948,0.0615414
0.27202,0.0171185,0.0615627
0.273592,0.0170415,0.0615841
0.275165,0.0169639,0.0616055
0.276737,0.0168856,0.061627
0.278309,0.0168067,0.0616486
0.279882,0.0167271,0.0616702
0.281454,0.0166469,0.0616919
0.283026,0.016566,0.0617137
0.284599,0.0164844,0.0617355
0.286171,0.0164021,0.0617574
0.287743,0.0163192,0.0617794
0.289316,0.0162356,0.0618014
0.290888,0.0161513,0.0618235
0.292461,0.0160663,0.0618456
0.294033,0.0159806,0.0618678
0.295605,0.0158942,0.0618901
0.297178,0.0158072,0.0619124
0.29875,0.0157194,0.0619347
0.300322,0.0156309,0.0619571
0.301895,0.0155417,0.0619796
0.303467,0.0154518,0.062002
0.30504,0.0153611,0.0620246
0.306612,0.0152697,0.0620471
0.308184,0.0151776,0.0620697
0.309757,0.0150848,0.0620923
0.311329,0.0149913,0.062115
0.312901,0.014897,0.0621377
0.314474,0.0148019,0.0621604
0.316046,0.0147061,0.0621831
0.317618,0.0146095,0.0622059
0.319191,0.0145122,0.0622287
0.320763,0.0144142,0.0622514
0.322336,0.0143154,0.0622742
0.323908,0.0142158,0.062297
0.32548,0.0141154,0.0623199
0.327053,0.0140142,0.0623427
0.328625,0.0139123,0.0623655
0.330197,0.0138096,0.0623883
0.33177,0.0137062,0.0624111
0.333342,0.0136019,0.062434
0.334915,0.0134968,0.0624568
0.336487,0.0133909,0.0624796
0.338059,0.0132842,0.0625023
0.339632,0.0131768,0.0625251
0.341204,0.0130685,0.0625478
0.342776,0.0129594,0.0625705
0.344349,0.0128495,0.0625931
0.345921,0.0127388,0.0626158
0.347493,0.0126272,0.0626384
0.349066,0.0125148,0.0626609
0.350638,0.0124016,0.0626834
0.352211,0.0122876,0.0627059
0.353783,0.0121727,0.0627283
0.355355,0.012057,0.0627506
