# 20240809_112059
alpha,Df0Re,Df0Im
0,0.111501,0.0144871
0.00157237,0.111557,0.0144989
0.00314474,0.111616,0.0145107
0.00471711,0.111675,0.0145225
0.00628947,0.111732,0.0145344
0.00786184,0.111783,0.0145463
0.00943421,0.111825,0.0145584
0.0110066,0.111859,0.0145707
0.0125789,0.111888,0.0145829
0.0141513,0.111914,0.0145952
0.0157237,0.111937,0.0146077
0.0172961,0.111959,0.0146205
0.0188684,0.111979,0.0146338
0.0204408,0.111998,0.0146478
0.0220132,0.112015,0.0146623
0.0235855,0.112031,0.0146774
0.0251579,0.112046,0.014693
0.0267303,0.11206,0.0147091
0.0283026,0.112075,0.0147259
0.029875,0.112091,0.0147433
0.0314474,0.112107,0.0147615
0.0330197,0.112123,0.0147804
0.0345921,0.112139,0.0148001
0.0361645,0.112156,0.0148205
0.0377368,0.112174,0.0148417
0.0393092,0.112192,0.0148635
0.0408816,0.112212,0.014886
0.042454,0.112232,0.0149093
0.0440263,0.112254,0.0149336
0.0455987,0.112277,0.0149587
0.0471711,0.112301,0.0149846
0.0487434,0.112325,0.0150112
0.0503158,0.112351,0.0150385
0.0518882,0.112377,0.0150666
0.0534605,0.112405,0.0150956
0.0550329,0.112435,0.0151256
0.0566053,0.112465,0.0151563
0.0581776,0.112496,0.0151878
0.05975,0.112528,0.01522
0.0613224,0.112561,0.015253
0.0628947,0.112595,0.0152869
0.0644671,0.112631,0.0153217
0.0660395,0.112667,0.0153573
0.0676119,0.112704,0.0153938
0.0691842,0.112742,0.0154309
0.0707566,0.112781,0.0154688
0.072329,0.112821,0.0155076
0.0739013,0.112861,0.0155473
0.0754737,0.112903,0.0155879
0.0770461,0.112945,0.0156293
0.0786184,0.112989,0.0156714
0.0801908,0.113032,0.0157143
0.0817632,0.113077,0.015758
0.0833355,0.113122,0.0158027
0.0849079,0.113169,0.0158482
0.0864803,0.113216,0.0158946
0.0880526,0.113263,0.0159418
0.089625,0.113312,0.0159897
0.0911974,0.113361,0.0160384
0.0927698,0.11341,0.0160881
0.0943421,0.113461,0.0161387
0.0959145,0.113512,0.0161901
0.0974869,0.113564,0.0162424
0.0990592,0.113617,0.0162955
0.100632,0.11367,0.0163493
0.102204,0.113724,0.0164041
0.103776,0.113778,0.0164598
0.105349,0.113833,0.0165164
0.106921,0.113889,0.0165739
0.108493,0.113946,0.0166323
0.110066,0.114003,0.0166914
0.111638,0.114061,0.0167515
0.113211,0.11412,0.0168125
0.114783,0.114179,0.0168745
0.116355,0.114239,0.0169373
0.117928,0.1143,0.0170011
0.1195,0.114362,0.0170657
0.121072,0.114424,0.0171312
0.122645,0.114487,0.0171977
0.124217,0.114551,0.0172652
0.125789,0.114615,0.0173337
0.127362,0.114681,0.017403
0.128934,0.114747,0.0174733
0.130507,0.114813,0.0175445
0.132079,0.114881,0.0176167
0.133651,0.114949,0.0176899
0.135224,0.115019,0.0177642
0.136796,0.115089,0.0178394
0.138368,0.115159,0.0179155
0.139941,0.115231,0.0179926
