# 20240809_113344
alpha,Df0Re,Df0Im
0,0.0158673,0.111313
0.01,0.0158844,0.111658
0.02,0.0158477,0.111829
0.03,0.0157771,0.111951
0.04,0.0156823,0.11209
0.05,0.0155672,0.112273
0.06,0.0154322,0.112505
0.07,0.0152763,0.112786
0.08,0.015098,0.11311
0.09,0.0148957,0.113474
0.1,0.0146682,0.113874
0.11,0.0144143,0.114311
0.12,0.0141331,0.114784
0.13,0.0138237,0.115296
0.14,0.013485,0.115848
0.15,0.0131159,0.116443
0.16,0.012715,0.117082
0.17,0.0122803,0.117766
0.18,0.0118101,0.118495
0.19,0.0113021,0.119269
0.2,0.0107536,0.120086
0.21,0.0101621,0.120945
0.22,0.00952473,0.121845
0.23,0.00883836,0.122785
0.24,0.00809984,0.123764
0.25,0.00730582,0.124779
0.26,0.00645281,0.12583
0.27,0.00553717,0.126917
0.28,0.00455509,0.128037
0.29,0.00350259,0.12919
0.3,0.00237554,0.130374
0.31,0.00116965,0.131587
0.32,-0.000119479,0.132826
0.33,-0.00149635,0.134088
0.34,-0.00296551,0.135369
0.35,-0.00453151,0.136665
0.36,-0.00619884,0.137969
0.37,-0.00797186,0.139275
0.38,-0.00985475,0.140577
0.39,-0.0118514,0.141867
0.4,-0.0139655,0.143137
0.41,-0.0162001,0.144377
0.42,-0.0185581,0.14558
0.43,-0.0210417,0.146735
0.44,-0.0236527,0.147833
0.45,-0.0263921,0.148865
0.46,-0.0292605,0.14982
0.47,-0.0322576,0.150688
0.48,-0.0353826,0.151459
0.49,-0.0386336,0.152122
0.5,-0.042008,0.152667
0.51,-0.0455023,0.153083
0.52,-0.0491121,0.153358
0.53,-0.0528316,0.153483
0.54,-0.0566544,0.153444
0.55,-0.0605723,0.153232
0.56,-0.0645763,0.152834
0.57,-0.068656,0.15224
0.58,-0.0727996,0.151439
0.59,-0.076994,0.150421
0.6,-0.0812251,0.149177
0.61,-0.0854773,0.147698
0.62,-0.0897339,0.145977
0.63,-0.0939775,0.144009
0.64,-0.0981894,0.14179
0.65,-0.102351,0.139316
0.66,-0.106441,0.136587
0.67,-0.110442,0.133605
0.68,-0.114331,0.130373
0.69,-0.118089,0.126895
0.7,-0.121695,0.123179
0.71,-0.125129,0.119233
0.72,-0.128372,0.115068
0.73,-0.131404,0.110697
0.74,-0.134206,0.106132
0.75,-0.13676,0.10139
0.76,-0.139049,0.0964885
0.77,-0.141056,0.0914449
0.78,-0.142768,0.0862795
0.79,-0.14417,0.081014
0.8,-0.145252,0.0756709
0.81,-0.146004,0.0702741
0.82,-0.14642,0.0648485
0.83,-0.146497,0.0594197
0.84,-0.146234,0.0540137
0.85,-0.145633,0.0486567
0.86,-0.144702,0.0433747
0.87,-0.143451,0.0381929
0.88,-0.141892,0.0331353
0.89,-0.140043,0.0282243
0.9,-0.137923,0.0234805
0.91,-0.135554,0.0189219
0.92,-0.132959,0.014564
0.93,-0.130163,0.0104197
0.94,-0.127191,0.00649878
0.95,-0.12407,0.00280841
0.96,-0.120823,-0.000647049
0.97,-0.117476,-0.00386571
0.98,-0.114051,-0.00684803
0.99,-0.110569,-0.0095965
1,-0.107051,-0.0121155
1.01,-0.103516,-0.0144108
1.02,-0.0999815,-0.01649
1.03,-0.0964631,-0.0183613
1.04,-0.0929767,-0.0200345
1.05,-0.0895362,-0.02152
1.06,-0.0861549,-0.0228292
1.07,-0.0828447,-0.0239738
1.08,-0.0796161,-0.024966
1.09,-0.0764777,-0.0258181
1.1,-0.0734366,-0.0265423
1.11,-0.0704974,-0.02715
1.12,-0.0676626,-0.0276521
1.13,-0.0649327,-0.0280584
1.14,-0.062306,-0.0283775
1.15,-0.0597795,-0.0286169
1.16,-0.0573493,-0.0287832
1.17,-0.055011,-0.0288823
1.18,-0.0527612,-0.0289198
1.19,-0.0505972,-0.0289014
1.2,-0.048518,-0.0288332
1.21,-0.0465241,-0.0287224
1.22,-0.0446174,-0.0285768
1.23,-0.0428003,-0.0284047
1.24,-0.0410752,-0.0282144
1.25,-0.0394429,-0.0280136
1.26,-0.0379021,-0.027808
1.27,-0.0364485,-0.0276012
1.28,-0.0350746,-0.0273935
1.29,-0.03377,-0.0271826
1.3,-0.032523,-0.0269635
1.31,-0.0313221,-0.0267305
1.32,-0.030158,-0.0264788
1.33,-0.0290257,-0.0262062
1.34,-0.0279255,-0.0259152
1.35,-0.0268634,-0.0256136
1.36,-0.0258494,-0.025314
1.37,-0.0248953,-0.0250316
1.38,-0.0240113,-0.0247815
1.39,-0.0232026,-0.0245743
1.4,-0.0224675,-0.0244142
1.41,-0.0217983,-0.0242983
1.42,-0.0211851,-0.0242206
1.43,-0.0206223,-0.024179
1.44,-0.020116,-0.0241852
1.45,-0.0196898,-0.0242733
1.46,-0.0193835,-0.0245012
1.47,-0.0192429,-0.0249398
1.48,-0.0193011,-0.0256501
1.49,-0.0195578,-0.0266528
1.5,-0.0199724,-0.0279128
1.51,-0.0204889,-0.0293691
1.52,-0.0211068,-0.0310351
1.53,-0.0219786,-0.0331563
1.54,-0.0234676,-0.0363292
1.55,-0.0260706,-0.0414235
1.56,-0.0302697,-0.0493749
1.57,-0.0371541,-0.0622275
1.58,-0.0531338,-0.091341
