# 20240809_113344
alpha,Dfield0Re,Dfield0Im
0,0.0158673,0.111313
0.00157237,0.0158704,0.11137
0.00314474,0.0158739,0.11143
0.00471711,0.0158774,0.11149
0.00628947,0.0158806,0.111547
0.00786184,0.015883,0.1116
0.00943421,0.0158843,0.111645
0.0110066,0.0158838,0.11168
0.0125789,0.0158808,0.111712
0.0141513,0.0158756,0.11174
0.0157237,0.0158689,0.111766
0.0172961,0.0158613,0.11179
0.0188684,0.0158533,0.111812
0.0204408,0.0158455,0.111835
0.0220132,0.0158367,0.111856
0.0235855,0.0158265,0.111875
0.0251579,0.0158153,0.111893
0.0267303,0.0158033,0.111912
0.0283026,0.0157908,0.11193
0.029875,0.0157781,0.11195
0.0314474,0.015765,0.11197
0.0330197,0.0157511,0.111991
0.0345921,0.0157364,0.112012
0.0361645,0.0157212,0.112034
0.0377368,0.0157055,0.112056
0.0393092,0.0156894,0.11208
0.0408816,0.015673,0.112105
0.042454,0.015656,0.112131
0.0440263,0.0156384,0.112158
0.0455987,0.0156203,0.112187
0.0471711,0.0156017,0.112216
0.0487434,0.0155827,0.112247
0.0503158,0.0155632,0.112279
0.0518882,0.0155433,0.112312
0.0534605,0.0155228,0.112347
0.0550329,0.0155018,0.112383
0.0566053,0.0154803,0.112421
0.0581776,0.0154583,0.112459
0.05975,0.0154358,0.112499
0.0613224,0.0154128,0.112539
0.0628947,0.0153893,0.112581
0.0644671,0.0153652,0.112625
0.0660395,0.0153406,0.112669
0.0676119,0.0153155,0.112715
0.0691842,0.0152898,0.112761
0.0707566,0.0152637,0.112809
0.072329,0.0152369,0.112857
0.0739013,0.0152095,0.112907
0.0754737,0.0151816,0.112958
0.0770461,0.0151531,0.11301
0.0786184,0.015124,0.113063
0.0801908,0.0150944,0.113117
0.0817632,0.0150642,0.113171
0.0833355,0.0150333,0.113227
0.0849079,0.0150018,0.113284
0.0864803,0.0149697,0.113342
0.0880526,0.014937,0.1134
0.089625,0.0149037,0.11346
0.0911974,0.0148699,0.11352
0.0927698,0.0148353,0.113581
0.0943421,0.0148001,0.113643
0.0959145,0.0147643,0.113706
0.0974869,0.0147278,0.11377
0.0990592,0.0146907,0.113835
0.100632,0.014653,0.113901
0.102204,0.0146146,0.113967
0.103776,0.0145755,0.114035
0.105349,0.0145357,0.114103
0.106921,0.0144953,0.114172
0.108493,0.0144542,0.114243
0.110066,0.0144125,0.114314
0.111638,0.0143702,0.114386
0.113211,0.0143271,0.114458
0.114783,0.0142833,0.114532
0.116355,0.0142388,0.114607
0.117928,0.0141936,0.114683
0.1195,0.0141478,0.114759
0.121072,0.0141013,0.114837
0.122645,0.0140541,0.114915
0.124217,0.0140061,0.114995
0.125789,0.0139575,0.115075
0.127362,0.0139081,0.115157
0.128934,0.013858,0.115239
0.130507,0.0138073,0.115323
0.132079,0.0137558,0.115407
0.133651,0.0137035,0.115492
0.135224,0.0136505,0.115579
0.136796,0.0135968,0.115666
0.138368,0.0135423,0.115755
0.139941,0.0134871,0.115845
0.141513,0.0134312,0.115935
0.143086,0.0133745,0.116027
0.144658,0.013317,0.11612
0.14623,0.0132587,0.116214
0.147803,0.0131997,0.116309
0.149375,0.0131399,0.116405
0.150947,0.0130794,0.116502
0.15252,0.013018,0.1166
0.154092,0.0129558,0.116699
0.155665,0.0128928,0.1168
0.157237,0.012829,0.116901
0.158809,0.0127644,0.117004
0.160382,0.012699,0.117107
0.161954,0.0126328,0.117212
0.163526,0.0125657,0.117318
0.165099,0.0124977,0.117425
0.166671,0.0124289,0.117534
0.168243,0.0123592,0.117643
0.169816,0.0122887,0.117753
0.171388,0.0122173,0.117865
0.172961,0.012145,0.117977
0.174533,0.0120718,0.118091
0.176105,0.0119976,0.118206
0.177678,0.0119226,0.118322
0.17925,0.0118467,0.118439
0.180822,0.0117698,0.118557
0.182395,0.011692,0.118676
0.183967,0.0116133,0.118797
0.18554,0.0115335,0.118918
0.187112,0.0114528,0.119041
0.188684,0.0113711,0.119164
0.190257,0.0112885,0.119289
0.191829,0.0112049,0.119415
0.193401,0.0111202,0.119542
0.194974,0.0110345,0.11967
0.196546,0.0109477,0.119799
0.198118,0.01086,0.119929
0.199691,0.0107712,0.12006
0.201263,0.0106814,0.120192
0.202836,0.0105904,0.120325
0.204408,0.0104984,0.120459
0.20598,0.0104052,0.120595
0.207553,0.010311,0.120731
0.209125,0.0102157,0.120868
0.210697,0.0101192,0.121007
0.21227,0.0100216,0.121146
0.213842,0.00992285,0.121286
0.215415,0.0098229,0.121428
0.216987,0.00972177,0.12157
0.218559,0.00961948,0.121713
0.220132,0.00951603,0.121858
0.221704,0.00941136,0.122003
0.223276,0.00930543,0.122149
0.224849,0.00919824,0.122296
0.226421,0.00908981,0.122445
0.227993,0.00898013,0.122594
0.229566,0.00886921,0.122744
0.231138,0.00875703,0.122895
0.232711,0.00864351,0.123047
0.234283,0.00852865,0.1232
0.235855,0.00841245,0.123354
0.237428,0.00829493,0.123508
0.239,0.0081761,0.123664
0.240572,0.00805594,0.123821
0.242145,0.00793437,0.123978
0.243717,0.00781138,0.124137
0.24529,0.00768696,0.124296
0.246862,0.00756114,0.124456
0.248434,0.0074339,0.124618
0.250007,0.00730527,0.12478
0.251579,0.00717519,0.124943
0.253151,0.00704358,0.125106
0.254724,0.00691046,0.125271
0.256296,0.00677583,0.125437
0.257868,0.00663971,0.125603
0.259441,0.0065021,0.125771
0.261013,0.00636299,0.125939
0.262586,0.00622227,0.126108
0.264158,0.00607993,0.126278
0.26573,0.00593601,0.126449
0.267303,0.00579049,0.12662
0.268875,0.00564339,0.126793
0.270447,0.0054947,0.126966
0.27202,0.00534435,0.12714
0.273592,0.00519228,0.127315
0.275165,0.00503851,0.127491
0.276737,0.00488306,0.127668
0.278309,0.00472592,0.127845
0.279882,0.00456711,0.128024
0.281454,0.00440658,0.128203
0.283026,0.00424423,0.128383
0.284599,0.00408007,0.128563
0.286171,0.00391413,0.128745
0.287743,0.0037464,0.128927
0.289316,0.00357689,0.12911
0.290888,0.0034056,0.129294
0.292461,0.0032324,0.129479
0.294033,0.00305729,0.129664
0.295605,0.00288027,0.12985
0.297178,0.00270137,0.130037
0.29875,0.00252059,0.130224
0.300322,0.00233793,0.130413
0.301895,0.00215329,0.130602
0.303467,0.00196663,0.130791
0.30504,0.00177795,0.130982
0.306612,0.00158727,0.131173
0.308184,0.0013946,0.131365
0.309757,0.00119995,0.131557
0.311329,0.00100327,0.13175
0.312901,0.000804449,0.131944
0.314474,0.000603495,0.132138
0.316046,0.000400425,0.132333
0.317618,0.000195252,0.132529
0.319191,-1.20111e-05,0.132725
0.320763,-0.000221374,0.132921
0.322336,-0.000432975,0.133119
0.323908,-0.000646827,0.133317
0.32548,-0.000862913,0.133515
0.327053,-0.00108122,0.133714
0.328625,-0.00130173,0.133913
0.330197,-0.00152443,0.134113
0.33177,-0.00174944,0.134314
0.333342,-0.00197682,0.134514
0.334915,-0.00220656,0.134716
0.336487,-0.00243863,0.134917
0.338059,-0.00267303,0.135119
0.339632,-0.00290973,0.135322
0.341204,-0.00314878,0.135525
0.342776,-0.00339032,0.135728
0.344349,-0.00363434,0.135931
0.345921,-0.00388082,0.136135
0.347493,-0.00412973,0.136339
0.349066,-0.00438106,0.136543
0.350638,-0.00463481,0.136748
0.352211,-0.00489113,0.136952
0.353783,-0.00515006,0.137157
0.355355,-0.00541156,0.137362
0.356928,-0.00567561,0.137568
0.3585,-0.0059422,0.137773
0.360072,-0.00621129,0.137978
0.361645,-0.00648301,0.138184
0.363217,-0.00675745,0.138389
0.36479,-0.00703458,0.138595
0.366362,-0.00731439,0.1388
0.367934,-0.00759683,0.139006
0.369507,-0.00788189,0.139211
0.371079,-0.0081696,0.139416
0.372651,-0.00846013,0.139621
0.374224,-0.00875348,0.139826
0.375796,-0.00904961,0.140031
0.377368,-0.00934849,0.140236
0.378941,-0.00965008,0.14044
0.380513,-0.00995438,0.140644
0.382086,-0.0102616,0.140848
0.383658,-0.0105717,0.141051
0.38523,-0.0108847,0.141254
0.386803,-0.0112005,0.141457
0.388375,-0.0115192,0.141659
0.389947,-0.0118406,0.14186
0.39152,-0.012165,0.142062
0.393092,-0.0124924,0.142262
0.394665,-0.0128227,0.142462
0.396237,-0.013156,0.142662
0.397809,-0.0134923,0.142861
0.399382,-0.0138313,0.143059
0.400954,-0.0141733,0.143256
0.402526,-0.0145184,0.143453
0.404099,-0.0148666,0.143649
0.405671,-0.0152178,0.143844
0.407243,-0.015572,0.144039
0.408816,-0.0159292,0.144232
0.410388,-0.0162893,0.144425
0.411961,-0.0166525,0.144616
0.413533,-0.0170189,0.144807
0.415105,-0.0173884,0.144996
0.416678,-0.017761,0.145185
0.41825,-0.0181366,0.145373
0.419822,-0.0185152,0.145559
0.421395,-0.0188968,0.145744
0.422967,-0.0192818,0.145928
0.42454,-0.0196699,0.146111
0.426112,-0.0200611,0.146292
0.427684,-0.0204555,0.146472
0.429257,-0.0208528,0.146651
0.430829,-0.0212532,0.146828
0.432401,-0.0216569,0.147004
0.433974,-0.0220639,0.147179
0.435546,-0.022474,0.147352
0.437118,-0.0228873,0.147523
0.438691,-0.0233037,0.147693
0.440263,-0.0237231,0.147861
0.441836,-0.0241458,0.148028
0.443408,-0.0245717,0.148193
0.44498,-0.0250009,0.148356
0.446553,-0.0254333,0.148518
0.448125,-0.0258688,0.148677
0.449697,-0.0263074,0.148835
0.45127,-0.0267491,0.14899
0.452842,-0.0271941,0.149144
0.454415,-0.0276425,0.149296
0.455987,-0.028094,0.149447
0.457559,-0.0285487,0.149595
0.459132,-0.0290064,0.14974
0.460704,-0.0294672,0.149884
0.462276,-0.0299313,0.150025
0.463849,-0.0303988,0.150164
0.465421,-0.0308694,0.150302
0.466994,-0.0313432,0.150437
0.468566,-0.0318201,0.150569
0.470138,-0.0322999,0.150699
0.471711,-0.032783,0.150826
0.473283,-0.0332694,0.150952
0.474855,-0.033759,0.151075
0.476428,-0.0342518,0.151196
0.478,-0.0347476,0.151313
0.479572,-0.0352464,0.151428
0.481145,-0.0357483,0.15154
0.482717,-0.0362534,0.15165
0.48429,-0.0367617,0.151757
0.485862,-0.0372732,0.151862
0.487434,-0.0377877,0.151963
0.489007,-0.0383052,0.152062
0.490579,-0.0388255,0.152156
0.492151,-0.0393491,0.152249
0.493724,-0.0398758,0.152339
0.495296,-0.0404056,0.152426
0.496869,-0.0409383,0.152511
0.498441,-0.041474,0.152591
0.500013,-0.0420125,0.152667
0.501586,-0.042554,0.152741
0.503158,-0.0430986,0.152812
0.50473,-0.0436462,0.152881
0.506303,-0.0441968,0.152946
0.507875,-0.0447501,0.153007
0.509447,-0.0453063,0.153064
0.51102,-0.0458651,0.153116
0.512592,-0.046427,0.153167
0.514165,-0.0469918,0.153216
0.515737,-0.0475595,0.153261
0.517309,-0.0481299,0.153302
0.518882,-0.048703,0.153337
0.520454,-0.0492785,0.153366
0.522026,-0.049857,0.153394
0.523599,-0.0504382,0.15342
0.525171,-0.0510222,0.153444
0.526744,-0.0516089,0.153464
0.528316,-0.052198,0.153477
0.529888,-0.0527895,0.153483
0.531461,-0.0533836,0.153482
0.533033,-0.0539804,0.153478
0.534605,-0.0545798,0.153473
0.536178,-0.0551816,0.153466
0.53775,-0.0557859,0.153458
0.539322,-0.0563924,0.153448
0.540895,-0.0570011,0.153436
0.542467,-0.0576123,0.153415
