# 20241010_155041
q,primespecRe,primespecIm
0,3822.77,0
0.003003,3802.8,0
0.00600601,3783.6,0
0.00900901,3759.29,0
0.012012,3721.29,0
0.015015,3661.63,0
0.018018,3588.88,0
0.021021,3511.12,0
0.024024,3421.38,0
0.027027,3320.79,0
0.03003,3214.7,0
0.033033,3102.51,0
0.036036,2982.55,0
0.039039,2858.68,0
0.042042,2732.9,0
0.045045,2603.17,0
0.048048,2471.88,0
0.0510511,2341.36,0
0.0540541,2210.64,0
0.0570571,2080.67,0
0.0600601,1953.2,0
0.0630631,1828.46,0
0.0660661,1706.31,0
0.0690691,1587.91,0
0.0720721,1473.89,0
0.0750751,1363.83,0
0.0780781,1258.37,0
0.0810811,1158.03,0
0.0840841,1062.46,0
0.0870871,971.902,0
0.0900901,886.813,0
0.0930931,806.92,0
0.0960961,732.051,0
0.0990991,662.726,0
0.102102,598.907,0
0.105105,539.789,0
0.108108,485.969,0
0.111111,437.758,0
0.114114,393.9,0
0.117117,354.618,0
0.12012,320.488,0
0.123123,290.704,0
0.126126,264.351,0
0.129129,242.011,0
0.132132,223.65,0
0.135135,207.82,0
0.138138,194.505,0
0.141141,183.816,0
0.144144,175.122,0
0.147147,167.769,0
0.15015,161.379,0
0.153153,155.879,0
0.156156,151.141,0
0.159159,146.556,0
0.162162,141.723,0
0.165165,136.927,0
0.168168,131.996,0
0.171171,126.705,0
0.174174,120.952,0
0.177177,114.887,0
0.18018,108.684,0
0.183183,102.307,0
0.186186,95.7344,0
0.189189,89.2974,0
0.192192,83.1768,0
0.195195,77.1833,0
0.198198,71.5583,0
0.201201,66.5286,0
0.204204,61.9501,0
0.207207,57.7922,0
0.21021,54.1516,0
0.213213,51.0409,0
0.216216,48.3075,0
0.219219,45.8315,0
0.222222,43.5482,0
0.225225,41.5199,0
0.228228,39.5831,0
0.231231,37.5715,0
0.234234,35.5152,0
0.237237,33.4307,0
0.24024,31.2687,0
0.243243,28.9819,0
0.246246,26.5962,0
0.249249,24.2176,0
0.252252,21.9,0
0.255255,19.5714,0
0.258258,17.3821,0
0.261261,15.4555,0
0.264264,13.6845,0
0.267267,12.113,0
0.27027,10.864,0
0.273273,9.91639,0
0.276276,9.12378,0
0.279279,8.51182,0
0.282282,8.09776,0
0.285285,7.81561,0
0.288288,7.57811,0
0.291291,7.31366,0
0.294294,7.03349,0
0.297297,6.74086,0
0.3003,6.3997,0
0.303303,5.9655,0
0.306306,5.42733,0
0.309309,4.8506,0
0.312312,4.272,0
0.315315,3.64071,0
0.318318,3.05142,0
0.321321,2.57535,0
0.324324,2.12044,0
0.327327,1.74594,0
0.33033,1.5598,0
0.333333,1.55172,0
0.336336,1.55637,0
0.339339,1.56443,0
0.342342,1.58887,0
0.345345,1.72079,0
0.348348,1.89515,0
0.351351,1.9787,0
0.354354,1.97837,0
0.357357,1.97744,0
0.36036,1.97594,0
0.363363,1.92849,0
0.366366,1.7667,0
0.369369,1.58633,0
0.372372,1.45411,0
0.375375,1.32661,0
0.378378,1.22558,0
0.381381,1.18687,0
