# 20240806_163017
q,primespecRe,primespecIm
0,962366,0
0.00501002,956596,0
0.01002,949218,0
0.0150301,933400,0
0.0200401,910753,0
0.0250501,882981,0
0.0300601,849871,0
0.0350701,812428,0
0.0400802,771074,0
0.0450902,726706,0
0.0501002,679983,0
0.0551102,631756,0
0.0601202,582747,0
0.0651303,533725,0
0.0701403,485357,0
0.0751503,438271,0
0.0801603,392995,0
0.0851703,349975,0
0.0901804,309543,0
0.0951904,271954,0
0.1002,237336,0
0.10521,205764,0
0.11022,177197,0
0.11523,151574,0
0.12024,128744,0
0.125251,108560,0
0.130261,90829.7,0
0.135271,75367.3,0
0.140281,61985.6,0
0.145291,50492.2,0
0.150301,40727.6,0
0.155311,32503.5,0
0.160321,25686.1,0
0.165331,20092,0
0.170341,15599.5,0
0.175351,12032.2,0
0.180361,9267.24,0
0.185371,7150.25,0
0.190381,5553.67,0
0.195391,4364.02,0
0.200401,3464.55,0
0.205411,2786.45,0
0.210421,2251.37,0
0.215431,1820.62,0
0.220441,1464.36,0
0.225451,1161.38,0
0.230461,913.395,0
0.235471,707.694,0
0.240481,555.978,0
0.245491,444.274,0
0.250501,377.951,0
0.255511,343.604,0
0.260521,329.944,0
0.265531,332.759,0
0.270541,335.183,0
0.275551,333.867,0
0.280561,330.61,0
0.285571,315.605,0
0.290581,292.61,0
0.295591,265.293,0
0.300601,237.786,0
0.305611,212.062,0
0.310621,194.201,0
0.315631,184.039,0
0.320641,179.909,0
0.325651,186.211,0
0.330661,198.218,0
0.335671,216.47,0
0.340681,238.75,0
0.345691,261.638,0
0.350701,282.183,0
0.355711,299.369,0
0.360721,308.787,0
0.365731,310.942,0
0.370741,311.641,0
0.375752,306.862,0
0.380762,303.089,0
0.385772,305.405,0
0.390782,310.665,0
0.395792,327.287,0
0.400802,351.893,0
0.405812,381.568,0
0.410822,409.906,0
0.415832,434.126,0
0.420842,445.405,0
0.425852,441.516,0
0.430862,433.193,0
0.435872,410.681,0
0.440882,383.77,0
0.445892,357.842,0
0.450902,342.054,0
0.455912,336.611,0
0.460922,334.777,0
0.465932,343.158,0
0.470942,349.697,0
0.475952,349.562,0
0.480962,349.061,0
0.485972,334.438,0
0.490982,312.563,0
0.495992,287.269,0
0.501002,269.113,0
0.506012,260.057,0
0.511022,256.762,0
0.516032,267.952,0
0.521042,285.313,0
0.526052,305.527,0
0.531062,318.784,0
0.536072,322.644,0
0.541082,323.809,0
0.546092,313.701,0
0.551102,303.286,0
0.556112,298.202,0
0.561122,296.383,0
0.566132,308.535,0
0.571142,328.245,0
0.576152,353.255,0
0.581162,374.487,0
0.586172,388.079,0
0.591182,393.4,0
0.596192,385.292,0
0.601202,372.705,0
0.606212,355.153,0
0.611222,345.555,0
0.616232,344.539,0
0.621242,344.438,0
0.626253,355.628,0
0.631263,366.383,0
0.636273,370.302,0
0.641283,371.452,0
0.646293,357.139,0
0.651303,335.155,0
0.656313,307.66,0
0.661323,283.937,0
0.666333,265.3,0
0.671343,257.906,0
0.676353,259.854,0
0.681363,262.959,0
0.686373,267.711,0
0.691383,270.005,0
0.696393,262.354,0
0.701403,249.892,0
0.706413,231.208,0
0.711423,215.805,0
0.716433,205.593,0
0.721443,201.88,0
