# 20241120_113215
q,primespecRe,primespecIm
0,9027.7,0
0.003003,8968.53,0
0.00600601,8911.74,0
0.00900901,8839.83,0
0.012012,8727.51,0
0.015015,8551.4,0
0.018018,8337.12,0
0.021021,8108.63,0
0.024024,7845.55,0
0.027027,7551.69,0
0.03003,7243.03,0
0.033033,6917.99,0
0.036036,6572.26,0
0.039039,6217.53,0
0.042042,5859.81,0
0.045045,5493.62,0
0.048048,5126.62,0
0.0510511,4765.77,0
0.0540541,4408.36,0
0.0570571,4057.9,0
0.0600601,3719.97,0
0.0630631,3394.92,0
0.0660661,3082.63,0
0.0690691,2787.19,0
0.0720721,2510.15,0
0.0750751,2249.42,0
0.0780781,2007.59,0
0.0810811,1786.24,0
0.0840841,1582.52,0
0.0870871,1397.21,0
0.0900901,1231.63,0
0.0930931,1083.53,0
0.0960961,951.045,0
0.0990991,835.355,0
0.102102,735.523,0
0.105105,647.744,0
0.108108,572.368,0
0.111111,509.298,0
0.114114,455.411,0
0.117117,409.399,0
0.12012,370.96,0
0.123123,339.017,0
0.126126,311.785,0
0.129129,288.322,0
0.132132,267.999,0
0.135135,250.482,0
0.138138,234.799,0
0.141141,220.138,0
0.144144,206.618,0
0.147147,194.08,0
0.15015,182.121,0
0.153153,170.55,0
0.156156,159.52,0
0.159159,149.125,0
0.162162,139.375,0
0.165165,130.12,0
0.168168,121.549,0
0.171171,113.825,0
0.174174,106.806,0
0.177177,100.402,0
0.18018,94.6243,0
0.183183,89.4893,0
0.186186,84.8696,0
0.189189,80.5372,0
0.192192,76.3638,0
0.195195,72.4755,0
0.198198,68.6844,0
0.201201,64.7974,0
0.204204,60.8339,0
0.207207,56.8471,0
0.21021,52.838,0
0.213213,48.7595,0
0.216216,44.6445,0
0.219219,40.6819,0
0.222222,36.9579,0
0.225225,33.3427,0
0.228228,30.042,0
0.231231,27.2245,0
0.234234,24.729,0
0.237237,22.5484,0
0.24024,20.798,0
0.243243,19.467,0
0.246246,18.3732,0
0.249249,17.4523,0
0.252252,16.6701,0
0.255255,16.0449,0
0.258258,15.4628,0
0.261261,14.8069,0
0.264264,14.0715,0
0.267267,13.2823,0
0.27027,12.4318,0
0.273273,11.4869,0
0.276276,10.4447,0
0.279279,9.40495,0
0.282282,8.42123,0
0.285285,7.43226,0
0.288288,6.53503,0
0.291291,5.80931,0
0.294294,5.19067,0
0.297297,4.66694,0
0.3003,4.2862,0
0.303303,4.04995,0
0.306306,3.87824,0
0.309309,3.73276,0
0.312312,3.5894,0
0.315315,3.46867,0
0.318318,3.34599,0
0.321321,3.18946,0
0.324324,2.96594,0
0.327327,2.69086,0
0.33033,2.39822,0
0.333333,2.08818,0
0.336336,1.74994,0
0.339339,1.44472,0
0.342342,1.19372,0
0.345345,0.94819,0
0.348348,0.76952,0
0.351351,0.694492,0
0.354354,0.675428,0
0.357357,0.662552,0
0.36036,0.656592,0
0.363363,0.668296,0
0.366366,0.710624,0
0.369369,0.753833,0
0.372372,0.762064,0
0.375375,0.737284,0
0.378378,0.694934,0
0.381381,0.646407,0
0.384384,0.568027,0
0.387387,0.473754,0
0.39039,0.403014,0
0.393393,0.363609,0
0.396396,0.33169,0
0.399399,0.311636,0
0.402402,0.310731,0
0.405405,0.34872,0
0.408408,0.41535,0
0.411411,0.481823,0
0.414414,0.542373,0
0.417417,0.606558,0
0.42042,0.647958,0
0.423423,0.647525,0
0.426426,0.630605,0
0.429429,0.604653,0
0.432432,0.571343,0
0.435435,0.50412,0
0.438438,0.428954,0
0.441441,0.373687,0
0.444444,0.333448,0
0.447447,0.299532,0
0.45045,0.280948,0
0.453453,0.285407,0
0.456456,0.312672,0
0.459459,0.350668,0
0.462462,0.383247,0
0.465465,0.417489,0
0.468468,0.449586,0
0.471471,0.464614,0
0.474474,0.454675,0
0.477477,0.429185,0
0.48048,0.397087,0
0.483483,0.356238,0
0.486486,0.295072,0
0.489489,0.245754,0
0.492492,0.225144,0
0.495495,0.215665,0
0.498498,0.20928,0
0.501502,0.206778,0
0.504505,0.224241,0
0.507508,0.272423,0
