# 20241120_114225
# primespec:	data/spectra_real_sigmamasses_consteps_20241119_171318/spec_20241119_232938/spectr.txt
# qmax:	3
# ma:	0.956
# mb:	0.28
# mc:	0.28
# B:	1
# Q:	1
# [DEBUG] pabc:	0.387407
# [DEBUG] Eabc:	0.478
p,finalspecRe,finalspecIm
0,62.3964,0
0.0100503,62.3902,0
0.0201005,62.4973,0
0.0301508,62.7136,0
0.040201,62.9727,0
0.0502513,63.2954,0
0.0603015,63.72,0
0.0703518,64.1915,0
0.080402,64.6694,0
0.0904523,65.2161,0
0.100503,65.8358,0
0.110553,66.4669,0
0.120603,67.0228,0
0.130653,67.5271,0
0.140704,68.0631,0
0.150754,68.5352,0
0.160804,68.8981,0
0.170854,69.1862,0
0.180905,69.2424,0
0.190955,69.2391,0
0.201005,69.0303,0
0.211055,68.8408,0
0.221106,68.5384,0
0.231156,68.3624,0
0.241206,68.2103,0
0.251256,68.2846,0
0.261307,68.5966,0
0.271357,69.2708,0
0.281407,70.478,0
0.291457,72.2044,0
0.301508,74.5833,0
0.311558,77.7567,0
0.321608,82.1116,0
0.331658,88.3056,0
0.341709,96.0664,0
0.351759,103.351,0
0.361809,107.156,0
0.371859,104.983,0
0.38191,96.0207,0
0.39196,81.56,0
0.40201,64.2612,0
0.41206,47.5205,0
0.422111,33.753,0
0.432161,23.9852,0
0.442211,18.0816,0
0.452261,14.9651,0
0.462312,13.3917,0
0.472362,12.4615,0
0.482412,11.7734,0
0.492462,11.2351,0
0.502513,10.812,0
0.512563,10.4522,0
0.522613,10.1321,0
0.532663,9.84781,0
0.542714,9.56983,0
0.552764,9.26639,0
0.562814,8.9358,0
0.572864,8.60368,0
0.582915,8.26892,0
0.592965,7.90937,0
0.603015,7.53042,0
0.613065,7.1633,0
0.623116,6.80728,0
0.633166,6.43956,0
0.643216,6.06159,0
0.653266,5.6986,0
0.663317,5.35957,0
0.673367,5.02238,0
0.683417,4.68264,0
0.693467,4.35791,0
0.703518,4.06351,0
0.713568,3.78048,0
0.723618,3.49903,0
0.733668,3.23309,0
0.743719,2.99651,0
0.753769,2.77883,0
0.763819,2.56613,0
0.773869,2.36538,0
0.78392,2.19016,0
0.79397,2.03275,0
0.80402,1.87958,0
0.81407,1.73384,0
0.824121,1.60536,0
0.834171,1.49035,0
0.844221,1.37832,0
0.854271,1.26837,0
0.864322,1.16984,0
0.874372,1.08289,0
0.884422,0.998946,0
0.894472,0.916627,0
0.904523,0.842248,0
0.914573,0.779185,0
0.924623,0.720499,0
0.934673,0.662893,0
0.944724,0.611149,0
0.954774,0.568106,0
0.964824,0.528015,0
0.974874,0.488225,0
0.984925,0.45116,0
0.994975,0.419638,0
1.00503,0.389985,0
1.01508,0.359818,0
1.02513,0.330735,0
1.03518,0.306039,0
1.04523,0.284482,0
1.05528,0.262513,0
1.06533,0.24125,0
1.07538,0.224131,0
1.08543,0.20952,0
1.09548,0.194984,0
1.10553,0.18093,0
1.11558,0.168795,0
1.12563,0.158343,0
1.13568,0.147784,0
1.14573,0.136263,0
1.15578,0.126503,0
1.16583,0.118091,0
1.17588,0.10989,0
1.18593,0.101495,0
1.19598,0.0938459,0
1.20603,0.0881935,0
1.21608,0.0828422,0
1.22613,0.076975,0
1.23618,0.07186,0
1.24623,0.0679678,0
1.25628,0.0640244,0
1.26633,0.0599274,0
1.27638,0.0552687,0
1.28643,0.0520671,0
1.29648,0.0488504,0
1.30653,0.0451615,0
1.31658,0.0417776,0
1.32663,0.0395132,0
1.33668,0.0374191,0
1.34673,0.0350476,0
1.35678,0.0326828,0
1.36683,0.0311135,0
1.37688,0.0295145,0
1.38693,0.0278442,0
1.39698,0.0259087,0
1.40704,0.0243426,0
1.41709,0.0229319,0
1.42714,0.021561,0
1.43719,0.0198464,0
1.44724,0.0187755,0
1.45729,0.0180631,0
1.46734,0.0169075,0
1.47739,0.0158435,0
1.48744,0.0151011,0
1.49749,0.0145498,0
1.50754,0.0138271,0
1.51759,0.0128998,0
1.52764,0.0121223,0
1.53769,0.0114454,0
1.54774,0.010902,0
1.55779,0.0100993,0
1.56784,0.00943861,0
1.57789,0.00901011,0
1.58794,0.00877363,0
1.59799,0.00829307,0
1.60804,0.00782808,0
1.61809,0.00753693,0
1.62814,0.00731197,0
1.63819,0.00683872,0
1.64824,0.00644053,0
1.65829,0.00611699,0
1.66834,0.005804,0
1.67839,0.00545131,0
1.68844,0.00514178,0
1.69849,0.0048159,0
1.70854,0.00478859,0
1.71859,0.00455289,0
1.72864,0.00433178,0
1.73869,0.00418197,0
1.74874,0.00406771,0
1.75879,0.00394635,0
1.76884,0.00363519,0
1.77889,0.00340081,0
1.78894,0.00328567,0
1.79899,0.00309666,0
1.80905,0.00287895,0
1.8191,0.00273655,0
1.82915,0.00280603,0
1.8392,0.00258981,0
1.84925,0.00258275,0
1.8593,0.00242006,0
1.86935,0.0024756,0
1.8794,0.00232288,0
1.88945,0.002258,0
1.8995,0.00204503,0
1.90955,0.00198555,0
1.9196,0.00190631,0
1.92965,0.00176513,0
1.9397,0.00164535,0
1.94975,0.00163542,0
1.9598,0.00158034,0
1.96985,0.00154057,0
1.9799,0.00141503,0
1.98995,0.00134923,0
2,0.0013625,0
