# 20241209_165456
# primespec:	data/spectra_real_sigma_constfield_20240912/spec_20241209_161103/spectr.txt
# qmax:	5
# ma:	0.3413
# mb:	0.14
# mc:	0.14
# B:	1
# Q:	1
# [DEBUG] pabc:	0.0975778
# [DEBUG] Eabc:	0.17065
p,finalspecRe,finalspecIm
0,inf,0
0.0100503,4039.42,0
0.0201005,4091.66,0
0.0301508,4138.15,0
0.040201,4221.75,0
0.0502513,4371.45,0
0.0603015,4496.38,0
0.0703518,4528.63,0
0.080402,4364.82,0
0.0904523,3903.42,0
0.100503,3193.32,0
0.110553,2401.28,0
0.120603,1710.26,0
0.130653,1196.27,0
0.140704,842.964,0
0.150754,605.958,0
0.160804,451.833,0
0.170854,355.037,0
0.180905,287.319,0
0.190955,230.623,0
0.201005,184.122,0
0.211055,150.691,0
0.221106,125.684,0
0.231156,104.046,0
0.241206,86.2496,0
0.251256,73.5066,0
0.261307,63.2198,0
0.271357,53.4158,0
0.281407,45.0824,0
0.291457,38.9069,0
0.301508,33.4029,0
0.311558,28.1158,0
0.321608,23.9979,0
0.331658,21.0438,0
0.341709,18.3711,0
0.351759,15.9275,0
0.361809,14.1663,0
0.371859,12.7884,0
0.38191,11.2978,0
0.39196,9.93774,0
0.40201,8.91612,0
0.41206,7.93622,0
0.422111,6.89837,0
0.432161,6.0817,0
0.442211,5.51982,0
0.452261,4.98163,0
0.462312,4.4672,0
0.472362,4.11459,0
0.482412,3.82077,0
0.492462,3.45424,0
0.502513,3.11238,0
0.512563,2.85456,0
0.522613,2.58962,0
0.532663,2.29676,0
0.542714,2.08176,0
0.552764,1.94354,0
0.562814,1.79921,0
0.572864,1.65744,0
0.582915,1.56551,0
0.592965,1.47243,0
0.603015,1.3429,0
0.613065,1.22402,0
0.623116,1.13953,0
0.633166,1.04763,0
0.643216,0.947818,0
0.653266,0.882977,0
0.663317,0.844796,0
0.673367,0.79566,0
0.683417,0.747259,0
0.693467,0.714626,0
0.703518,0.673698,0
0.713568,0.61409,0
0.723618,0.565668,0
0.733668,0.534176,0
0.743719,0.500513,0
0.753769,0.465053,0
0.763819,0.446295,0
0.773869,0.433066,0
0.78392,0.410404,0
0.79397,0.389324,0
0.80402,0.372951,0
0.81407,0.350304,0
0.824121,0.319927,0
0.834171,0.298585,0
0.844221,0.287394,0
0.854271,0.274312,0
0.864322,0.261218,0
0.874372,0.255486,0
0.884422,0.247939,0
0.894472,0.234278,0
0.904523,0.22214,0
0.914573,0.213414,0
0.924623,0.2014,0
0.934673,0.18645,0
0.944724,0.177905,0
0.954774,0.174549,0
0.964824,0.16859,0
0.974874,0.163528,0
0.984925,0.160656,0
0.994975,0.154604,0
1.00503,0.144626,0
1.01508,0.136966,0
1.02513,0.132567,0
1.03518,0.126673,0
1.04523,0.120104,0
1.05528,0.117065,0
1.06533,0.116064,0
1.07538,0.11244,0
1.08543,0.109258,0
1.09548,0.106721,0
1.10553,0.102096,0
1.11558,0.0945847,0
1.12563,0.0906461,0
1.13568,0.0883008,0
1.14573,0.0857295,0
1.15578,0.0832983,0
1.16583,0.0817598,0
1.17588,0.0801322,0
1.18593,0.0771678,0
1.19598,0.0745934,0
1.20603,0.0728433,0
1.21608,0.0697146,0
1.22613,0.0657544,0
1.23618,0.0636072,0
1.24623,0.0629876,0
1.25628,0.061827,0
1.26633,0.0605203,0
1.27638,0.0597427,0
1.28643,0.0577657,0
1.29648,0.0548022,0
1.30653,0.0530045,0
1.31658,0.0517169,0
1.32663,0.0499243,0
1.33668,0.0479875,0
1.34673,0.0473942,0
1.35678,0.0467905,0
1.36683,0.0457499,0
1.37688,0.0448666,0
1.38693,0.0443216,0
1.39698,0.0423679,0
1.40704,0.0406637,0
1.41709,0.038973,0
1.42714,0.0384412,0
1.43719,0.0378669,0
1.44724,0.0371445,0
1.45729,0.0367219,0
1.46734,0.0358636,0
1.47739,0.0348099,0
1.48744,0.0339595,0
1.49749,0.033389,0
1.50754,0.0323839,0
1.51759,0.0309047,0
1.52764,0.0302633,0
1.53769,0.0299682,0
1.54774,0.0294189,0
1.55779,0.0291776,0
1.56784,0.0289863,0
1.57789,0.0281957,0
1.58794,0.0269934,0
1.59799,0.0263388,0
1.60804,0.0255753,0
1.61809,0.0253039,0
1.62814,0.0243034,0
1.63819,0.0240833,0
1.64824,0.0237327,0
1.65829,0.0233176,0
1.66834,0.0232316,0
1.67839,0.0230908,0
1.68844,0.0221084,0
1.69849,0.0211557,0
1.70854,0.0207645,0
1.71859,0.0204647,0
1.72864,0.0201625,0
1.73869,0.019856,0
1.74874,0.0197132,0
1.75879,0.0191318,0
1.76884,0.0187779,0
1.77889,0.0181631,0
1.78894,0.017849,0
1.79899,0.0174199,0
1.80905,0.0170382,0
1.8191,0.0167214,0
1.82915,0.0167588,0
1.8392,0.0165137,0
1.84925,0.0164614,0
1.8593,0.0163623,0
1.86935,0.0158262,0
1.8794,0.0152282,0
1.88945,0.014758,0
1.8995,0.014694,0
1.90955,0.0145187,0
1.9196,0.0140994,0
1.92965,0.0139953,0
1.9397,0.0136493,0
1.94975,0.0135672,0
1.9598,0.0134453,0
1.96985,0.0133177,0
1.9799,0.0127732,0
1.98995,0.0121881,0
2,0.012055,0
