# 20241209_185541
q,primespecRe,primespecIm
0,6714.3,0
0.00500501,6692,0
0.01001,6663.52,0
0.015015,6602.53,0
0.02002,6514.78,0
0.025025,6407.1,0
0.03003,6277.89,0
0.035035,6131.01,0
0.04004,5966.98,0
0.045045,5788.95,0
0.0500501,5597.96,0
0.0550551,5396.65,0
0.0600601,5186.15,0
0.0650651,4968.59,0
0.0700701,4745.04,0
0.0750751,4517.18,0
0.0800801,4286.16,0
0.0850851,4053.39,0
0.0900901,3820.24,0
0.0950951,3588.02,0
0.1001,3358.45,0
0.105105,3132.96,0
0.11011,2913.56,0
0.115115,2701.71,0
0.12012,2499.49,0
0.125125,2308.31,0
0.13013,2129.87,0
0.135135,1965.21,0
0.14014,1815.23,0
0.145145,1680.46,0
0.15015,1560.57,0
0.155155,1455.47,0
0.16016,1363.6,0
0.165165,1284.32,0
0.17017,1215.21,0
0.175175,1155.19,0
0.18018,1101.88,0
0.185185,1053.83,0
0.19019,1009.53,0
0.195195,967.544,0
0.2002,927.454,0
0.205205,888.335,0
0.21021,850.588,0
0.215215,814.063,0
0.22022,779.472,0
0.225225,747.226,0
0.23023,717.833,0
0.235235,691.818,0
0.24024,669.043,0
0.245245,649.806,0
0.25025,633.196,0
0.255255,619.058,0
0.26026,606.231,0
0.265265,593.944,0
0.27027,581.589,0
0.275275,568.076,0
0.28028,553.459,0
0.285285,537.166,0
0.29029,519.673,0
0.295295,501.264,0
0.3003,482.66,0
0.305305,464.644,0
0.31031,447.85,0
0.315315,433.06,0
0.32032,420.347,0
0.325325,410.185,0
0.33033,401.834,0
0.335335,395.298,0
0.34034,389.545,0
0.345345,383.909,0
0.35035,378.008,0
0.355355,370.839,0
0.36036,362.538,0
0.365365,352.795,0
0.37037,342.02,0
0.375375,330.71,0
0.38038,319.447,0
0.385385,309.007,0
0.39039,299.772,0
0.395395,292.358,0
0.4004,286.473,0
0.405405,282.39,0
0.41041,279.144,0
0.415415,276.437,0
0.42042,273.746,0
0.425425,270.131,0
0.43043,265.616,0
0.435435,259.719,0
0.44044,252.664,0
0.445445,244.856,0
0.45045,236.743,0
0.455455,229.073,0
0.46046,222.242,0
0.465465,216.868,0
0.47047,212.782,0
0.475475,210.309,0
0.48048,208.516,0
0.485485,207.215,0
0.49049,205.944,0
0.495495,203.828,0
0.500501,200.86,0
0.505506,196.692,0
0.510511,191.447,0
0.515516,185.618,0
0.520521,179.575,0
0.525526,174.037,0
0.530531,169.309,0
0.535536,165.924,0
0.540541,163.591,0
0.545546,162.581,0
0.550551,161.888,0
0.555556,161.243,0
0.560561,160.499,0
0.565566,158.798,0
0.570571,156.06,0
0.575576,152.392,0
0.580581,147.896,0
0.585586,143.215,0
0.590591,138.693,0
0.595596,134.964,0
0.600601,132.146,0
0.605606,130.632,0
0.610611,129.787,0
0.615616,129.671,0
0.620621,129.592,0
0.625626,129.075,0
0.630631,127.907,0
0.635636,125.829,0
0.640641,122.706,0
0.645646,119.073,0
0.650651,115.13,0
0.655656,111.543,0
0.660661,108.548,0
0.665666,106.61,0
0.670671,105.443,0
0.675676,105.287,0
0.680681,105.194,0
0.685686,104.952,0
0.690691,104.486,0
0.695696,103.204,0
0.700701,100.899,0
0.705706,97.9928,0
0.710711,94.56,0
0.715716,91.2425,0
0.720721,88.281,0
0.725726,86.1808,0
0.730731,84.7974,0
0.735736,84.4416,0
0.740741,84.2377,0
0.745746,84.0375,0
0.750751,83.7942,0
0.755756,82.8685,0
0.760761,81.0567,0
0.765766,78.674,0
0.770771,75.7501,0
0.775776,72.8749,0
0.780781,70.2728,0
0.785786,68.4196,0
0.790791,67.2335,0
0.795796,67.0469,0
0.800801,66.9689,0
0.805806,66.9433,0
0.810811,66.9229,0
0.815816,66.3613,0
0.820821,64.946,0
0.825826,63.0813,0
0.830831,60.752,0
0.835836,58.5074,0
0.840841,56.5574,0
0.845846,55.3969,0
0.850851,54.7252,0
0.855856,54.8681,0
0.860861,55.222,0
0.865866,55.489,0
0.870871,55.6756,0
0.875876,55.2719,0
0.880881,54.162,0
0.885886,52.6599,0
0.890891,50.7837,0
0.895896,49.069,0
0.900901,47.6988,0
0.905906,47.1861,0
0.910911,46.9319,0
0.915916,47.2296,0
0.920921,47.8037,0
0.925926,47.9586,0
0.930931,48.029,0
0.935936,47.5436,0
0.940941,46.2508,0
0.945946,44.7186,0
0.950951,42.9732,0
0.955956,41.5028,0
0.960961,40.4193,0
0.965966,40.1656,0
0.970971,40.0578,0
0.975976,40.2628,0
0.980981,40.6271,0
0.985986,40.5104,0
0.990991,40.0835,0
0.995996,39.1731,0
1.001,37.6535,0
1.00601,36.0556,0
1.01101,34.4863,0
1.01602,33.373,0
1.02102,32.6558,0
1.02603,32.6675,0
1.03103,32.7781,0
1.03604,32.9516,0
1.04104,33.1303,0
1.04605,32.8824,0
1.05105,32.1335,0
1.05606,31.0771,0
1.06106,29.711,0
1.06607,28.4689,0
1.07107,27.4901,0
1.07608,27.2419,0
1.08108,27.1343,0
1.08609,27.3944,0
1.09109,27.9412,0
1.0961,28.1011,0
1.1011,28.1748,0
1.10611,27.8528,0
1.11111,26.9599,0
1.11612,25.9666,0
1.12112,24.9324,0
1.12613,24.2981,0
1.13113,23.9045,0
1.13614,24.0248,0
1.14114,24.4007,0
1.14615,24.8068,0
1.15115,25.1683,0
1.15616,25.0566,0
1.16116,24.6345,0
1.16617,23.8996,0
1.17117,22.8169,0
1.17618,21.8328,0
1.18118,21.0302,0
1.18619,20.8037,0
1.19119,20.7021,0
1.1962,20.8742,0
1.2012,21.2243,0
1.20621,21.2154,0
1.21121,21.0969,0
1.21622,20.6611,0
1.22122,19.7368,0
1.22623,18.7716,0
1.23123,17.8224,0
1.23624,17.2676,0
1.24124,16.9277,0
1.24625,17.0159,0
1.25125,17.3012,0
1.25626,17.5432,0
1.26126,17.7364,0
1.26627,17.5993,0
1.27127,17.1305,0
1.27628,16.4884,0
1.28128,15.6965,0
1.28629,15.1325,0
1.29129,14.7449,0
1.2963,14.8039,0
1.3013,15.0632,0
1.30631,15.4448,0
1.31131,15.8655,0
1.31632,15.8688,0
1.32132,15.7688,0
1.32633,15.4222,0
1.33133,14.7137,0
1.33634,14.0585,0
1.34134,13.5177,0
1.34635,13.4609,0
1.35135,13.4498,0
1.35636,13.6238,0
1.36136,14.0074,0
1.36637,14.0363,0
1.37137,14.0284,0
1.37638,13.7934,0
1.38138,13.1144,0
1.38639,12.4213,0
1.39139,11.7377,0
1.3964,11.3843,0
1.4014,11.1765,0
1.40641,11.2567,0
1.41141,11.5078,0
1.41642,11.6528,0
1.42142,11.7469,0
1.42643,11.6153,0
1.43143,11.1701,0
1.43644,10.6372,0
1.44144,10.0444,0
1.44645,9.71178,0
1.45145,9.50657,0
1.45646,9.58771,0
1.46146,9.88473,0
1.46647,10.1827,0
1.47147,10.456,0
1.47648,10.4267,0
1.48148,10.2381,0
1.48649,9.89836,0
1.49149,9.39028,0
1.4965,9.03827,0
1.5015,8.79115,0
1.50651,8.83273,0
1.51151,9.03499,0
1.51652,9.29035,0
1.52152,9.56307,0
1.52653,9.54975,0
1.53153,9.40344,0
1.53654,9.09187,0
1.54154,8.54992,0
1.54655,8.07472,0
1.55155,7.69023,0
1.55656,7.66411,0
1.56156,7.6859,0
1.56657,7.80577,0
1.57157,8.04597,0
1.57658,8.04962,0
1.58158,7.96232,0
1.58659,7.72907,0
1.59159,7.26486,0
1.5966,6.8421,0
1.6016,6.4876,0
1.60661,6.46629,0
1.61161,6.50642,0
1.61662,6.65897,0
1.62162,6.96927,0
1.62663,7.07257,0
1.63163,7.11794,0
1.63664,7.01762,0
1.64164,6.67657,0
1.64665,6.34055,0
1.65165,6.03526,0
1.65666,6.01411,0
1.66166,6.04604,0
1.66667,6.18102,0
1.67167,6.47378,0
1.67668,6.5809,0
1.68168,6.63064,0
1.68669,6.53466,0
1.69169,6.18836,0
1.6967,5.82417,0
1.7017,5.45931,0
1.70671,5.32812,0
1.71171,5.26535,0
