# 20241125_220234
# primespec:	data/spectra_real_sigma_constfield/spec_20241125_163236/spectr.txt
# qmax:	5
# ma:	0.451
# mb:	0.28
# mc:	0.28
# B:	1
# Q:	1
# [DEBUG] pabc:	-nan
# [DEBUG] Eabc:	-nan
p,finalspecRe,finalspecIm
0,-nan,0
0.0100503,-nan,0
0.0201005,-nan,0
0.0301508,-nan,0
0.040201,-nan,0
0.0502513,-nan,0
0.0603015,-nan,0
0.0703518,-nan,0
0.080402,-nan,0
0.0904523,-nan,0
0.100503,-nan,0
0.110553,-nan,0
0.120603,-nan,0
0.130653,-nan,0
0.140704,-nan,0
0.150754,-nan,0
0.160804,-nan,0
0.170854,-nan,0
0.180905,-nan,0
0.190955,-nan,0
0.201005,-nan,0
0.211055,-nan,0
0.221106,-nan,0
0.231156,-nan,0
0.241206,-nan,0
0.251256,-nan,0
0.261307,-nan,0
0.271357,-nan,0
0.281407,-nan,0
0.291457,-nan,0
0.301508,-nan,0
0.311558,-nan,0
0.321608,-nan,0
0.331658,-nan,0
0.341709,-nan,0
0.351759,-nan,0
0.361809,-nan,0
0.371859,-nan,0
0.38191,-nan,0
0.39196,-nan,0
0.40201,-nan,0
0.41206,-nan,0
0.422111,-nan,0
0.432161,-nan,0
0.442211,-nan,0
0.452261,-nan,0
0.462312,-nan,0
0.472362,-nan,0
0.482412,-nan,0
0.492462,-nan,0
0.502513,-nan,0
0.512563,-nan,0
0.522613,-nan,0
0.532663,-nan,0
0.542714,-nan,0
0.552764,-nan,0
0.562814,-nan,0
0.572864,-nan,0
0.582915,-nan,0
0.592965,-nan,0
0.603015,-nan,0
0.613065,-nan,0
0.623116,-nan,0
0.633166,-nan,0
0.643216,-nan,0
0.653266,-nan,0
0.663317,-nan,0
0.673367,-nan,0
0.683417,-nan,0
0.693467,-nan,0
0.703518,-nan,0
0.713568,-nan,0
0.723618,-nan,0
0.733668,-nan,0
0.743719,-nan,0
0.753769,-nan,0
0.763819,-nan,0
0.773869,-nan,0
0.78392,-nan,0
0.79397,-nan,0
0.80402,-nan,0
0.81407,-nan,0
0.824121,-nan,0
0.834171,-nan,0
0.844221,-nan,0
0.854271,-nan,0
0.864322,-nan,0
0.874372,-nan,0
0.884422,-nan,0
0.894472,-nan,0
0.904523,-nan,0
0.914573,-nan,0
0.924623,-nan,0
0.934673,-nan,0
0.944724,-nan,0
0.954774,-nan,0
0.964824,-nan,0
0.974874,-nan,0
0.984925,-nan,0
0.994975,-nan,0
1.00503,-nan,0
1.01508,-nan,0
1.02513,-nan,0
1.03518,-nan,0
1.04523,-nan,0
1.05528,-nan,0
1.06533,-nan,0
1.07538,-nan,0
1.08543,-nan,0
1.09548,-nan,0
1.10553,-nan,0
1.11558,-nan,0
1.12563,-nan,0
1.13568,-nan,0
1.14573,-nan,0
1.15578,-nan,0
1.16583,-nan,0
1.17588,-nan,0
1.18593,-nan,0
1.19598,-nan,0
1.20603,-nan,0
1.21608,-nan,0
1.22613,-nan,0
1.23618,-nan,0
1.24623,-nan,0
1.25628,-nan,0
1.26633,-nan,0
1.27638,-nan,0
1.28643,-nan,0
1.29648,-nan,0
1.30653,-nan,0
1.31658,-nan,0
1.32663,-nan,0
1.33668,-nan,0
1.34673,-nan,0
1.35678,-nan,0
1.36683,-nan,0
1.37688,-nan,0
1.38693,-nan,0
1.39698,-nan,0
1.40704,-nan,0
1.41709,-nan,0
1.42714,-nan,0
1.43719,-nan,0
1.44724,-nan,0
1.45729,-nan,0
1.46734,-nan,0
1.47739,-nan,0
1.48744,-nan,0
1.49749,-nan,0
1.50754,-nan,0
1.51759,-nan,0
1.52764,-nan,0
1.53769,-nan,0
1.54774,-nan,0
1.55779,-nan,0
1.56784,-nan,0
1.57789,-nan,0
1.58794,-nan,0
1.59799,-nan,0
1.60804,-nan,0
1.61809,-nan,0
1.62814,-nan,0
1.63819,-nan,0
1.64824,-nan,0
1.65829,-nan,0
1.66834,-nan,0
1.67839,-nan,0
1.68844,-nan,0
1.69849,-nan,0
1.70854,-nan,0
1.71859,-nan,0
1.72864,-nan,0
1.73869,-nan,0
1.74874,-nan,0
1.75879,-nan,0
1.76884,-nan,0
1.77889,-nan,0
1.78894,-nan,0
1.79899,-nan,0
1.80905,-nan,0
1.8191,-nan,0
1.82915,-nan,0
1.8392,-nan,0
1.84925,-nan,0
1.8593,-nan,0
1.86935,-nan,0
1.8794,-nan,0
1.88945,-nan,0
1.8995,-nan,0
1.90955,-nan,0
1.9196,-nan,0
1.92965,-nan,0
1.9397,-nan,0
1.94975,-nan,0
1.9598,-nan,0
1.96985,-nan,0
1.9799,-nan,0
1.98995,-nan,0
2,-nan,0
