# 20241125_220239
q,primespecRe,primespecIm
0,8998.51,0
0.00500501,8931.48,0
0.01001,8846.07,0
0.015015,8663.72,0
0.02002,8403.39,0
0.025025,8086.84,0
0.03003,7712.56,0
0.035035,7294.62,0
0.04004,6839.73,0
0.045045,6360.81,0
0.0500501,5867.72,0
0.0550551,5372.37,0
0.0600601,4884.98,0
0.0650651,4415.27,0
0.0700701,3971.36,0
0.0750751,3559.7,0
0.0800801,3184.21,0
0.0850851,2847.7,0
0.0900901,2548.97,0
0.0950951,2287.63,0
0.1001,2058.42,0
0.105105,1858.75,0
0.11011,1682.28,0
0.115115,1525.23,0
0.12012,1383.54,0
0.125125,1253.57,0
0.13013,1134.91,0
0.135135,1025.43,0
0.14014,927.306,0
0.145145,840.124,0
0.15015,766.275,0
0.155155,705.986,0
0.16016,659.177,0
0.165165,625.92,0
0.17017,601.945,0
0.175175,586.905,0
0.18018,574.725,0
0.185185,562.982,0
0.19019,550.096,0
0.195195,531.713,0
0.2002,508.789,0
0.205205,480.822,0
0.21021,449.954,0
0.215215,418.529,0
0.22022,389.213,0
0.225225,364.369,0
0.23023,344.916,0
0.235235,332.136,0
0.24024,323.181,0
0.245245,318.025,0
0.25025,313.43,0
0.255255,306.921,0
0.26026,298.393,0
0.265265,285.518,0
0.27027,269.291,0
0.275275,250.92,0
0.28028,232.301,0
0.285285,215.522,0
0.29029,202.034,0
0.295295,193.138,0
0.3003,187.471,0
0.305305,185.388,0
0.31031,183.734,0
0.315315,181.129,0
0.32032,177.371,0
0.325325,170.237,0
0.33033,160.194,0
0.335335,148.357,0
0.34034,136.049,0
0.345345,125.023,0
0.35035,116.42,0
0.355355,111.249,0
0.36036,108.325,0
0.365365,107.822,0
0.37037,107.428,0
0.375375,106.042,0
0.38038,103.43,0
0.385385,98.5064,0
0.39039,91.6189,0
0.395395,84.0302,0
0.4004,76.8812,0
0.405405,71.2419,0
0.41041,67.9572,0
0.415415,67.8279,0
0.42042,67.7878,0
0.425425,68.6225,0
0.43043,69.7059,0
0.435435,68.8147,0
0.44044,66.6049,0
