# 20241125_220941
# primespec:	data/spectra_real_sigma_constfield/spec_20241125_165806/spectr.txt
# qmax:	5
# ma:	0.782
# mb:	0.28
# mc:	0.28
# B:	1
# Q:	1
# [DEBUG] pabc:	0.272912
# [DEBUG] Eabc:	0.391
p,finalspecRe,finalspecIm
0,inf,0
0.0100503,1187.97,0
0.0201005,1187.72,0
0.0301508,1190.02,0
0.040201,1194.5,0
0.0502513,1199.03,0
0.0603015,1205.14,0
0.0703518,1211.27,0
0.080402,1218.17,0
0.0904523,1225.84,0
0.100503,1234.53,0
0.110553,1244.84,0
0.120603,1255.96,0
0.130653,1267.9,0
0.140704,1281.76,0
0.150754,1294.54,0
0.160804,1310.34,0
0.170854,1325.58,0
0.180905,1340.53,0
0.190955,1359.79,0
0.201005,1382.53,0
0.211055,1408.81,0
0.221106,1439.09,0
0.231156,1463.38,0
0.241206,1461.79,0
0.251256,1419.62,0
0.261307,1332.87,0
0.271357,1209.18,0
0.281407,1059.87,0
0.291457,900.803,0
0.301508,748.323,0
0.311558,614.784,0
0.321608,507.616,0
0.331658,427.369,0
0.341709,368.065,0
0.351759,322.085,0
0.361809,284.297,0
0.371859,252.723,0
0.38191,226.386,0
0.39196,203.33,0
0.40201,182.365,0
0.41206,163.623,0
0.422111,147.627,0
0.432161,133.899,0
0.442211,121.405,0
0.452261,110.008,0
0.462312,100.074,0
0.472362,91.5565,0
0.482412,83.7508,0
0.492462,76.492,0
0.502513,70.1141,0
0.512563,64.5925,0
0.522613,59.5284,0
0.532663,54.685,0
0.542714,50.3914,0
0.552764,46.624,0
0.562814,43.1129,0
0.572864,39.7392,0
0.582915,36.6774,0
0.592965,34.0137,0
0.603015,31.5202,0
0.613065,29.105,0
0.623116,26.9486,0
0.633166,25.0929,0
0.643216,23.3737,0
0.653266,21.7024,0
0.663317,20.2279,0
0.673367,18.9519,0
0.683417,17.7536,0
0.693467,16.5667,0
0.703518,15.5006,0
0.713568,14.5671,0
0.723618,13.6528,0
0.733668,12.7411,0
0.743719,11.9288,0
0.753769,11.2197,0
0.763819,10.5322,0
0.773869,9.85713,0
0.78392,9.26926,0
0.79397,8.76441,0
0.80402,8.27128,0
0.81407,7.78389,0
0.824121,7.35755,0
0.834171,6.97708,0
0.844221,6.58815,0
0.854271,6.1995,0
0.864322,5.8855,0
0.874372,5.54917,0
0.884422,5.2384,0
0.894472,4.9363,0
0.904523,4.68332,0
0.914573,4.46052,0
0.924623,4.23529,0
0.934673,4.01547,0
0.944724,3.82863,0
0.954774,3.6556,0
0.964824,3.47012,0
0.974874,3.28505,0
0.984925,3.12687,0
0.994975,2.97892,0
1.00503,2.82365,0
1.01508,2.67675,0
1.02513,2.5577,0
1.03518,2.44988,0
1.04523,2.33637,0
1.05528,2.2303,0
1.06533,2.14031,0
1.07538,2.05211,0
1.08543,1.9547,0
1.09548,1.86131,0
1.10553,1.78268,0
1.11558,1.70459,0
1.12563,1.62245,0
1.13568,1.54916,0
1.14573,1.49024,0
1.15578,1.43256,0
1.16583,1.37232,0
1.17588,1.31743,0
1.18593,1.27016,0
1.19598,1.21956,0
1.20603,1.16367,0
1.21608,1.11388,0
1.22613,1.07168,0
1.23618,1.02709,0
1.24623,0.981652,0
1.25628,0.94481,0
1.26633,0.914061,0
1.27638,0.881385,0
1.28643,0.846741,0
1.29648,0.818048,0
1.30653,0.790614,0
1.31658,0.758617,0
1.32663,0.724573,0
1.33668,0.696968,0
1.34673,0.672896,0
1.35678,0.646317,0
1.36683,0.620873,0
1.37688,0.601279,0
1.38693,0.584255,0
1.39698,0.56403,0
1.40704,0.543704,0
1.41709,0.52672,0
1.42714,0.509834,0
1.43719,0.488812,0
1.44724,0.468556,0
1.45729,0.45347,0
1.46734,0.438777,0
1.47739,0.423136,0
1.48744,0.408886,0
1.49749,0.398119,0
1.50754,0.387335,0
1.51759,0.373798,0
1.52764,0.360692,0
1.53769,0.350112,0
1.54774,0.338241,0
1.55779,0.324936,0
1.56784,0.313366,0
1.57789,0.304719,0
1.58794,0.296214,0
1.59799,0.28658,0
1.60804,0.27842,0
1.61809,0.272268,0
1.62814,0.264297,0
1.63819,0.254882,0
1.64824,0.246623,0
1.65829,0.239273,0
1.66834,0.231001,0
1.67839,0.222532,0
1.68844,0.215979,0
1.69849,0.21096,0
1.70854,0.205551,0
1.71859,0.199408,0
1.72864,0.194846,0
1.73869,0.190035,0
1.74874,0.184351,0
1.75879,0.177331,0
1.76884,0.172093,0
1.77889,0.16731,0
1.78894,0.161739,0
1.79899,0.156839,0
1.80905,0.153549,0
1.8191,0.150224,0
1.82915,0.146335,0
1.8392,0.142021,0
1.84925,0.138688,0
1.8593,0.135019,0
1.86935,0.130357,0
1.8794,0.12581,0
1.88945,0.122284,0
1.8995,0.119373,0
1.90955,0.116202,0
1.9196,0.113306,0
1.92965,0.111395,0
1.9397,0.108915,0
1.94975,0.105989,0
1.9598,0.103089,0
1.96985,0.100275,0
1.9799,0.0975793,0
1.98995,0.0938387,0
2,0.0912782,0
