# 20241120_131841
# primespec:	data/spectra_real_sigmamasses_p5GeV_consteps_20241119_171318/spec_20241120_123509/spectr.txt
# qmax:	5
# ma:	0.764
# mb:	0.28
# mc:	0.28
# B:	1
# Q:	1
# [DEBUG] pabc:	0.259854
# [DEBUG] Eabc:	0.382
p,finalspecRe,finalspecIm
0,167.603,0
0.0100503,167.894,0
0.0201005,167.69,0
0.0301508,167.482,0
0.040201,167.173,0
0.0502513,166.654,0
0.0603015,166.18,0
0.0703518,165.367,0
0.080402,164.839,0
0.0904523,164.333,0
0.100503,164.205,0
0.110553,164.237,0
0.120603,164.929,0
0.130653,166.102,0
0.140704,168.197,0
0.150754,171.405,0
0.160804,176.007,0
0.170854,182.197,0
0.180905,189.923,0
0.190955,200.316,0
0.201005,214.839,0
0.211055,233.949,0
0.221106,255.619,0
0.231156,273.19,0
0.241206,276.701,0
0.251256,258.751,0
0.261307,220.282,0
0.271357,169.313,0
0.281407,119.155,0
0.291457,78.8293,0
0.301508,51.5965,0
0.311558,35.6491,0
0.321608,27.115,0
0.331658,22.663,0
0.341709,20.2041,0
0.351759,18.5923,0
0.361809,17.3032,0
0.371859,16.2628,0
0.38191,15.5017,0
0.39196,14.9363,0
0.40201,14.4267,0
0.41206,13.9326,0
0.422111,13.4679,0
0.432161,12.9941,0
0.442211,12.478,0
0.452261,11.9552,0
0.462312,11.4549,0
0.472362,10.9487,0
0.482412,10.4138,0
0.492462,9.89023,0
0.502513,9.40154,0
0.512563,8.91458,0
0.522613,8.41557,0
0.532663,7.93618,0
0.542714,7.49274,0
0.552764,7.05728,0
0.562814,6.61528,0
0.572864,6.1935,0
0.582915,5.81401,0
0.592965,5.44471,0
0.603015,5.07621,0
0.613065,4.7391,0
0.623116,4.44021,0
0.633166,4.15504,0
0.643216,3.87927,0
0.653266,3.62976,0
0.663317,3.41174,0
0.673367,3.19949,0
0.683417,2.99058,0
0.693467,2.80212,0
0.703518,2.63201,0
0.713568,2.46355,0
0.723618,2.29791,0
0.733668,2.14914,0
0.743719,2.01747,0
0.753769,1.88821,0
0.763819,1.76444,0
0.773869,1.65745,0
0.78392,1.56276,0
0.79397,1.4697,0
0.80402,1.38045,0
0.81407,1.30199,0
0.824121,1.23004,0
0.834171,1.15602,0
0.844221,1.08543,0
0.854271,1.02246,0
0.864322,0.964429,0
0.874372,0.904326,0
0.884422,0.84911,0
0.894472,0.803238,0
0.904523,0.760984,0
0.914573,0.718929,0
0.924623,0.679584,0
0.934673,0.646114,0
0.944724,0.61333,0
0.954774,0.578799,0
0.964824,0.546679,0
0.974874,0.518373,0
0.984925,0.490847,0
0.994975,0.463318,0
1.00503,0.438593,0
1.01508,0.418006,0
1.02513,0.397932,0
1.03518,0.377915,0
1.04523,0.359922,0
1.05528,0.344161,0
1.06533,0.327246,0
1.07538,0.30991,0
1.08543,0.294715,0
1.09548,0.280965,0
1.10553,0.26678,0
1.11558,0.252864,0
1.12563,0.241623,0
1.13568,0.232139,0
1.14573,0.221815,0
1.15578,0.211773,0
1.16583,0.20313,0
1.17588,0.195159,0
1.18593,0.185815,0
1.19598,0.176632,0
1.20603,0.168603,0
1.21608,0.161622,0
1.22613,0.153685,0
1.23618,0.146631,0
1.24623,0.141127,0
1.25628,0.136324,0
1.26633,0.130296,0
1.27638,0.125287,0
1.28643,0.120755,0
1.29648,0.115984,0
1.30653,0.110356,0
1.31658,0.105666,0
1.32663,0.101648,0
1.33668,0.0981101,0
1.34673,0.09311,0
1.35678,0.0898357,0
1.36683,0.0869975,0
1.37688,0.0837723,0
1.38693,0.0805934,0
1.39698,0.0777716,0
1.40704,0.0750555,0
1.41709,0.0719567,0
1.42714,0.0686204,0
1.43719,0.0659618,0
1.44724,0.063571,0
1.45729,0.0614562,0
1.46734,0.0591393,0
1.47739,0.0577778,0
1.48744,0.0560454,0
1.49749,0.053902,0
1.50754,0.0520373,0
1.51759,0.0503187,0
1.52764,0.0485874,0
1.53769,0.0465108,0
1.54774,0.0446704,0
1.55779,0.0432795,0
1.56784,0.0421192,0
1.57789,0.0405849,0
1.58794,0.039293,0
1.59799,0.0382502,0
1.60804,0.0370016,0
1.61809,0.0357185,0
1.62814,0.034616,0
1.63819,0.0334142,0
1.64824,0.0320861,0
1.65829,0.0309687,0
1.66834,0.0298535,0
1.67839,0.0290667,0
1.68844,0.0284031,0
1.69849,0.0275983,0
1.70854,0.0268636,0
1.71859,0.0262638,0
1.72864,0.0253964,0
1.73869,0.0241093,0
1.74874,0.0237988,0
1.75879,0.0228419,0
1.76884,0.0219943,0
1.77889,0.0212786,0
1.78894,0.0208326,0
1.79899,0.0205341,0
1.80905,0.0197589,0
1.8191,0.0192628,0
1.82915,0.0188914,0
1.8392,0.0182308,0
1.84925,0.0176458,0
1.8593,0.0168726,0
1.86935,0.0165227,0
1.8794,0.0160647,0
1.88945,0.0154324,0
1.8995,0.0152577,0
1.90955,0.0150419,0
1.9196,0.0145394,0
1.92965,0.0139769,0
1.9397,0.0136595,0
1.94975,0.0133897,0
1.9598,0.0128467,0
1.96985,0.0123732,0
1.9799,0.0120902,0
1.98995,0.0117929,0
2,0.0114837,0
