# 20241120_131910
q,primespecRe,primespecIm
0,2699.38,0
0.00500501,2675.31,0
0.01001,2644.71,0
0.015015,2579.7,0
0.02002,2487.52,0
0.025025,2376.53,0
0.03003,2246.68,0
0.035035,2103.49,0
0.04004,1949.52,0
0.045045,1789.57,0
0.0500501,1626.7,0
0.0550551,1464.9,0
0.0600601,1306.84,0
0.0650651,1155.44,0
0.0700701,1012.45,0
0.0750751,879.604,0
0.0800801,757.649,0
0.0850851,647.238,0
0.0900901,548.286,0
0.0950951,460.637,0
0.1001,383.742,0
0.105105,316.954,0
0.11011,259.605,0
0.115115,210.803,0
0.12012,169.987,0
0.125125,136.162,0
0.13013,108.903,0
0.135135,87.1968,0
0.14014,70.5902,0
0.145145,58.188,0
0.15015,49.2488,0
0.155155,43.1819,0
0.16016,38.9244,0
0.165165,36.1658,0
0.17017,33.9943,0
0.175175,32.0645,0
0.18018,30.1379,0
0.185185,27.8096,0
0.19019,25.2024,0
0.195195,22.2651,0
0.2002,19.2255,0
0.205205,16.2473,0
0.21021,13.5753,0
0.215215,11.3265,0
0.22022,9.61653,0
0.225225,8.45739,0
0.23023,7.70479,0
0.235235,7.34329,0
0.24024,7.09013,0
0.245245,6.87904,0
0.25025,6.66051,0
0.255255,6.30475,0
0.26026,5.88835,0
0.265265,5.41456,0
0.27027,5.09852,0
0.275275,5.06398,0
0.28028,5.05106,0
0.285285,5.34835,0
0.29029,5.9807,0
0.295295,6.67983,0
0.3003,7.42488,0
0.305305,8.05563,0
0.31031,8.47439,0
0.315315,8.563,0
0.32032,8.59903,0
0.325325,8.42383,0
0.33033,8.20509,0
0.335335,8.1832,0
0.34034,8.175,0
0.345345,8.43567,0
0.35035,9.00208,0
0.355355,9.66636,0
0.36036,10.3941,0
0.365365,11.0331,0
0.37037,11.4449,0
0.375375,11.4776,0
0.38038,11.4893,0
0.385385,11.2663,0
0.39039,10.8999,0
0.395395,10.6858,0
0.4004,10.565,0
0.405405,10.734,0
0.41041,11.1259,0
0.415415,11.6707,0
0.42042,12.3047,0
0.425425,12.8383,0
0.43043,13.1731,0
0.435435,13.1357,0
0.44044,13.0243,0
0.445445,12.6884,0
0.45045,12.2213,0
0.455455,11.8816,0
0.46046,11.677,0
0.465465,11.782,0
0.47047,12.0419,0
0.475475,12.4639,0
0.48048,12.9559,0
0.485485,13.2773,0
0.49049,13.4639,0
0.495495,13.3241,0
0.500501,12.9881,0
0.505506,12.4959,0
0.510511,11.9354,0
0.515516,11.4993,0
0.520521,11.2335,0
0.525526,11.2775,0
0.530531,11.3984,0
0.535536,11.6594,0
0.540541,11.9141,0
0.545546,11.9027,0
0.550551,11.8546,0
0.555556,11.5513,0
0.560561,10.9718,0
0.565566,10.3601,0
0.570571,9.78062,0
0.575576,9.38477,0
0.580581,9.15577,0
0.585586,9.19728,0
0.590591,9.29817,0
0.595596,9.42417,0
0.600601,9.5266,0
0.605606,9.42111,0
0.610611,9.14946,0
0.615616,8.72723,0
0.620621,8.19578,0
0.625626,7.70561,0
0.630631,7.35553,0
0.635636,7.29008,0
0.640641,7.26347,0
0.645646,7.397,0
0.650651,7.62583,0
0.655656,7.69752,0
0.660661,7.73211,0
0.665666,7.58294,0
0.670671,7.23993,0
0.675676,6.85446,0
0.680681,6.48322,0
0.685686,6.27174,0
0.690691,6.15345,0
0.695696,6.22393,0
0.700701,6.3834,0
0.705706,6.53312,0
0.710711,6.64508,0
0.715716,6.57443,0
0.720721,6.37998,0
0.725726,6.06754,0
0.730731,5.66706,0
0.735736,5.31465,0
0.740741,5.06194,0
0.745746,5.01433,0
0.750751,4.99503,0
0.755756,5.05629,0
0.760761,5.15254,0
0.765766,5.11801,0
0.770771,5.00907,0
0.775776,4.78065,0
0.780781,4.43647,0
0.785786,4.09872,0
0.790791,3.81931,0
0.795796,3.70546,0
0.800801,3.64802,0
0.805806,3.70985,0
0.810811,3.82627,0
0.815816,3.86273,0
0.820821,3.88038,0
0.825826,3.79121,0
0.830831,3.57716,0
0.835836,3.3427,0
0.840841,3.12838,0
0.845846,3.04245,0
0.850851,2.99878,0
0.855856,3.06118,0
0.860861,3.20138,0
0.865866,3.3002,0
0.870871,3.36761,0
0.875876,3.31673,0
0.880881,3.17558,0
0.885886,2.98077,0
0.890891,2.75944,0
0.895896,2.60942,0
0.900901,2.51562,0
0.905906,2.53612,0
0.910911,2.5926,0
0.915916,2.64779,0
0.920921,2.69211,0
0.925926,2.64601,0
0.930931,2.51527,0
0.935936,2.33254,0
0.940941,2.11598,0
0.945946,1.94719,0
0.950951,1.83504,0
0.955956,1.84202,0
0.960961,1.87346,0
0.965966,1.9318,0
0.970971,1.99601,0
0.975976,1.97846,0
0.980981,1.91759,0
0.985986,1.8052,0
0.990991,1.65558,0
0.995996,1.55145,0
1.001,1.48376,0
1.00601,1.50607,0
1.01101,1.57434,0
1.01602,1.66457,0
1.02102,1.75219,0
1.02603,1.74829,0
1.03103,1.7218,0
1.03604,1.63945,0
1.04104,1.49942,0
1.04605,1.38568,0
1.05105,1.30478,0
1.05606,1.30971,0
1.06106,1.33481,0
1.06607,1.38264,0
1.07107,1.43794,0
1.07608,1.42566,0
1.08108,1.37766,0
1.08609,1.28323,0
1.09109,1.14504,0
1.0961,1.02663,0
1.1011,0.941621,0
1.10611,0.942106,0
1.11111,0.956439,0
1.11612,0.998269,0
1.12112,1.0567,0
1.12613,1.05437,0
1.13113,1.03496,0
1.13614,0.97812,0
1.14114,0.884795,0
1.14615,0.82054,0
1.15115,0.777457,0
1.15616,0.793192,0
1.16116,0.845438,0
1.16617,0.913301,0
1.17117,0.982159,0
1.17618,0.983465,0
1.18118,0.973844,0
1.18619,0.927141,0
1.19119,0.835177,0
1.1962,0.763849,0
1.2012,0.712565,0
1.20621,0.717434,0
1.21121,0.740428,0
1.21622,0.774697,0
1.22122,0.812033,0
1.22623,0.803144,0
1.23123,0.766298,0
1.23624,0.700457,0
1.24124,0.608627,0
1.24625,0.537911,0
1.25125,0.488548,0
1.25626,0.493084,0
1.26126,0.516088,0
1.26627,0.551132,0
1.27127,0.590932,0
1.27628,0.588569,0
1.28128,0.570951,0
1.28629,0.530867,0
1.29129,0.473507,0
1.2963,0.447425,0
1.3013,0.432852,0
1.30631,0.449472,0
1.31131,0.501313,0
1.31632,0.549662,0
1.32132,0.591671,0
1.32633,0.588442,0
1.33133,0.56729,0
1.33634,0.525059,0
1.34134,0.464654,0
1.34635,0.429335,0
1.35135,0.407095,0
1.35636,0.415681,0
1.36136,0.443757,0
1.36637,0.464459,0
1.37137,0.479998,0
1.37638,0.467658,0
1.38138,0.425503,0
1.38639,0.371515,0
1.39139,0.313352,0
1.3964,0.285754,0
1.4014,0.270178,0
1.40641,0.280626,0
1.41141,0.3147,0
1.41642,0.340509,0
1.42142,0.360356,0
1.42643,0.353751,0
1.43143,0.328373,0
1.43644,0.295708,0
1.44144,0.263525,0
1.44645,0.263147,0
1.45145,0.271163,0
1.45646,0.293855,0
1.46146,0.337525,0
1.46647,0.360416,0
1.47147,0.374168,0
1.47648,0.363609,0
1.48148,0.327753,0
1.48649,0.287364,0
1.49149,0.24927,0
1.4965,0.242275,0
1.5015,0.240024,0
1.50651,0.250082,0
1.51151,0.275738,0
1.51652,0.277734,0
1.52152,0.275184,0
1.52653,0.258376,0
1.53153,0.21787,0
1.53654,0.183065,0
1.54154,0.155938,0
1.54655,0.156904,0
1.55155,0.168601,0
1.55656,0.189578,0
1.56156,0.220324,0
1.56657,0.227662,0
1.57157,0.230157,0
1.57658,0.220275,0
1.58158,0.193125,0
1.58659,0.177684,0
1.59159,0.167778,0
1.5966,0.173912,0
1.6016,0.198197,0
1.60661,0.223075,0
1.61161,0.247217,0
1.61662,0.246956,0
1.62162,0.236594,0
1.62663,0.214561,0
1.63163,0.178968,0
1.63664,0.154484,0
