# 20240806_162432
# primespec:	data/spec_20240806_151611/spectr3.txt
# qmax:	3.003
p,finalspecRe,finalspecIm
0,inf,0
0.010101,65106.5,0
0.020202,65580,0
0.030303,66324.8,0
0.040404,67266.6,0
0.0505051,68319.6,0
0.0606061,69457.6,0
0.0707071,70663.9,0
0.0808081,71895.7,0
0.0909091,73199.5,0
0.10101,74629.9,0
0.111111,76209.9,0
0.121212,77960.6,0
0.131313,79965.8,0
0.141414,82300,0
0.151515,85080.5,0
0.161616,88433.9,0
0.171717,92622.6,0
0.181818,98019,0
0.191919,105272,0
0.20202,114951,0
0.212121,126727,0
0.222222,138978,0
0.232323,148664,0
0.242424,152051,0
0.252525,146720,0
0.262626,132780,0
0.272727,111014,0
0.282828,84845.8,0
0.292929,59934,0
0.30303,39345.8,0
0.313131,24182.6,0
0.323232,14052.6,0
0.333333,7819.59,0
0.343434,4290.06,0
0.353535,2456.43,0
0.363636,1589.22,0
0.373737,1196.83,0
0.383838,1006.1,0
0.393939,900.437,0
0.40404,838.752,0
0.414141,799.177,0
0.424242,766.972,0
0.434343,735.712,0
0.444444,707.643,0
0.454545,683.391,0
0.464646,661.55,0
0.474747,639.526,0
0.484848,616.427,0
0.494949,592.905,0
0.505051,570.008,0
0.515152,548.031,0
0.525253,525.278,0
0.535354,501.017,0
0.545455,477.368,0
0.555556,456.596,0
0.565657,437.831,0
0.575758,419.465,0
0.585859,401.883,0
0.59596,386.268,0
0.606061,372.199,0
0.616162,358.014,0
0.626263,343.346,0
0.636364,329.172,0
0.646465,315.956,0
0.656566,302.436,0
0.666667,287.871,0
0.676768,273.801,0
0.686869,260.875,0
0.69697,248.523,0
0.707071,236.079,0
0.717172,224.188,0
0.727273,213.917,0
0.737374,204.857,0
0.747475,196.132,0
0.757576,187.512,0
0.767677,179.867,0
0.777778,173.02,0
0.787879,166.092,0
0.79798,158.979,0
0.808081,152.151,0
0.818182,145.914,0
0.828283,139.752,0
0.838384,133.295,0
0.848485,127.113,0
0.858586,121.704,0
0.868687,116.763,0
0.878788,111.807,0
0.888889,107.021,0
0.89899,102.819,0
0.909091,99.0455,0
0.919192,95.2387,0
0.929293,91.3465,0
0.939394,87.7657,0
0.949495,84.536,0
0.959596,81.306,0
0.969697,77.9872,0
0.979798,74.9018,0
0.989899,72.198,0
1,69.631,0
