# 20240927_191909
# initdata:	data/init_real_pi_constfield_20240822_161734/init5.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1.2637e+07,0
0.0100503,1.17191e+07,0
0.0201005,9.36477e+06,0
0.0301508,6.3526e+06,0
0.040201,3.47863e+06,0
0.0502513,1.60793e+06,0
0.0603015,979454,0
0.0703518,777723,0
0.080402,489572,0
0.0904523,395350,0
0.100503,375378,0
0.110553,228335,0
0.120603,185107,0
0.130653,160929,0
0.140704,81985.3,0
0.150754,78405.7,0
0.160804,55996.3,0
0.170854,39342.7,0
0.180905,50914.5,0
0.190955,30730.4,0
0.201005,32819.9,0
0.211055,24316.9,0
0.221106,12128.2,0
0.231156,15004.7,0
0.241206,7444.83,0
0.251256,13026.9,0
0.261307,10440.2,0
0.271357,7833.25,0
0.281407,8515.35,0
0.291457,2614.39,0
0.301508,4556.07,0
0.311558,2546.72,0
0.321608,4482.59,0
0.331658,4677.09,0
0.341709,2238,0
0.351759,3084.22,0
0.361809,651.327,0
0.371859,1865.33,0
0.38191,1310.33,0
0.39196,1963.46,0
0.40201,2351.99,0
0.41206,631.213,0
0.422111,1114.65,0
0.432161,181.265,0
0.442211,1103.02,0
0.452261,851.252,0
0.462312,907.908,0
0.472362,1127.84,0
0.482412,126.752,0
0.492462,465.167,0
0.502513,105.625,0
0.512563,842.82,0
0.522613,604.849,0
0.532663,385.47,0
0.542714,492.772,0
0.552764,10.5873,0
0.562814,311.69,0
0.572864,104.293,0
0.582915,605.909,0
0.592965,379.057,0
0.603015,119.391,0
0.613065,179.017,0
0.623116,32.9412,0
0.633166,328.024,0
0.643216,105.558,0
0.653266,366.287,0
0.663317,197.986,0
0.673367,24.8868,0
0.683417,59.7953,0
0.693467,77.6062,0
0.703518,325.715,0
0.713568,80.6919,0
0.723618,186.436,0
0.733668,78.9158,0
0.743719,39.6102,0
0.753769,59.3427,0
0.763819,82.2453,0
0.773869,258.213,0
0.78392,37.8261,0
0.79397,62.4019,0
0.80402,13.8549,0
0.81407,93.3943,0
0.824121,90.8129,0
0.834171,64.4247,0
0.844221,177.034,0
0.854271,17.206,0
0.864322,25.6929,0
0.874372,0.161779,0
0.884422,117.105,0
0.894472,96.6066,0
0.904523,26.2818,0
0.914573,81.934,0
0.924623,10.4481,0
0.934673,44.9719,0
0.944724,5.96763,0
0.954774,110.191,0
0.964824,86.6099,0
0.974874,2.97262,0
0.984925,24.6538,0
0.994975,20.2956,0
1.00503,73.6794,0
1.01508,12.7703,0
1.02513,75.2141,0
1.03518,54.9493,0
1.04523,3.26969,0
1.05528,6.96066,0
1.06533,25.3251,0
1.07538,88.1019,0
1.08543,13.9865,0
1.09548,31.6401,0
1.10553,25.7297,0
1.11558,22.5073,0
1.12563,13.685,0
1.13568,25.9997,0
1.14573,81.5452,0
1.15578,12.5277,0
1.16583,8.893,0
1.17588,8.66108,0
1.18593,40.4735,0
1.19598,26.7662,0
1.20603,14.0477,0
1.21608,51.167,0
1.22613,11.3817,0
1.23618,7.02781,0
1.24623,1.62877,0
1.25628,51.4984,0
1.26633,36.7897,0
1.27638,3.82256,0
1.28643,24.4104,0
1.29648,14.7967,0
1.30653,19.3547,0
1.31658,1.72754,0
1.32663,43.2499,0
1.33668,32.1706,0
1.34673,0.140783,0
1.35678,5.46366,0
1.36683,16.9999,0
1.37688,35.5307,0
1.38693,3.6839,0
1.39698,25.6576,0
1.40704,23.8863,0
1.41709,6.50216,0
1.42714,0.903382,0
1.43719,17.9436,0
1.44724,41.7673,0
1.45729,5.04389,0
1.46734,9.80264,0
1.47739,12.9674,0
1.48744,17.2527,0
1.49749,6.1817,0
1.50754,11.8531,0
1.51759,34.8751,0
1.52764,7.08752,0
1.53769,1.56041,0
1.54774,5.61503,0
1.55779,27.8895,0
1.56784,14.0423,0
1.57789,5.50102,0
1.58794,22.9053,0
1.59799,9.80129,0
1.60804,4.30753,0
1.61809,1.99328,0
1.62814,28.1147,0
1.63819,17.1956,0
1.64824,0.425491,0
1.65829,8.68347,0
1.66834,12.6567,0
1.67839,13.9042,0
1.68844,1.02975,0
1.69849,22.1436,0
1.70854,17.3575,0
1.71859,1.18324,0
1.72864,1.40783,0
1.73869,14.05,0
1.74874,21.1891,0
1.75879,1.31111,0
1.76884,11.4769,0
1.77889,12.436,0
1.78894,7.0362,0
1.79899,0.584975,0
1.80905,11.3551,0
1.8191,23.365,0
1.82915,3.01011,0
1.8392,2.89018,0
1.84925,8.0816,0
1.8593,14.906,0
1.86935,4.06576,0
1.8794,7.1369,0
1.88945,19.0736,0
1.8995,5.21162,0
1.90955,0.712244,0
1.9196,3.93774,0
1.92965,18.6209,0
1.9397,8.0856,0
1.94975,1.92093,0
1.9598,10.6287,0
1.96985,8.52149,0
1.9799,4.40328,0
1.98995,1.65306,0
2,18.2918,0
