# 20240725_151038
alpha,pi0Re,pi0Im
0,0.098991,0
0.00157237,0.0989938,0
0.00314474,0.0989969,0
0.00471711,0.0990007,0
0.00628947,0.099005,0
0.00786184,0.0990097,0
0.00943421,0.0990147,0
0.0110066,0.0990202,0
0.0125789,0.0990261,0
0.0141513,0.0990324,0
0.0157237,0.0990392,0
0.0172961,0.0990463,0
0.0188684,0.099054,0
0.0204408,0.0990621,0
0.0220132,0.0990707,0
0.0235855,0.09908,0
0.0251579,0.0990898,0
0.0267303,0.0991002,0
0.0283026,0.0991111,0
0.029875,0.0991225,0
0.0314474,0.0991345,0
0.0330197,0.0991471,0
0.0345921,0.0991601,0
0.0361645,0.0991736,0
0.0377368,0.0991877,0
0.0393092,0.0992022,0
0.0408816,0.0992172,0
0.042454,0.0992326,0
0.0440263,0.0992486,0
0.0455987,0.0992649,0
0.0471711,0.0992817,0
0.0487434,0.099299,0
0.0503158,0.0993167,0
0.0518882,0.0993347,0
0.0534605,0.0993532,0
0.0550329,0.0993721,0
0.0566053,0.0993914,0
0.0581776,0.099411,0
0.05975,0.099431,0
0.0613224,0.0994514,0
0.0628947,0.0994721,0
0.0644671,0.0994932,0
0.0660395,0.0995146,0
0.0676119,0.0995363,0
0.0691842,0.0995583,0
0.0707566,0.0995807,0
0.072329,0.0996033,0
0.0739013,0.0996262,0
0.0754737,0.0996494,0
0.0770461,0.0996729,0
0.0786184,0.0996966,0
0.0801908,0.0997205,0
0.0817632,0.0997448,0
0.0833355,0.0997692,0
0.0849079,0.0997939,0
0.0864803,0.0998187,0
0.0880526,0.0998442,0
0.089625,0.0998704,0
0.0911974,0.0998973,0
0.0927698,0.099925,0
0.0943421,0.0999534,0
0.0959145,0.0999825,0
0.0974869,0.100012,0
0.0990592,0.100043,0
0.100632,0.100074,0
0.102204,0.100106,0
0.103776,0.100139,0
0.105349,0.100172,0
0.106921,0.100206,0
0.108493,0.10024,0
0.110066,0.100276,0
0.111638,0.100312,0
0.113211,0.100348,0
0.114783,0.100385,0
0.116355,0.100423,0
0.117928,0.100462,0
0.1195,0.100501,0
0.121072,0.10054,0
0.122645,0.100581,0
0.124217,0.100622,0
0.125789,0.100663,0
0.127362,0.100705,0
0.128934,0.100748,0
0.130507,0.100791,0
0.132079,0.100835,0
0.133651,0.10088,0
0.135224,0.100925,0
0.136796,0.10097,0
0.138368,0.101016,0
0.139941,0.101063,0
0.141513,0.10111,0
0.143086,0.101158,0
0.144658,0.101206,0
0.14623,0.101255,0
0.147803,0.101304,0
0.149375,0.101354,0
0.150947,0.101404,0
0.15252,0.101455,0
0.154092,0.101506,0
0.155665,0.101558,0
0.157237,0.10161,0
0.158809,0.101663,0
0.160382,0.101716,0
0.161954,0.10177,0
0.163526,0.101824,0
0.165099,0.101878,0
0.166671,0.101933,0
0.168243,0.101989,0
0.169816,0.102044,0
0.171388,0.102101,0
0.172961,0.102157,0
0.174533,0.102214,0
0.176105,0.102272,0
0.177678,0.10233,0
0.17925,0.102388,0
0.180822,0.102446,0
0.182395,0.102505,0
0.183967,0.102565,0
0.18554,0.102625,0
0.187112,0.102685,0
0.188684,0.102745,0
0.190257,0.102806,0
0.191829,0.102867,0
0.193401,0.102928,0
0.194974,0.10299,0
0.196546,0.103052,0
0.198118,0.103115,0
0.199691,0.103178,0
0.201263,0.103241,0
0.202836,0.103304,0
0.204408,0.103368,0
0.20598,0.103432,0
0.207553,0.103496,0
0.209125,0.10356,0
0.210697,0.103625,0
0.21227,0.10369,0
0.213842,0.103755,0
0.215415,0.103821,0
0.216987,0.103887,0
0.218559,0.103953,0
0.220132,0.104019,0
