# 20240725_151055
alpha,chiRe,chiIm
0,0,0
0.00157237,-6.06189e-07,0
0.00314474,-1.29848e-06,0
0.00471711,-2.14568e-06,0
0.00628947,-3.10318e-06,0
0.00786184,-4.15526e-06,0
0.00943421,-5.29948e-06,0
0.0110066,-6.53337e-06,0
0.0125789,-7.85451e-06,0
0.0141513,-9.26043e-06,0
0.0157237,-1.07487e-05,0
0.0172961,-1.23168e-05,0
0.0188684,-1.39625e-05,0
0.0204408,-1.56943e-05,0
0.0220132,-1.75591e-05,0
0.0235855,-1.95582e-05,0
0.0251579,-2.16868e-05,0
0.0267303,-2.39403e-05,0
0.0283026,-2.6314e-05,0
0.029875,-2.88032e-05,0
0.0314474,-3.14032e-05,0
0.0330197,-3.41093e-05,0
0.0345921,-3.69167e-05,0
0.0361645,-3.98209e-05,0
0.0377368,-4.28171e-05,0
0.0393092,-4.59005e-05,0
0.0408816,-4.90666e-05,0
0.042454,-5.23106e-05,0
0.0440263,-5.56278e-05,0
0.0455987,-5.90135e-05,0
0.0471711,-6.2463e-05,0
0.0487434,-6.59717e-05,0
0.0503158,-6.95347e-05,0
0.0518882,-7.31858e-05,0
0.0534605,-7.69775e-05,0
0.0550329,-8.0908e-05,0
0.0566053,-8.49746e-05,0
0.0581776,-8.91748e-05,0
0.05975,-9.35061e-05,0
0.0613224,-9.79659e-05,0
0.0628947,-0.000102552,0
0.0644671,-0.000107261,0
0.0660395,-0.000112091,0
0.0676119,-0.00011704,0
0.0691842,-0.000122104,0
0.0707566,-0.000127282,0
0.072329,-0.000132571,0
0.0739013,-0.000137968,0
0.0754737,-0.00014347,0
0.0770461,-0.000149076,0
0.0786184,-0.000154782,0
0.0801908,-0.000160587,0
0.0817632,-0.000166487,0
0.0833355,-0.00017248,0
0.0849079,-0.000178564,0
0.0864803,-0.000184735,0
0.0880526,-0.000190992,0
0.089625,-0.000197332,0
0.0911974,-0.000203752,0
0.0927698,-0.00021025,0
0.0943421,-0.000216851,0
0.0959145,-0.000223585,0
0.0974869,-0.00023045,0
0.0990592,-0.000237446,0
0.100632,-0.000244573,0
0.102204,-0.000251828,0
0.103776,-0.000259212,0
0.105349,-0.000266723,0
0.106921,-0.00027436,0
0.108493,-0.000282123,0
0.110066,-0.000290011,0
0.111638,-0.000298022,0
0.113211,-0.000306156,0
0.114783,-0.000314411,0
0.116355,-0.000322788,0
0.117928,-0.000331284,0
0.1195,-0.0003399,0
0.121072,-0.000348634,0
0.122645,-0.000357484,0
0.124217,-0.000366452,0
0.125789,-0.000375534,0
0.127362,-0.000384731,0
0.128934,-0.000394042,0
0.130507,-0.000403465,0
0.132079,-0.000413,0
0.133651,-0.000422645,0
0.135224,-0.000432401,0
0.136796,-0.000442265,0
0.138368,-0.000452238,0
0.139941,-0.000462317,0
0.141513,-0.000472503,0
0.143086,-0.000482794,0
0.144658,-0.00049319,0
0.14623,-0.000503689,0
0.147803,-0.00051429,0
0.149375,-0.000524993,0
0.150947,-0.000535797,0
0.15252,-0.0005467,0
0.154092,-0.000557703,0
0.155665,-0.000568803,0
0.157237,-0.00058,0
0.158809,-0.000591294,0
0.160382,-0.000602682,0
0.161954,-0.000614165,0
0.163526,-0.000625741,0
0.165099,-0.00063741,0
0.166671,-0.00064917,0
0.168243,-0.000661021,0
0.169816,-0.000672971,0
0.171388,-0.000685097,0
0.172961,-0.000697414,0
0.174533,-0.00070992,0
0.176105,-0.000722612,0
0.177678,-0.00073549,0
0.17925,-0.000748551,0
0.180822,-0.000761794,0
0.182395,-0.000775216,0
0.183967,-0.000788817,0
0.18554,-0.000802593,0
0.187112,-0.000816544,0
0.188684,-0.000830667,0
0.190257,-0.000844961,0
0.191829,-0.000859424,0
0.193401,-0.000874053,0
0.194974,-0.000888848,0
0.196546,-0.000903806,0
0.198118,-0.000918926,0
0.199691,-0.000934206,0
0.201263,-0.000949643,0
0.202836,-0.000965236,0
0.204408,-0.000980984,0
0.20598,-0.000996884,0
0.207553,-0.00101293,0
0.209125,-0.00102913,0
0.210697,-0.00104548,0
0.21227,-0.00106197,0
0.213842,-0.00107861,0
0.215415,-0.00109538,0
0.216987,-0.0011123,0
0.218559,-0.00112935,0
0.220132,-0.00114654,0
0.221704,-0.00116387,0
0.223276,-0.00118132,0
0.224849,-0.00119891,0
0.226421,-0.00121663,0
0.227993,-0.00123447,0
0.229566,-0.00125244,0
0.231138,-0.00127053,0
0.232711,-0.00128874,0
0.234283,-0.00130707,0
0.235855,-0.00132552,0
0.237428,-0.00134409,0
0.239,-0.00136277,0
0.240572,-0.00138156,0
0.242145,-0.00140047,0
0.243717,-0.00141948,0
0.24529,-0.0014386,0
0.246862,-0.00145782,0
0.248434,-0.00147715,0
0.250007,-0.00149658,0
0.251579,-0.00151611,0
0.253151,-0.00153573,0
0.254724,-0.00155545,0
0.256296,-0.00157527,0
0.257868,-0.00159518,0
0.259441,-0.00161518,0
0.261013,-0.00163526,0
0.262586,-0.00165544,0
0.264158,-0.0016757,0
0.26573,-0.00169604,0
0.267303,-0.00171646,0
0.268875,-0.00173697,0
0.270447,-0.00175755,0
0.27202,-0.00177823,0
0.273592,-0.00179921,0
0.275165,-0.00182053,0
0.276737,-0.00184219,0
0.278309,-0.00186418,0
0.279882,-0.00188649,0
0.281454,-0.00190911,0
0.283026,-0.00193203,0
0.284599,-0.00195525,0
0.286171,-0.00197876,0
0.287743,-0.00200255,0
0.289316,-0.0020266,0
0.290888,-0.00205093,0
0.292461,-0.0020755,0
0.294033,-0.00210033,0
0.295605,-0.00212539,0
0.297178,-0.00215069,0
0.29875,-0.00217621,0
0.300322,-0.00220195,0
0.301895,-0.00222789,0
0.303467,-0.00225404,0
0.30504,-0.00228037,0
0.306612,-0.00230689,0
0.308184,-0.00233358,0
0.309757,-0.00236045,0
0.311329,-0.00238747,0
0.312901,-0.00241464,0
0.314474,-0.00244195,0
0.316046,-0.00246941,0
0.317618,-0.00249699,0
0.319191,-0.00252468,0
0.320763,-0.00255249,0
0.322336,-0.00258041,0
0.323908,-0.00260842,0
0.32548,-0.00263659,0
0.327053,-0.00266503,0
0.328625,-0.00269372,0
0.330197,-0.00272266,0
0.33177,-0.00275186,0
0.333342,-0.00278129,0
0.334915,-0.00281097,0
0.336487,-0.00284089,0
0.338059,-0.00287104,0
0.339632,-0.00290142,0
0.341204,-0.00293202,0
0.342776,-0.00296286,0
0.344349,-0.00299391,0
0.345921,-0.00302518,0
0.347493,-0.00305666,0
0.349066,-0.00308836,0
0.350638,-0.00312026,0
0.352211,-0.00315236,0
0.353783,-0.00318466,0
0.355355,-0.00321716,0
0.356928,-0.00324986,0
0.3585,-0.00328274,0
0.360072,-0.0033158,0
0.361645,-0.00334905,0
0.363217,-0.00338248,0
0.36479,-0.00341608,0
0.366362,-0.00344986,0
0.367934,-0.0034838,0
0.369507,-0.00351791,0
0.371079,-0.00355218,0
0.372651,-0.00358661,0
0.374224,-0.00362119,0
0.375796,-0.00365593,0
0.377368,-0.00369084,0
0.378941,-0.00372608,0
0.380513,-0.00376167,0
0.382086,-0.00379759,0
0.383658,-0.00383384,0
0.38523,-0.00387041,0
0.386803,-0.00390728,0
0.388375,-0.00394445,0
0.389947,-0.00398191,0
0.39152,-0.00401964,0
0.393092,-0.00405763,0
0.394665,-0.00409588,0
0.396237,-0.00413438,0
0.397809,-0.00417312,0
0.399382,-0.00421208,0
0.400954,-0.00425125,0
0.402526,-0.00429063,0
0.404099,-0.00433021,0
0.405671,-0.00436997,0
0.407243,-0.00440991,0
0.408816,-0.00445002,0
0.410388,-0.00449028,0
0.411961,-0.00453068,0
0.413533,-0.00457124,0
0.415105,-0.00461203,0
0.416678,-0.00465308,0
0.41825,-0.00469437,0
0.419822,-0.0047359,0
0.421395,-0.00477767,0
0.422967,-0.00481968,0
0.42454,-0.00486192,0
0.426112,-0.00490439,0
0.427684,-0.00494708,0
0.429257,-0.00498999,0
0.430829,-0.00503312,0
0.432401,-0.00507647,0
0.433974,-0.00512002,0
0.435546,-0.00516378,0
0.437118,-0.00520775,0
0.438691,-0.00525191,0
0.440263,-0.00529627,0
