# epsilon:0.000160054
# mass:0.14
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.04518301785008185,-0.09036603570016372,-0.13770834684590869,0.15901190224228748
0.01,0.04520502982609412,-0.09039144742848859,-0.13810721700350168,0.15945352223253237
0.02,0.04524684254948086,-0.09043972065103364,-0.13826474568131372,0.15959930663896313
0.03,0.04530714861089668,-0.09050932282135725,-0.13833969385413725,0.1596336808826634
0.04,0.04538535592988703,-0.09059954898861633,-0.13841170663455885,0.15964902864499392
0.05,0.045481326217031146,-0.09071021386013525,-0.13851396965253715,0.15968362502059869
0.06,0.04559516940268989,-0.090841415056602,-0.13865481583441364,0.15974677927036118
0.07,0.04572712143456804,-0.09099338517105747,-0.1388312013757023,0.15983452910713583
0.08,0.04587746240988364,-0.09116639820952765,-0.1390365206058359,0.1599387358838091
0.09,0.0460464721364263,-0.0913607238743123,-0.13926463298448283,0.16005177029107617
0.1,0.0462344069327481,-0.09157659580495306,-0.13951149702581647,0.1601684110551066
0.11,0.04644150135878533,-0.09181421431733386,-0.13977539341446427,0.16028608903506214
0.12,0.046667977916968764,-0.09207375783961838,-0.1400564290093629,0.16040429598566983
0.13,0.04691406673256579,-0.09235540017285312,-0.14035575415432328,0.16052366149833333
0.14,0.04718001264439263,-0.09265932056054235,-0.14067481289084263,0.1606451022788049
0.15,0.047466077722394494,-0.09298573282035073,-0.14101474562466357,0.16076898928482863
0.16,0.04777258481327109,-0.0933348688544444,-0.141375883785771,0.1608947912320025
0.17,0.04809989751653591,-0.09370701914994707,-0.14175760502193985,0.16102066719562175
0.18,0.04844842122382221,-0.09410249593571485,-0.1421583023384466,0.16114360043462014
0.19,0.04881860622453098,-0.09452165703708651,-0.14257547454740038,0.16125939758214244
0.2,0.04921094434172796,-0.09496486618454864,-0.14300589535429553,0.16136301144205012
0.21,0.049625947397120826,-0.09543254079996162,-0.14344586204680818,0.16144854269514544
0.22,0.05006417018770891,-0.09592509450166518,-0.14389131122940294,0.161509781421765
0.23,0.050526159785059574,-0.0964429043137903,-0.14433807759428943,0.16154021633292862
0.24,0.05101247947294769,-0.09698633839587477,-0.14478193144643567,0.16153321023922235
0.25,0.05152367144799787,-0.09755573061266794,-0.1452186519300808,0.16148199601244398
0.26,0.05206027150995739,-0.09815136653679847,-0.14564400350303006,0.16137970768530324
0.27,0.05262278040056552,-0.09877347272090933,-0.14605362820199583,0.16121925023913744
0.28,0.053211673643057296,-0.09942219587213169,-0.14644298095884534,0.16099319858382344
0.29,0.053827374132747775,-0.10009761065543564,-0.14680713780144192,0.16069364617880405
0.3,0.054470262511286595,-0.10079967537716795,-0.14714071415958896,0.16031203336359254
0.31,0.05514063309853148,-0.1015282666635774,-0.1474376487568367,0.1598390598203195
0.32,0.05583874646509847,-0.10228307637195914,-0.1476912116534542,0.15926449286620972
0.33,0.056564726682499226,-0.10306373725081604,-0.14789379221521054,0.15857720950296372
0.34,0.05731863786311165,-0.10386967066522522,-0.14803697588283177,0.15776512339521556
0.35000000000000003,0.05810041039812051,-0.10470010066480227,-0.1481114814283686,0.15681521862501308
0.36,0.058909854197121796,-0.10555415490646756,-0.14810721946154207,0.15571368098422475
0.37,0.0597466604747522,-0.10643062700077859,-0.14801340565791862,0.1544459873694077
0.38,0.06061031378894444,-0.10732821589508271,-0.14781861302019766,0.15299706085805934
0.39,0.06150021283129646,-0.10824530742559824,-0.14751096438576408,0.1513515183783457
0.4,0.06241548126731214,-0.109180026381013,-0.14707823711105342,0.14949381665173786
0.41000000000000003,0.06335514564384363,-0.11013034861494586,-0.14650801629321622,0.14740840894197055
0.42,0.06431796324507452,-0.11109381235304532,-0.14578786021352325,0.14508011937875345
0.43,0.06530251918061798,-0.11206784691388857,-0.14490539185933307,0.14249403202180727
0.44,0.06630719796301644,-0.11304951187559241,-0.14384843426398522,0.13963591926635716
0.45,0.06733011467737507,-0.11403558526143354,-0.14260512160577563,0.13649225098051
0.46,0.0683692592565528,-0.11502268209898509,-0.14116388971791197,0.1330501621704694
0.47000000000000003,0.06942229589832358,-0.11600698730271786,-0.1395136863023175,0.12929796345207278
0.48,0.07048678649118331,-0.1169845849289538,-0.13764380631982884,0.12522465264793858
0.49,0.07155999356497102,-0.11795121952738132,-0.13554416435792577,0.12082051130920235
0.5,0.07263904365260201,-0.11890240809898782,-0.13320510788973422,0.11607693597254341
0.51,0.07372085747037929,-0.11983352513193807,-0.13061760968268704,0.11098637361894265
0.52,0.07480205990418455,-0.12073962211761034,-0.12777352397694175,0.10554302592679289
0.53,0.07587925249572135,-0.12161568033695805,-0.12466509710279591,0.09974215251680495
0.54,0.0769488386828659,-0.12245644642778976,-0.12128548107756561,0.09358105140214043
0.55,0.07800694470944393,-0.12325653474728279,-0.1176292901085728,0.08705878399932719
0.56,0.07904967652960572,-0.124010478080371,-0.11369188099008756,0.08017627864694166
0.5700000000000001,0.08007301986447796,-0.1247126592815912,-0.10946986096545741,0.07293729165161296
0.58,0.08107274020936805,-0.1253574367762127,-0.10496190810851856,0.06534749182079615
0.59,0.08204457873695321,-0.12593912349560282,-0.10016799842892718,0.05741583612610718
0.6,0.08298418186377701,-0.12645202064731537,-0.09509034066051693,0.0491540336622747
0.61,0.0838871428630037,-0.12689046871618176,-0.08973329355971568,0.040576651440381264
